type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	39.092185000	-94.417077000	1059.9				0.000		#0288d1	1.00	1.2			A. Independence to Topeka		Main Route
T	39.092184000	-94.417187000	1060.1		269.3	0.6	0.006	31.22								
T	39.092197000	-94.417811000	1052.4		271.5	-4.4	0.039	177.18								
T	39.092212000	-94.418348000	1040.1		272.1	-8.0	0.068	152.52								
T	39.092216000	-94.418486000	1040.1		272.1	-0.1	0.076	39.20								
T	39.092219000	-94.418596000	1040.1		272.0	-0.1	0.082	31.24								
T	39.092223000	-94.418738000	1040.0		272.1	-0.1	0.089	40.33								
T	39.092229000	-94.418961000	1040.0		272.0	0.0	0.101	63.33								
T	39.092238000	-94.419374000	1037.6		271.6	-2.1	0.124	117.27								
T	39.092250000	-94.419786000	1033.8		272.1	-3.2	0.146	117.02								
T	39.092252000	-94.419879000	1033.8		271.6	0.1	0.151	26.41								
T	39.092255000	-94.420004000	1033.9		271.8	0.2	0.157	35.50								
T	39.092275000	-94.420919000	1039.0		271.6	2.0	0.207	259.81								
T	39.092277000	-94.420968000	1038.4		273.0	-4.2	0.209	13.93								
T	39.092279000	-94.421088000	1037.0		271.2	-4.2	0.216	34.07								
T	39.092280000	-94.421105000	1036.8		274.3	-4.1	0.217	4.84								
T	39.092282000	-94.421217000	1037.7		271.3	2.9	0.223	31.80								
T	39.092284000	-94.421296000	1038.4		271.9	3.2	0.227	22.44								
T	39.092286000	-94.421388000	1039.3		271.6	3.1	0.232	26.12								
T	39.092344000	-94.423673000	1036.0		271.9	-0.5	0.355	648.91								
T	39.092357000	-94.424199000	1033.2		271.8	-1.9	0.383	149.37								
T	39.092363000	-94.424428000	1032.0		271.9	-1.8	0.395	65.04								
T	39.092375000	-94.424921000	1029.8		271.8	-1.6	0.422	140.00								
T	39.092367000	-94.425077000	1027.5		266.2	-5.0	0.430	44.37								
T	39.092321000	-94.425398000	1022.1		259.5	-5.9	0.448	92.64								
T	39.091925000	-94.426613000	1027.2		247.2	1.4	0.519	373.81								
T	39.091699000	-94.427307000	1030.8		247.2	1.7	0.559	213.49								
T	39.091444000	-94.427990000	1031.3		244.3	0.2	0.600	214.96								
T	39.091169000	-94.428586000	1028.4		239.3	-1.5	0.637	196.60								
T	39.091094000	-94.428730000	1024.1		236.1	-8.7	0.646	49.16								
T	39.091075000	-94.428766000	1023.2		235.8	-6.9	0.649	12.34								
T	39.090824000	-94.429232000	1017.2		235.2	-3.8	0.679	160.79								
T	39.090691000	-94.429479000	1018.9		235.2	2.1	0.695	85.22								
T	39.090586000	-94.429674000	1020.3		235.2	2.0	0.708	67.28								
T	39.090449000	-94.429880000	1018.5		229.4	-2.3	0.723	76.87								
T	39.090314000	-94.430038000	1016.6		222.3	-2.8	0.735	66.55								
T	39.090257000	-94.430097000	1015.8		218.8	-3.2	0.740	26.67								
T	39.089874000	-94.430435000	1008.3		214.4	-4.4	0.772	169.31								
T	39.089565000	-94.430685000	997.6		212.1	-8.1	0.797	133.05								
T	39.089430000	-94.430795000	996.3		212.3	-2.2	0.809	58.25								
T	39.089139000	-94.431022000	996.1		211.2	-0.1	0.832	124.04								
T	39.088900000	-94.431191000	998.4		208.8	2.3	0.851	99.39								
T	39.088643000	-94.431332000	996.5		203.1	-1.8	0.870	101.80								
T	39.088570000	-94.431376000	995.2		205.1	-4.5	0.876	29.38								
T	39.088476000	-94.431428000	990.8		203.2	-11.8	0.883	37.28								
T	39.088208000	-94.431563000	980.4		201.4	-9.9	0.903	104.87								
T	39.088162000	-94.431592000	978.7		206.1	-8.8	0.906	18.67								
T	39.087852000	-94.431788000	974.8		206.1	-3.1	0.930	125.87								
T	39.087747000	-94.431827000	975.0		196.1	0.5	0.938	39.81								
T	39.087628000	-94.431868000	977.5		195.0	5.5	0.946	44.88								
T	39.087308000	-94.431973000	981.3		194.3	3.2	0.969	120.30								
T	39.087182000	-94.432002000	981.7		190.1	0.9	0.978	46.63								
T	39.086878000	-94.432044000	982.5		186.1	0.7	0.999	111.37								
T	39.086597000	-94.432049000	979.6		180.8	-2.8	1.018	102.36								
T	39.085465000	-94.432109000	970.3		182.4	-2.3	1.096	412.66								
T	39.084830000	-94.432137000	964.8		182.0	-2.3	1.140	231.42								
T	39.084457000	-94.432153000	961.4		181.9	-2.5	1.166	135.93								
T	39.084410000	-94.432155000	960.4		181.9	-6.0	1.169	17.13								
T	39.084367000	-94.432157000	959.2		182.1	-7.2	1.172	15.67								
T	39.083250000	-94.432206000	941.6		182.0	-4.3	1.249	407.08								
T	39.082994000	-94.432215000	932.8		181.6	-9.5	1.267	93.28								
T	39.082873000	-94.432220000	928.5		181.8	-9.6	1.275	44.09								
T	39.082716000	-94.432225000	923.8		181.4	-8.3	1.286	57.20								
T	39.082583000	-94.432230000	920.7		181.7	-6.4	1.295	48.46								
T	39.082379000	-94.432208000	918.5		175.2	-3.0	1.309	74.56								
T	39.081650000	-94.432241000	921.3		182.0	1.1	1.360	265.69								
T	39.081354000	-94.432248000	912.4		181.1	-8.3	1.380	107.83								
T	39.081026000	-94.432257000	912.4		181.2	-0.0	1.403	119.49								
T	39.080946000	-94.432259000	912.2		181.1	-0.4	1.408	29.14								
T	39.080863000	-94.432261000	912.1		181.1	-0.4	1.414	30.24								
T	39.080712000	-94.432298000	911.0		190.8	-1.9	1.425	55.99								
T	39.080687000	-94.432304000	910.9		190.6	-1.9	1.426	9.26								
T	39.079797000	-94.432381000	906.0		183.8	-1.5	1.488	324.90								
T	39.079544000	-94.432386000	903.4		180.9	-2.8	1.505	92.16								
T	39.079409000	-94.432385000	902.2		179.7	-2.4	1.515	49.17								
T	39.078852000	-94.432401000	911.0		181.3	4.3	1.553	202.93								
T	39.078742000	-94.432375000	917.5		169.6	15.9	1.561	40.74								
T	39.078238000	-94.432392000	931.9		181.5	7.8	1.596	183.63								
T	39.078067000	-94.432398000	934.5		181.6	4.3	1.607	62.31								
T	39.077402000	-94.432421000	943.1		181.5	3.5	1.653	242.30								
T	39.076689000	-94.432451000	961.3		181.9	7.0	1.702	259.83								
T	39.075834000	-94.432487000	968.0		181.9	2.2	1.761	311.58								
T	39.074982000	-94.432522000	960.8		181.8	-2.3	1.820	310.48								
T	39.073866000	-94.432562000	968.1		181.6	1.8	1.897	406.64								
T	39.073300000	-94.432581000	974.1		181.5	2.9	1.936	206.22								
T	39.072979000	-94.432593000	978.8		181.7	4.0	1.958	116.97								
T	39.072751000	-94.432602000	978.2		181.8	-0.6	1.974	83.08								
T	39.072609000	-94.432607000	976.5		181.6	-3.5	1.984	51.74								
T	39.072421000	-94.432614000	975.4		181.7	-1.6	1.997	68.50								
T	39.072364000	-94.432616000	975.6		181.6	1.2	2.001	20.77								
T	39.072331000	-94.432618000	975.8		182.7	1.1	2.003	12.03								
T	39.071792000	-94.432638000	977.7		181.7	1.0	2.040	196.40								
T	39.071641000	-94.432644000	977.4		181.8	-0.6	2.051	55.02								
T	39.069343000	-94.432736000	945.2		181.8	-3.8	2.209	837.40								
T	39.068498000	-94.432776000	937.0		182.1	-2.7	2.268	307.98								
T	39.067407000	-94.432828000	921.0		182.1	-4.0	2.343	397.65								
T	39.066925000	-94.432850000	918.8		182.0	-1.3	2.376	175.67								
T	39.066626000	-94.432864000	921.0		182.1	2.1	2.397	108.98								
T	39.066197000	-94.432884000	921.9		182.1	0.6	2.427	156.36								
T	39.065839000	-94.432901000	917.3		182.1	-3.6	2.451	130.48								
T	39.065783000	-94.432904000	916.5		182.4	-3.6	2.455	20.41								
T	39.065257000	-94.432929000	915.5		182.1	-0.6	2.491	191.72								
T	39.064763000	-94.432950000	920.5		181.9	2.8	2.526	180.03								
T	39.064007000	-94.432985000	920.7		182.1	0.1	2.578	275.54								
T	39.063761000	-94.432996000	919.7		182.0	-1.0	2.595	89.65								
T	39.063453000	-94.433010000	919.2		182.0	-0.5	2.616	112.25								
T	39.062770000	-94.433038000	925.3		181.8	2.5	2.663	248.89								
T	39.061601000	-94.433090000	918.2		182.0	-1.7	2.744	426.04								
T	39.060513000	-94.433125000	918.6		181.4	0.1	2.819	396.40								
T	39.059758000	-94.433157000	926.4		181.9	2.8	2.871	275.14								
T	39.058009000	-94.433230000	965.3		181.9	6.1	2.992	637.37								
T	39.057021000	-94.433275000	972.5		182.0	2.0	3.060	360.08								
T	39.056060000	-94.433322000	984.5		182.2	3.4	3.126	350.28								
T	39.055005000	-94.433374000	991.3		182.2	1.8	3.199	384.54								
T	39.054540000	-94.433397000	1008.4		182.2	10.1	3.231	169.49								
T	39.054086000	-94.433419000	1018.3		182.2	6.0	3.262	165.48								
T	39.053614000	-94.433442000	1017.8		182.2	-0.3	3.295	172.04								
T	39.053125000	-94.433466000	1022.6		182.2	2.7	3.329	178.24								
T	39.051313000	-94.433531000	1030.2		181.6	1.2	3.454	660.24								
T	39.050879000	-94.433547000	1032.9		181.6	1.7	3.484	158.14								
T	39.050819000	-94.433549000	1033.3		181.5	1.9	3.488	21.86								
T	39.050855000	-94.434879000	1020.3		272.0	-3.4	3.560	377.95								
T	39.050867000	-94.435350000	1021.3		271.9	0.7	3.585	133.84								
T	39.050898000	-94.436486000	1028.8		272.0	2.3	3.646	322.83								
T	39.050902000	-94.436587000	1027.3		272.9	-5.2	3.651	28.72								
T	39.050915000	-94.436954000	1022.5		272.6	-4.6	3.671	104.34								
T	39.050924000	-94.437209000	1017.4		272.6	-7.0	3.685	72.50								
T	39.050936000	-94.437555000	1005.8		272.6	-11.8	3.704	98.36								
T	39.050986000	-94.438959000	1018.3		272.6	3.1	3.779	399.16								
T	39.051080000	-94.441059000	1047.6		273.3	4.9	3.892	597.39								
T	39.051090000	-94.441275000	1047.2		273.4	-0.7	3.904	61.45								
T	39.051131000	-94.442196000	1046.7		273.3	-0.2	3.954	261.99								
T	39.049778000	-94.441848000	1056.7		168.7	2.0	4.049	502.61								
T	39.049342000	-94.441736000	1056.2		168.7	-0.3	4.079	161.96								
T	39.049165000	-94.441694000	1052.4		169.6	-5.7	4.092	65.56								
T	39.048933000	-94.441603000	1042.6		163.1	-11.1	4.109	88.36								
T	39.048766000	-94.441502000	1042.0		154.8	-1.0	4.121	67.25								
T	39.048644000	-94.441405000	1043.1		148.3	2.2	4.131	52.28								
T	39.048483000	-94.441235000	1049.1		140.6	7.9	4.146	75.96								
T	39.048364000	-94.441061000	1053.4		131.4	6.5	4.158	65.73								
T	39.047999000	-94.440458000	1055.1		127.9	0.8	4.199	216.80								
T	39.047890000	-94.440253000	1052.2		124.4	-4.1	4.213	70.47								
T	39.047852000	-94.440198000	1050.7		131.7	-7.4	4.216	20.87								
T	39.047732000	-94.440022000	1046.3		131.3	-6.6	4.229	66.40								
T	39.047540000	-94.439824000	1042.0		141.3	-4.8	4.246	89.74								
