Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,280.1112,-0.0940359187502836,0,39.037027,-95.676469,919,-9.43140815143906,0,0
4.828032,279.59304,-0.0907500503958844,5.504688,39.036979,-95.676485,917.3,-9.1,0.003,18.06
69.201792,276.27072,-0.0529504578049819,63.117984,39.036977,-95.677214,906.4,-5.3,0.043,207.08
86.904576,276.17928,-0.00399997866687146,17.849088,39.036971,-95.67742,906.1,-0.4,0.054,58.56
107.826048,276.72792,0.0259941437084617,20.961096,39.036966,-95.677662,907.9,2.6,0.067,68.77
115.872768,277.09368,0.0419753301053573,8.659368,39.036966,-95.677762,909.1,4.2,0.072,28.41
159.325056,278.83104,0.03997868712329,42.943272,39.036967,-95.678258,914.8,4,0.099,140.89
167.371776,279.0444,0.0299910048568779,7.647432,39.036961,-95.678346,915.5,3,0.104,25.09
177.02784,279.01392,-0.0029999910000486,10.792968,39.036951,-95.67847,915.4,-0.3,0.11,35.41
204.386688,279.01392,-0,27.358848,39.036952,-95.678786,915.4,-0,0.127,89.76
218.870784,278.83104,-0.0139990854408831,13.560552,39.036963,-95.678942,914.8,-1.4,0.136,44.49
236.573568,278.13,-0.0389802450252585,18.18132,39.036963,-95.679152,912.5,-3.9,0.147,59.65
254.276352,278.7396,0.0359844600820516,17.141952,39.036963,-95.67935,914.5,3.6,0.158,56.24
283.244544,280.01976,0.0429735270295798,29.785056,39.036962,-95.679694,918.7,4.3,0.176,97.72
339.571584,281.178,0.020996913816563,55.41264,39.036961,-95.680334,922.5,2.1,0.211,181.8
347.618304,281.20848,0.00199999733333973,9.436608,39.036961,-95.680443,922.6,0.2,0.216,30.96
394.28928,281.66568,0.00999966668666524,45.713904,39.03696,-95.680971,924.1,1,0.245,149.98
439.350912,278.77008,-0.063912832788734,45.281088,39.036959,-95.681494,914.6,-6.4,0.273,148.56
449.006976,278.34336,-0.0439716382710356,9.177528,39.036959,-95.6816,913.2,-4.4,0.279,30.11
503.724672,278.06904,-0.00499995833395832,55.497984,39.036958,-95.682241,912.3,-0.5,0.313,182.08
548.786304,279.07488,0.0229959456201157,44.156376,39.036957,-95.682751,915.6,2.3,0.341,144.87
558.442368,279.71496,0.0619207400583113,10.04316,39.036957,-95.682867,917.7,6.2,0.347,32.95
1351.84896,296.20464,0.020996913816563,793.101792,39.044101,-95.682848,971.8,2.1,0.84,2602.04
1371.161088,296.08272,-0.00599992800155516,20.308824,39.044282,-95.682814,971.4,-0.6,0.852,66.63
1390.473216,295.93032,-0.00799982933988663,18.565368,39.044443,-95.682756,970.9,-0.8,0.864,60.91
1403.347968,295.86936,-0.00399997866687146,13.856208,39.044563,-95.682712,970.7,-0.4,0.872,45.46
1409.785344,295.86936,0.00199999733333973,5.126736,39.044607,-95.682694,970.7,0.2,0.876,16.82
1419.441408,295.9608,0.00799982933988663,9.573768,39.04469,-95.682664,971,0.8,0.882,31.41
1470.940416,293.79672,-0.0409770494767878,52.571904,39.045139,-95.682471,963.9,-4.1,0.914,172.48
1557.844992,291.75456,-0.0229959456201157,87.197184,39.045884,-95.682152,957.2,-2.3,0.968,286.08
1569.1104,291.60216,-0.0129992677409163,10.070592,39.04597,-95.682115,956.7,-1.3,0.975,33.04
1578.766464,291.48024,-0.0129992677409163,10.890504,39.046063,-95.682075,956.3,-1.3,0.981,35.73
1623.828096,289.19424,-0.0509558518771075,44.351448,39.046442,-95.681913,948.8,-5.1,1.009,145.51
1672.108416,286.84728,-0.048960840065008,48.103536,39.046853,-95.681737,941.1,-4.9,1.039,157.82
1721.99808,288.70656,0.0379817251640402,49.295304,39.047274,-95.681556,947.2,3.8,1.07,161.73
1738.09152,289.62096,0.0529504578049819,17.550384,39.047424,-95.681492,950.2,5.3,1.08,57.58
1752.575616,290.1696,0.0379817251640402,14.53896,39.047548,-95.681438,952,3.8,1.089,47.7
1800.855936,290.74872,0.0119994240497613,47.865792,39.047957,-95.681263,953.9,1.2,1.119,157.04
1897.416576,289.46856,-0.0129992677409163,95.969328,39.048777,-95.680912,949.7,-1.3,1.179,314.86
1908.681984,289.04184,-0.0389802450252585,10.783824,39.048869,-95.680872,948.3,-3.9,1.186,35.38
1918.338048,289.01136,-0.00399997866687146,10.756392,39.048961,-95.680833,948.2,-0.4,1.192,35.29
1992.367872,288.55416,-0.00599992800155516,74.11212,39.049594,-95.680561,946.7,-0.6,1.238,243.15
2058.350976,291.05352,0.0379817251640402,66.236088,39.05016,-95.680319,954.9,3.8,1.279,217.31
2077.663104,292.27272,0.0649086896934335,18.397728,39.050317,-95.680251,958.9,6.5,1.291,60.36
2095.365888,292.54704,0.0149988751518506,17.89176,39.05047,-95.680186,959.8,1.5,1.302,58.7
2130.771456,291.57168,-0.0269934418682879,34.890456,39.050768,-95.680058,956.6,-2.7,1.324,114.47
2182.270464,290.53536,-0.0199973339731505,51.514248,39.051208,-95.679869,953.2,-2,1.356,169.01
2196.75456,290.322,-0.0129992677409163,14.852904,39.051335,-95.679815,952.5,-1.3,1.365,48.73
2235.378816,290.80968,0.0119994240497613,38.880288,39.051667,-95.679672,954.1,1.2,1.389,127.56
2246.644224,290.7792,-0.0029999910000486,10.994136,39.051761,-95.679632,954,-0.3,1.396,36.07
2257.909632,290.84016,0.00599992800155516,10.756392,39.051853,-95.679593,954.2,0.6,1.403,35.29
2283.659136,290.90112,0.00199999733333973,26.115264,39.052076,-95.679497,954.4,0.2,1.419,85.68
2322.283392,291.90696,0.0249947936189202,38.642544,39.052406,-95.679355,957.7,2.5,1.443,126.78
2397.92256,291.32784,-0.00699988567002795,75.962256,39.053055,-95.679077,955.8,-0.7,1.49,249.22
2415.625344,290.68776,-0.0349857188285258,18.236184,39.053211,-95.679011,953.7,-3.5,1.501,59.83
2433.328128,289.95624,-0.0429735270295798,17.31264,39.053359,-95.678948,951.3,-4.3,1.512,56.8
2505.748608,290.74872,0.0109995563655408,72.551544,39.053979,-95.678683,953.9,1.1,1.557,238.03
2574.9504,291.20592,0.00699988567002795,68.637912,39.054566,-95.678434,955.4,0.7,1.6,225.19
2584.606464,291.02304,-0.0179980563778262,9.595104,39.054648,-95.678399,954.8,-1.8,1.606,31.48
2595.871872,290.84016,-0.0179980563778262,11.469624,39.054746,-95.678357,954.2,-1.8,1.613,37.63
2735.8848,288.58464,-0.0159986348763435,140.713968,39.055949,-95.677845,946.8,-1.6,1.7,461.66
2747.150208,288.24936,-0.0309900753885694,10.415016,39.056038,-95.677807,945.7,-3.1,1.707,34.17
2758.415616,288.00552,-0.0239953935918699,11.058144,39.05613,-95.677758,944.9,-2.4,1.714,36.28
2846.929536,288.12744,0.000999999666666867,89.629488,39.056895,-95.677427,945.3,0.1,1.769,294.06
2858.194944,287.70072,-0.0389802450252585,10.991088,39.056993,-95.677409,943.9,-3.9,1.776,36.06
2877.507072,286.90824,-0.0409770494767878,19.376136,39.057158,-95.677336,941.3,-4.1,1.788,63.57
2898.428544,286.11576,-0.0389802450252585,20.403312,39.057333,-95.677264,938.7,-3.9,1.801,66.94
2909.693952,285.65856,-0.0429735270295798,10.899648,39.057418,-95.677201,937.2,-4.3,1.808,35.76
2920.95936,285.2928,-0.0309900753885694,10.951464,39.057504,-95.677139,936,-3.1,1.815,35.93
2962.802304,285.1404,-0.00399997866687146,41.891712,39.057862,-95.676986,935.5,-0.4,1.841,137.44
2972.458368,285.10992,-0.00499995833395832,10.83564,39.057959,-95.676972,935.4,-0.5,1.847,35.55
3049.70688,281.97048,-0.03997868712329,77.528928,39.05862,-95.676683,925.1,-4,1.895,254.36
3086.721792,280.69032,-0.0359844600820516,35.969448,39.058932,-95.676571,920.9,-3.6,1.918,118.01
3196.157184,275.72208,-0.0449696618523276,110.191296,39.059873,-95.676166,904.6,-4.5,1.986,361.52
3212.250624,275.9964,0.0179980563778262,15.556992,39.06,-95.67609,905.5,1.8,1.996,51.04
3228.344064,275.66112,-0.0219964516970369,15.779496,39.060135,-95.676033,904.4,-2.2,2.006,51.77
3281.452416,277.12416,0.0279926861068139,53.34,39.06059,-95.675835,909.2,2.8,2.039,175
3316.857984,277.30704,0.00499995833395832,35.734752,39.060895,-95.675703,909.8,0.5,2.061,117.24
