Time,SOC [-],Control Signal [A],Target Speed [m/s],Motor Control Signal [A],Air Density [kg/m^3],Irradiance [W/m^2],Surface Grade,Net Force [N],Normal Force [N],Parallel Gravitational Force [N],Motor Propulsion Force [N],Resistive Forces [N],Drag Force [N],Rolling Resistance [N],Solar Power [W],Acceleration [m/s^2],Position [m],Velocity [m/s]
0 sec,1,25,10,25,1,19.7859162439546,0,98.7831066571224,2776.19350329783,-0,98.7831066571224,-0,0,6.94048375824458,100,0.349061502793384,0,0
3.7322e-30 sec,1,25,NaN,25,NaN,19.7859162439546,0,91.8426228988778,2776.19350329783,-0,98.7831066571224,-6.94048375824458,2.54579444173646e-61,6.94048375824458,NaN,0.324536502793384,2.43108489608435e-60,1.3027648653886e-30
0.00020095 sec,0.999999983215556,25.0000379103432,NaN,25.0000379103432,NaN,19.7859163604869,0,91.8427902000259,2776.19350329783,-0,98.7832739589084,-6.94048375888254,6.3796834163072e-10,6.94048375824458,NaN,0.32453709397129,6.55260205846309e-09,6.52159664310676e-05
0.0012057 sec,0.999999899292938,25.0002274379467,NaN,25.0002274379467,NaN,19.7859169431486,0,91.843626581769,2776.19350329783,-0,98.7841103629806,-6.94048378121164,2.29670694629281e-08,6.94048375824458,NaN,0.324540049422663,2.35894390235596e-07,0.000391297580390578
0.0062295 sec,0.999999479669936,25.001174473202,NaN,25.001174473202,NaN,19.7859198564572,0,91.8478054059542,2776.19350329783,-0,98.7882897773198,-6.94048437136564,6.13121064097605e-07,6.94048375824458,NaN,0.324554815779982,6.29716524323637e-06,0.00202175017265999
0.031348 sec,0.999997381307609,25.0058945863374,NaN,25.0058945863374,NaN,19.7859344230003,0,91.8686224261475,2776.19350329783,-0,98.8091217143624,-6.94049928821491,1.55299703300507e-05,6.94048375824458,NaN,0.324628375122245,0.000159479103265008,0.0101751233670001
0.15694 sec,0.999986883380896,25.0291193140399,NaN,25.0291193140399,NaN,19.7860072557155,0,91.9707818660745,2776.19350329783,-0,98.9116553061544,-6.94087344007994,0.000389681835359723,6.94048375824458,NaN,0.324989367288134,0.00399870653306843,0.0509693918189942
0.78491 sec,0.999934249280429,25.1359400208534,NaN,25.1359400208534,NaN,19.7863714192915,0,92.4336788325512,2776.19350329783,-0,99.3839608987688,-6.95028206621755,0.00979830797297257,6.94048375824458,NaN,0.326625067118043,0.100197675906872,0.255581793469626
3.9248 sec,0.999668478205654,25.4493277957111,NaN,25.4493277957111,NaN,19.7881922371718,0,93.586801507495,2776.19350329783,-0,100.776625535747,-7.18982402825197,0.249340270007394,6.94048375824458,NaN,0.330699759111868,2.52219745943935,1.28928990794001
12.612 sec,0.9989350189117,24.7353305358347,NaN,24.7353305358347,NaN,19.7932298371213,0,88.1476956480912,2776.19350329783,-0,97.6185094635327,-9.47081381544145,2.53033005719687,6.94048375824458,NaN,0.311480051113356,26.0845734251456,4.10717263430443
