Time (s),Velocity [m/s],Drag Force [N],S.O.C
0.0,0.0,0.0,1.0
8.46831555541801e-14,9.18368529240694e-14,2.1085018887492882e-27,1.0
1.693663111083602e-13,1.836722180651962e-13,8.433870922247245e-27,1.0
2.540494666625403e-13,2.7550609648993856e-13,1.8975902300780835e-26,1.0
1.1008810222043414e-12,1.1938433939500483e-12,3.5631551231954256e-25,0.9999999999999999
1.9477125777461426e-12,2.1121792047295105e-12,1.1153252482229468e-24,0.9999999999999998
2.7945441332879437e-12,3.0305135289349828e-12,2.2960030622644907e-24,0.9999999999999997
1.1262859688705954e-11,1.221385379784018e-11,3.729455614875375e-23,0.9999999999999988
1.9731175244123965e-11,2.1397191093638518e-11,1.1445994667442088e-22,0.9999999999999979
2.8199490799541975e-11,3.0580525416372656e-11,2.337921336853535e-22,0.9999999999999969
1.1288264635372207e-10,1.2241386567065836e-10,3.746288627108497e-21,0.9999999999999881
1.9756580190790217e-10,2.1424720295189268e-10,1.1475465993177373e-20,0.9999999999999793
2.8224895746208224e-10,3.0608053726007984e-10,2.342132382235478e-20,0.9999999999999705
1.1290805130038832e-09,1.2244138773689054e-09,3.747973357733892e-19,0.999999999999882
1.975912068545684e-09,2.142747214504685e-09,1.1478414063168966e-18,0.9999999999997934
2.822743624087485e-09,3.061080548667419e-09,2.342553531357507e-18,0.9999999999997048
1.1291059179505494e-08,1.2244413723804221e-08,3.748141685992129e-17,0.9999999999988197
1.9759374734923503e-08,2.1427746595690403e-08,1.1478708104228042e-16,0.9999999999979348
2.8227690290341514e-08,3.061107916135293e-08,2.3425954185565394e-16,0.9999999999970497
3.6696005845759524e-08,3.979441141781878e-08,3.9589879502265643e-16,0.9999999999961646
1.1325076201420588e-07,1.2281300446081829e-07,3.770758516173243e-15,0.9999999999881645
1.8980551818265225e-07,2.058315722290432e-07,1.0591659031569958e-14,0.9999999999801644
2.663602743510986e-07,2.8885011471952065e-07,2.085859719337006e-14,0.9999999999721642
3.4291503051954494e-07,3.718686319292777e-07,3.457156985323815e-14,0.999999999964164
1.1084625922040086e-06,1.202052413584256e-06,3.612325012509338e-13,0.999999999884162
1.8740101538884722e-06,2.0322336671627396e-06,1.0324934194874292e-12,0.9999999998041601
2.6395577155729358e-06,2.8624123926632433e-06,2.0483511764180284e-12,0.9999999997241581
3.405105277257399e-06,3.692588590084281e-06,3.4088026239051546e-12,0.9999999996441561
9.754428103715721e-06,1.057783302625594e-05,2.7972637882837727e-11,0.9999999989806325
1.6103750930174045e-05,1.7462903560828944e-05,7.623825019370305e-11,0.9999999983171091
2.245307375663237e-05,2.4347800192949786e-05,1.4820384355895142e-10,0.9999999976535855
2.8802396583090694e-05,3.123252292176349e-05,2.4386762201462046e-10,0.9999999969900621
3.515171940954902e-05,3.8117071746413594e-05,3.6322778963031037e-10,0.9999999963265386
9.260129030700726e-05,0.00010040153760453504,2.520117188338716e-09,0.999999990322884
0.0001500508612044655,0.00016267176542190712,6.615525816369994e-09,0.9999999843192292
0.00020750043210192374,0.00022492775456409237,1.2648123693311144e-08,0.9999999783155746
0.000264950002999382,0.000287169504396652,2.061658106385468e-08,0.99999997231192
0.0003223995738968402,0.00034939701428514565,3.0519568397843566e-08,0.9999999663082654
0.0005212209148592665,0.0005646439089034974,7.970568596545526e-08,0.999999945530831
0.0007200422558216929,0.0007797202160991275,1.5199090384841755e-07,0.9999999247533968
0.0009188635967841192,0.0009946259095738388,2.4732017499889655e-07,0.9999999039759626
0.0011176849377465456,0.0012093609630292258,3.6563848472474414e-07,0.9999998831985285
0.001316506278708972,0.0014239253501666755,5.068908507118224e-07,0.9999998624210945
0.0015153276196713983,0.0016383190446873637,6.71022323046329e-07,0.9999998416436603
0.001909390540127555,0.002062741767938719,1.063725900299738e-06,0.999999800462888
0.002303453460583712,0.002486493650538635,1.5456626685422368e-06,0.9999997592821157
0.0026975163810398686,0.002909574487720192,2.116405924898055e-06,0.9999997181013435
0.0030915793014960253,0.00333198407471312,2.7755294685354613e-06,0.9999996769205712
0.003485642221952182,0.0037537222067437616,3.5226076013503137e-06,0.9999996357397991
0.003879705142408339,0.004174788679035031,4.357215128649764e-06,0.9999995945590269
0.0042737680628644956,0.0045951832868063765,5.278927359836163e-06,0.9999995533782547
0.0049686822622099155,0.005334894655319897,7.115275245840201e-06,0.9999994807576104
0.0056635964615553355,0.0060725149055722285,9.218859319599223e-06,0.999999408136966
0.0063585106609007555,0.006808042914467253,1.1587362081306943e-05,0.9999993355163218
0.0070534248602461755,0.007541477558873244,1.4218470942747187e-05,0.9999992628956775
0.0077483390595915955,0.008272817715622202,1.710987823897814e-05,0.9999991902750337
0.008443253258937015,0.009002062261509191,2.0259281240021994e-05,0.9999991176543896
0.009138167458282435,0.009729210073291677,2.366438216256006e-05,0.9999990450337458
0.009936430886381685,0.010561911846505439,2.788849546333798e-05,0.9999989616127939
0.010734694314480934,0.011391843662214603,3.2443525506084754e-05,0.999998878191842
0.011532957742580183,0.012219003817604879,3.732601357366065e-05,0.9999987947708903
0.012331221170679432,0.013043390609791579,4.253250964989978e-05,0.9999987113499386
0.013129484598778681,0.013865002335818291,4.8059572443061664e-05,0.9999986279289871
0.01392774802687793,0.01468383729265558,5.390376940929569e-05,0.9999985445080358
0.01472601145497718,0.01549989377719967,6.006167677611826e-05,0.9999984610870847
0.01560886734864592,0.016399190487170853,6.723336215862875e-05,0.9999983688259642
0.016491723242314658,0.017295084262974474,7.477998491584683e-05,0.9999982765648437
0.017374579135983396,0.01818757280033747,8.269695109189384e-05,0.9999981843037236
0.018257435029652134,0.019076653794867376,9.097968000230696e-05,0.9999980920426035
0.019140290923320872,0.019962324942050167,9.962360427299955e-05,0.9999979997814836
0.02002314681698961,0.02084458393724813,0.00010862416987924569,0.999997907520364
0.020906002710658348,0.021723428475697738,0.00011797683618468883,0.9999978152592444
0.02191646255701368,0.022725103832411355,0.00012910758604846932,0.9999977096631247
0.02292692240336901,0.02372229990753312,0.00014068687822573647,0.9999976040670054
0.023937382249724342,0.02471501324490906,0.00015270796992400757,0.9999974984708865
0.024947842096079673,0.025703240388153692,0.0001651641416128038,0.9999973928747675
0.025958301942435005,0.026686977880645866,0.00017804869710052042,0.9999972872786489
0.026968761788790336,0.02766622226552467,0.00019135496361135322,0.9999971816825304
0.027979221635145667,0.028640970085685235,0.00020507629186227914,0.9999970760864122
0.029159577671174313,0.029773910755371634,0.00022162144041720867,0.999996952735627
0.03033993370720296,0.030900705430098666,0.00023871339901943229,0.9999968293848421
0.0315202897432316,0.03202134859801253,0.0002563416915088598,0.9999967060340575
0.03270064577926025,0.033135834746772085,0.00027449588609134703,0.9999965826832732
0.03388100181528889,0.03424415836353985,0.000293165595506799,0.9999964593324892
0.03506135785131754,0.03534631393497317,0.0003123404771974197,0.9999963359817053
0.036241713887346184,0.03644229594721534,0.0003320102334761069,0.9999962126309219
0.037546638359190386,0.037646750145405763,0.00035431944912765224,0.9999960762623598
0.03885156283103459,0.03884364478601347,0.00037720718506549793,0.9999959398937979
0.04015648730287879,0.040032972416486894,0.0004006597201248001,0.9999958035252364
0.04146141177472299,0.041214725583450844,0.0004246634012297894,0.9999956671566752
0.04276633624656719,0.042388896832692,0.0004492046436731515,0.9999955307881144
0.044071260718411394,0.04355547870914432,0.00047426993139568105,0.999995394419554
0.045376185190255595,0.04471446375687449,0.0004998458172662106,0.9999952580509938
0.04689563497408989,0.04605439941518189,0.0005302519263732765,0.9999950992638891
0.048415084757924186,0.04738401325933469,0.0005613111781402014,0.9999949404767849
0.04993453454175848,0.04870329351395707,0.0005930026997766633,0.9999947816896813
0.051453984325592776,0.05001222840196361,0.0006253057474325439,0.999994622902578
0.05297343410942707,0.05131080614452826,0.0006581997068003397,0.9999944641154751
0.05449288389326137,0.05259901496105342,0.0006916640937182802,0.9999943053283727
0.05601233367709566,0.053876843069138994,0.0007256785547741576,0.9999941465412708
0.05780349731300696,0.05536983011378873,0.0007664545217074563,0.9999939593592495
0.05959466094891827,0.05684835617653294,0.0008079338999934877,0.9999937721772287
0.06138582458482958,0.05831240194633518,0.0008500840551877386,0.9999935849952086
0.06317698822074089,0.059761948108418304,0.0008928726104283206,0.9999933978131892
0.0649681518566522,0.06119697534419422,0.0009362674478194789,0.9999932106311705
0.0667593154925635,0.06261746433119356,0.0009802367098170743,0.9999930234491523
0.06855047912847481,0.06402339574299565,0.0010247488006160583,0.9999928362671349
0.07072350678042945,0.06570949068946279,0.0010794342916671492,0.9999926091791737
0.07289653443238409,0.06737409626868684,0.0011348172120055706,0.9999923820912131
0.07506956208433872,0.06901717794662168,0.0011908427129289107,0.9999921550032537
0.07724258973629336,0.07063870117998844,0.001247456526098925,0.9999919279152952
0.079415617388248,0.07223863141609134,0.0013046049672174747,0.9999917008273378
0.08158864504020263,0.07381693409263339,0.0013622349397090453,0.9999914737393811
0.08376167269215727,0.07537357463753214,0.0014202939384099068,0.9999912466514255
0.08649583105915684,0.0773013508766053,0.0014938747118370115,0.9999909609236161
0.08922998942615641,0.07919470946885211,0.0015679505019639737,0.999990675195808
0.09196414779315598,0.08105358148014073,0.0016424207676894531,0.9999903894680013
0.09469830616015555,0.0828778979497294,0.0017171864921414401,0.9999901037401964
0.09743246452715512,0.08466758988968566,0.0017921501944320004,0.9999898180123928
0.10016662289415469,0.08642258828430581,0.001867215941439658,0.9999895322845908
0.10290078126115426,0.08814282408953435,0.001942289359619649,0.9999892465567903
0.10651805531039074,0.0903651494631402,0.002041465059373917,0.9999888685407383
0.11013532935962722,0.0925263485250192,0.0021402812928433307,0.9999884905246887
0.1137526034088637,0.09462626115378937,0.002238532324986287,0.9999881125086421
0.11736987745810018,0.09666472713294741,0.0023360173679217947,0.9999877344925979
0.12098715150733666,0.09864158614851595,0.0024325406294737734,0.9999873564765565
0.12460442555657314,0.10055667778669071,0.0025279113618740844,0.9999869784605174
