Var1,accelerator_pedal,speed,mcc_state,fr_telem,crz_pwr_mode,crz_spd_mode,crz_pwr_setpt,crz_spd_setpt,eco,main_telem,foot_brake,regen_brake,motor_current,motor_power,mc_status,driver_eStop,external_eStop,crash,discharge_enable,discharge_enabled,charge_enable,charge_enabled,isolation,mcu_hv_en,mcu_stat_fdbk,mppt_contactor,motor_controller_contactor,low_contactor,dcdc_current,dcdc_deg,use_dcdc,supplemental_current,supplemental_voltage,supplemental_deg,use_supp,est_supplemental_soc,bms_mpio1,park_brake,air_temp,brake_temp,dcdc_temp,mainIO_temp,motor_controller_temp,motor_temp,road_temp,l_turn_led_en,r_turn_led_en,brake_led_en,headlights_led_en,hazards,main_5V_bus,main_12V_bus,main_24V_bus,main_5V_current,main_12V_current,main_24V_current,bms_can_heartbeat,hv_can_heartbeat,mainIO_heartbeat,mcc_can_heartbeat,mppt_can_heartbeat,mppt_mode,mppt_current_out,string1_temp,string2_temp,string3_temp,string1_V_in,string2_V_in,string3_V_in,string1_I_in,string2_I_in,string3_I_in,pack_temp,pack_internal_temp,pack_current,pack_voltage,pack_power,populated_cells,soc,soh,pack_amphours,adaptive_total_capacity,fan_speed,pack_resistance,bms_input_voltage,bps_fault,voltage_failsafe,current_failsafe,relay_failsafe,cell_balancing_active,charge_interlock_failsafe,thermistor_b_value_table_invalid,input_power_supply_failsafe,discharge_limit_enforcement_fault,charger_safety_relay_fault,internal_hardware_fault,internal_heatsink_fault,internal_software_fault,highest_cell_voltage_too_high_fault,lowest_cell_voltage_too_low_fault,pack_too_hot_fault,high_voltage_interlock_signal_fault,precharge_circuit_malfunction,abnormal_state_of_charge_behavior,internal_communication_fault,cell_balancing_stuck_off_fault,weak_cell_fault,low_cell_voltage_fault,open_wiring_fault,current_sensor_fault,highest_cell_voltage_over_5V_fault,cell_asic_fault,weak_pack_fault,fan_monitor_fault,thermistor_fault,external_communication_fault,redundant_power_supply_fault,high_voltage_isolation_fault,input_power_supply_fault,charge_limit_enforcement_fault,cell_group1_voltage,cell_group2_voltage,cell_group3_voltage,cell_group4_voltage,cell_group5_voltage,cell_group6_voltage,cell_group7_voltage,cell_group8_voltage,cell_group9_voltage,cell_group10_voltage,cell_group11_voltage,cell_group12_voltage,cell_group13_voltage,cell_group14_voltage,cell_group15_voltage,cell_group16_voltage,cell_group17_voltage,cell_group18_voltage,cell_group19_voltage,cell_group20_voltage,cell_group21_voltage,cell_group22_voltage,cell_group23_voltage,cell_group24_voltage,cell_group25_voltage,cell_group26_voltage,cell_group27_voltage,cell_group28_voltage,cell_group29_voltage,cell_group30_voltage,cell_group31_voltage,lat,lon,elev
1713132600031,0.329846113920212,21.7062168121338,3,0,0,0,0.0669108703732491,0,1,1,0,0.79829066991806,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.56747245788574,0,1,0.13054946064949,3.22102570533752,0,0,0,0,0,-10000,-10000,-10000,51.2789306640625,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4068918228149,24.6254959106445,0.459340691566467,0.290109932422638,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,10.5,99.3000030517578,1042.65002441406,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.05460000038147,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600083,0.329846113920212,22.1901130676269,3,0,0,0,0.06593406945467,0,1,1,0,0.79829066991806,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.56747245788574,0,1,0.13054946064949,3.22102570533752,0,0,0,0,0,-10000,-10000,-10000,51.5143127441406,-10000,-10000,-10000,0,0,0,0,0,4.97238254547119,12.3292446136475,24.6609535217285,0.00805860850960016,1.95824193954468,0.676923096179962,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,12.3000001907349,99.3000030517578,1221.39001464844,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.05460000038147,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600133,0.329846113920212,22.1901130676269,3,0,0,0,0.06593406945467,0,1,1,0,0.79829066991806,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.58197808265686,0,1,0.13054946064949,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.4806365966797,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4068918228149,24.5634441375732,0.13699634373188,0.290109932422638,0.322344332933426,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,12.3000001907349,99.3000030517578,1221.39001464844,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.05460000038147,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600184,0.354441821575165,22.1901130676269,3,0,0,0,0.0671550706028938,0,1,1,0,0.732112348079681,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.21934080123901,0,1,0.13054946064949,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,51.5480194091797,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.3957986831665,24.6077671051025,0.741391897201538,0.435164868831635,0.10476192086935,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,12.1000003814697,99.3000030517578,1201.53002929688,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.05460000038147,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600234,0.354441821575165,22.1901130676269,3,0,0,0,0.0671550706028938,0,1,1,0,0.732112348079681,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.21934080123901,0,1,0.13054946064949,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,51.5817413330078,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.3514289855957,24.7318687438965,0,2.24029326438904,0.128937736153603,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,12.1000003814697,99.3000030517578,1201.53002929688,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.05460000038147,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600285,0.354441821575165,22.1901130676269,3,0,0,0,0.0671550706028938,0,1,1,0,0.732112348079681,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.21934080123901,0,1,0.13054946064949,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,51.4469604492188,-10000,-10000,-10000,0,0,0,0,0,4.97238254547119,12.4179840087891,24.6520881652832,0.0805860832333565,0.902564167976379,0.161172166466713,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,10.3000001907349,99.3000030517578,1022.7900390625,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.05460000038147,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600335,0.333359777927399,22.1901130676269,3,0,0,0,0.0676434710621834,0,1,1,0,0.77118444442749,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.32087922096252,0,1,0.13054946064949,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.5480194091797,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.3791599273682,24.7850551605225,0.0967033058404922,1.60366320610046,0.0402930416166782,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,10.3000001907349,99.3000030517578,1022.7900390625,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.05460000038147,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600386,0.333359777927399,22.1901130676269,3,0,0,0,0.0676434710621834,0,1,1,0,0.77118444442749,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.32087922096252,0,1,0.13054946064949,3.22263741493225,0,0,0,0,0,-181.999862670898,-200.769668579102,-10000,51.4806365966797,-10000,-10000,-10000,0,0,0,0,0,4.97238254547119,12.4290761947632,24.6432247161865,1.38608074188232,1.42637372016907,0.0322344340384007,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,9.69999980926514,99.3000030517578,963.210021972656,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.11870002746582,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600437,0.333359777927399,22.1901130676269,3,0,0,0,0.0676434710621834,0,1,1,0,0.77118444442749,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.32087922096252,0,1,0.13054946064949,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.3125,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4068918228149,24.6875457763672,0.797802329063416,0.217582434415817,0.0402930416166782,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,9.69999980926514,99.3000030517578,963.210021972656,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.11870002746582,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713132600487,0.411831796169281,22.1901130676269,3,0,0,0,0.0664224699139595,0,1,1,0,0.77118444442749,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.32087922096252,0,1,0.13054946064949,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.5480194091797,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4124374389648,24.6520881652832,0.878388345241547,0.564102590084076,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,35,12.1999998092651,99.3000030517578,1211.4599609375,31,58.5,58,28.7000007629394,48.7000007629395,3,323,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.09330010414123,3.09689998626709,3.09299993515015,3.09619998931885,3.11870002746582,3.03620004653931,3.0378999710083,3.03229999542236,3.03660011291504,3.05539989471436,2.99000000953674,3.02920007705689,3.02519989013672,3.00570011138916,3.06150007247925,3.00769996643066,3.04270005226135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
