Var1,accelerator_pedal,speed,mcc_state,fr_telem,crz_pwr_mode,crz_spd_mode,crz_pwr_setpt,crz_spd_setpt,eco,main_telem,foot_brake,regen_brake,motor_current,motor_power,mc_status,driver_eStop,external_eStop,crash,discharge_enable,discharge_enabled,charge_enable,charge_enabled,isolation,mcu_hv_en,mcu_stat_fdbk,mppt_contactor,motor_controller_contactor,low_contactor,dcdc_current,dcdc_deg,use_dcdc,supplemental_current,supplemental_voltage,supplemental_deg,use_supp,est_supplemental_soc,bms_mpio1,park_brake,air_temp,brake_temp,dcdc_temp,mainIO_temp,motor_controller_temp,motor_temp,road_temp,l_turn_led_en,r_turn_led_en,brake_led_en,headlights_led_en,hazards,main_5V_bus,main_12V_bus,main_24V_bus,main_5V_current,main_12V_current,main_24V_current,bms_can_heartbeat,hv_can_heartbeat,mainIO_heartbeat,mcc_can_heartbeat,mppt_can_heartbeat,mppt_mode,mppt_current_out,string1_temp,string2_temp,string3_temp,string1_V_in,string2_V_in,string3_V_in,string1_I_in,string2_I_in,string3_I_in,pack_temp,pack_internal_temp,pack_current,pack_voltage,pack_power,populated_cells,soc,soh,pack_amphours,adaptive_total_capacity,fan_speed,pack_resistance,bms_input_voltage,bps_fault,voltage_failsafe,current_failsafe,relay_failsafe,cell_balancing_active,charge_interlock_failsafe,thermistor_b_value_table_invalid,input_power_supply_failsafe,discharge_limit_enforcement_fault,charger_safety_relay_fault,internal_hardware_fault,internal_heatsink_fault,internal_software_fault,highest_cell_voltage_too_high_fault,lowest_cell_voltage_too_low_fault,pack_too_hot_fault,high_voltage_interlock_signal_fault,precharge_circuit_malfunction,abnormal_state_of_charge_behavior,internal_communication_fault,cell_balancing_stuck_off_fault,weak_cell_fault,low_cell_voltage_fault,open_wiring_fault,current_sensor_fault,highest_cell_voltage_over_5V_fault,cell_asic_fault,weak_pack_fault,fan_monitor_fault,thermistor_fault,external_communication_fault,redundant_power_supply_fault,high_voltage_isolation_fault,input_power_supply_fault,charge_limit_enforcement_fault,cell_group1_voltage,cell_group2_voltage,cell_group3_voltage,cell_group4_voltage,cell_group5_voltage,cell_group6_voltage,cell_group7_voltage,cell_group8_voltage,cell_group9_voltage,cell_group10_voltage,cell_group11_voltage,cell_group12_voltage,cell_group13_voltage,cell_group14_voltage,cell_group15_voltage,cell_group16_voltage,cell_group17_voltage,cell_group18_voltage,cell_group19_voltage,cell_group20_voltage,cell_group21_voltage,cell_group22_voltage,cell_group23_voltage,cell_group24_voltage,cell_group25_voltage,cell_group26_voltage,cell_group27_voltage,cell_group28_voltage,cell_group29_voltage,cell_group30_voltage,cell_group31_voltage,lat,lon,elev
1713134880684,0,30.7619953155518,3,0,0,0,0.0671550706028938,0,0,1,0,0.592674016952515,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.69802188873291,0,1,0.145054951310158,3.22102570533752,0,0,0,0,0,-10000,-10000,-10000,51.9539947509766,-10000,-10000,-10000,0,0,0,0,0,4.9652247428894,12.423529624939,24.6166305541992,0.0322344340384007,0.402930468320847,0.0886446908116341,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.3000030517578,39.7200012207031,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.86400008201599,2.87940001487732,2.86940002441406,3.1143000125885,3.18969988822937,3.0813000202179,2.94470000267029,3.18930006027222,2.89590001106262,2.88470005989075,2.875,2.86669993400574,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713134882861,0,29.4485626220703,3,0,0,0,0.0669108703732491,0,0,1,0,0.566300392150879,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.98813199996948,0,1,0.145054951310158,3.22183156013489,0,0,0,0,0,-10000,-10000,-10000,52.0559234619141,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.3791599273682,24.8382415771484,0.185347974300384,0.290109932422638,0.741391897201538,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5,39.7999992370605,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,2.89590001106262,2.88470005989075,2.875,2.86669993400574,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134882919,0,29.0337944030762,3,0,0,0,0.06593406945467,0,0,1,0,0.547741174697876,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.66901087760925,0,1,0.145054951310158,3.22424912452698,0,0,0,0,0,-10000,-10000,-10000,51.8183441162109,-10000,-10000,-181.999862670898,0,0,0,0,0,4.9652247428894,12.4068918228149,24.6077671051025,0.346520185470581,0.209523841738701,0.0402930416166782,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5999984741211,39.8400001525879,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,3.21519994735718,3.20770001411438,3.21320009231567,3.21399998664856,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134882950,0,29.0337944030762,3,0,0,0,0.0671550706028938,0,0,1,0,0.547741174697876,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.66901087760925,0,1,0.145054951310158,3.22424912452698,0,0,0,0,0,-10000,-10000,-10000,51.9879455566406,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4124374389648,24.6343593597412,0.0322344340384007,0.265934079885483,0.0644688680768013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5999984741211,39.8400001525879,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,3.21519994735718,3.20770001411438,3.21320009231567,3.21399998664856,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134882998,0,29.0337944030762,3,0,0,0,0.0671550706028938,0,0,1,0,0.547741174697876,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.72703313827515,0,1,0.145054951310158,3.22424912452698,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.3847064971924,24.6964111328125,0.983150243759155,0.217582434415817,0.0564102604985237,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5999984741211,39.8400001525879,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,3.21519994735718,3.20770001411438,3.21320009231567,3.21399998664856,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134883048,0,29.0337944030762,3,0,0,0,0.0671550706028938,0,0,1,0,0.547741174697876,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.72703313827515,0,1,0.13054946064949,3.22102570533752,0,0,0,0,0,-10000,-10000,-10000,52.0559234619141,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4290761947632,24.6077671051025,0.588278412818909,1.0556777715683,0.370695948600769,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5999984741211,39.8400001525879,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,3.21519994735718,3.20770001411438,3.21320009231567,3.21399998664856,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134883099,0,29.0337944030762,3,0,0,0,0.0673992708325386,0,0,1,0,0.547741174697876,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.66901087760925,0,1,0.13054946064949,3.22102570533752,0,0,0,0,0,-10000,-10000,-10000,52.0559234619141,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4068918228149,24.5989017486572,0.93479859828949,1.01538467407227,0.0644688680768013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5999984741211,39.8400001525879,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,3.21519994735718,3.20770001411438,3.21320009231567,3.21399998664856,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134883149,0,29.0337944030762,3,0,0,0,0.0673992708325386,0,0,1,0,0.547741174697876,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.66901087760925,0,1,0.13054946064949,3.22183156013489,0,0,0,0,0,-10000,-10000,-10000,52.0559234619141,-10000,-10000,-10000,0,0,0,0,0,4.9652247428894,12.4124374389648,24.5723075866699,0.112820520997047,0.596337020397186,0.0644688680768013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5999984741211,39.8400001525879,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,3.21519994735718,3.20770001411438,3.21320009231567,3.21399998664856,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134883199,0,29.0337944030762,3,0,0,0,0.0669108703732491,0,0,1,0,0.547741174697876,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.66901087760925,0,1,0.13054946064949,3.22183156013489,0,0,0,0,0,-10000,-10000,-10000,51.9879455566406,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4124374389648,24.5811729431152,0,0.660805881023407,0.0322344340384007,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5999984741211,39.8400001525879,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,3.21519994735718,3.20770001411438,3.21320009231567,3.21399998664856,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713134883250,0,29.0337944030762,3,0,0,0,0.0669108703732491,0,0,1,0,0.547741174697876,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.7560441493988,0,1,0.13054946064949,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,51.9879455566406,-10000,-10000,-10000,0,0,0,0,0,4.97238254547119,12.3736143112183,24.7141399383545,0.354578763246536,0.572161197662354,0.128937736153603,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0.400000005960464,99.5999984741211,39.8400001525879,31,56,59,27.3999996185303,48.7000007629395,3,278,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20729994773865,3.21070003509521,3.20970010757446,3.208899974823,3.21079993247986,3.21119999885559,3.21000003814697,3.21009993553162,3.21519994735718,3.20770001411438,3.21320009231567,3.21399998664856,2.87829995155335,2.96979999542236,3.02349996566773,2.92429995536804,3.2063000202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
