Var1,accelerator_pedal,speed,mcc_state,fr_telem,crz_pwr_mode,crz_spd_mode,crz_pwr_setpt,crz_spd_setpt,eco,main_telem,foot_brake,regen_brake,motor_current,motor_power,mc_status,driver_eStop,external_eStop,crash,discharge_enable,discharge_enabled,charge_enable,charge_enabled,isolation,mcu_hv_en,mcu_stat_fdbk,mppt_contactor,motor_controller_contactor,low_contactor,dcdc_current,dcdc_deg,use_dcdc,supplemental_current,supplemental_voltage,supplemental_deg,use_supp,est_supplemental_soc,bms_mpio1,park_brake,air_temp,brake_temp,dcdc_temp,mainIO_temp,motor_controller_temp,motor_temp,road_temp,l_turn_led_en,r_turn_led_en,brake_led_en,headlights_led_en,hazards,main_5V_bus,main_12V_bus,main_24V_bus,main_5V_current,main_12V_current,main_24V_current,bms_can_heartbeat,hv_can_heartbeat,mainIO_heartbeat,mcc_can_heartbeat,mppt_can_heartbeat,mppt_mode,mppt_current_out,string1_temp,string2_temp,string3_temp,string1_V_in,string2_V_in,string3_V_in,string1_I_in,string2_I_in,string3_I_in,pack_temp,pack_internal_temp,pack_current,pack_voltage,pack_power,populated_cells,soc,soh,pack_amphours,adaptive_total_capacity,fan_speed,pack_resistance,bms_input_voltage,bps_fault,voltage_failsafe,current_failsafe,relay_failsafe,cell_balancing_active,charge_interlock_failsafe,thermistor_b_value_table_invalid,input_power_supply_failsafe,discharge_limit_enforcement_fault,charger_safety_relay_fault,internal_hardware_fault,internal_heatsink_fault,internal_software_fault,highest_cell_voltage_too_high_fault,lowest_cell_voltage_too_low_fault,pack_too_hot_fault,high_voltage_interlock_signal_fault,precharge_circuit_malfunction,abnormal_state_of_charge_behavior,internal_communication_fault,cell_balancing_stuck_off_fault,weak_cell_fault,low_cell_voltage_fault,open_wiring_fault,current_sensor_fault,highest_cell_voltage_over_5V_fault,cell_asic_fault,weak_pack_fault,fan_monitor_fault,thermistor_fault,external_communication_fault,redundant_power_supply_fault,high_voltage_isolation_fault,input_power_supply_fault,charge_limit_enforcement_fault,cell_group1_voltage,cell_group2_voltage,cell_group3_voltage,cell_group4_voltage,cell_group5_voltage,cell_group6_voltage,cell_group7_voltage,cell_group8_voltage,cell_group9_voltage,cell_group10_voltage,cell_group11_voltage,cell_group12_voltage,cell_group13_voltage,cell_group14_voltage,cell_group15_voltage,cell_group16_voltage,cell_group17_voltage,cell_group18_voltage,cell_group19_voltage,cell_group20_voltage,cell_group21_voltage,cell_group22_voltage,cell_group23_voltage,cell_group24_voltage,cell_group25_voltage,cell_group26_voltage,cell_group27_voltage,cell_group28_voltage,cell_group29_voltage,cell_group30_voltage,cell_group31_voltage,lat,lon,elev
1713128041175,0.326332420110703,10.8531084060669,3,0,0,0,0.0666666701436043,0,1,1,0,0.724297940731049,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.6399998664856,0,1,0.159560441970825,3.21699643135071,0,0,0,0,0,-10000,-10000,-10000,50.0500640869141,-10000,-10000,-10000,0,0,0,0,0,4.9652247428894,12.4013452529907,24.6343593597412,0.24175825715065,1.38608074188232,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,8.39999961853027,100.5,844.199951171875,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.26220011711121,3.26320004463196,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3269424438477,274.399993896484
1713128041225,0.326332420110703,10.8531084060669,3,0,0,0,0.0666666701436043,0,1,1,0,0.724297940731049,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.6399998664856,0,1,0.159560441970825,3.21699643135071,0,0,0,0,0,-10000,-10000,-10000,50.0171966552734,-10000,-10000,-181.999862670898,0,0,0,0,0,4.9699969291687,12.4124374389648,24.6077671051025,0.10476192086935,1.49084258079529,0.556044042110443,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,8.39999961853027,100.5,844.199951171875,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.26220011711121,3.26320004463196,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3269424438477,274.399993896484
1713128041276,0.326332420110703,10.8531084060669,3,0,0,0,0.0664224699139595,0,1,1,0,0.724297940731049,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.6399998664856,0,1,0.159560441970825,3.21699643135071,0,0,0,0,0,-10000,-10000,-10000,49.9843597412109,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4290761947632,24.6343593597412,0.145054966211319,1.77289402484894,0.0805860832333565,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,9.19999980926514,100.5,924.599975585938,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.26220011711121,3.26320004463196,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3269424438477,274.399993896484
1713128041882,0.336873441934586,10.8531084060669,3,0,0,0,0.0669108703732491,0,1,1,0,0.671062290668488,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.37890100479126,0,1,0.159560441970825,3.22263741493225,0,0,0,0,0,-10000,-10000,-10000,49.9515075683594,-10000,-10000,-163.226821899414,0,0,0,0,0,4.96283864974976,12.3514289855957,24.6964111328125,0.0161172170192003,2.92527484893799,0.0644688680768013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,7.40000009536743,100.599998474121,744.440002441406,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.26220011711121,3.26320004463196,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3269424438477,274.399993896484
1713128042185,0.304664790630341,10.8531084060669,3,0,0,0,0.0671550706028938,0,1,1,0,0.671062290668488,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.29186820983887,0,1,0.159560441970825,3.22102570533752,0,0,0,0,0,-10000,-10000,-10000,50.0171966552734,-10000,-10000,-10000,0,0,0,0,0,4.97238254547119,12.368067741394,24.7495975494385,0,0.854212522506714,1.88571441173553,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,6.90000009536743,100.599998474121,694.140014648438,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.26220011711121,3.26320004463196,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3269424438477,274.399993896484
1713128042235,0.304664790630341,10.8531084060669,3,0,0,0,0.0671550706028938,0,1,1,0,0.671062290668488,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.82857155799866,0,1,0.145054951310158,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,49.8203735351562,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4013452529907,24.6432247161865,0.282051295042038,0.564102590084076,0.201465234160423,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,6.90000009536743,100.599998474121,694.140014648438,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.26220011711121,3.26320004463196,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3269424438477,274.399993896484
1713128042286,0.256058901548386,10.8531084060669,3,0,0,0,0.0671550706028938,0,1,1,0,0.733333349227905,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.82857155799866,0,1,0.145054951310158,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,50.1487731933594,-10000,-10000,-200.769668579102,0,0,0,0,0,4.9699969291687,12.4179840087891,24.6254959106445,0.120879128575325,2.70769238471985,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,4.30000019073486,100.5,432.150024414062,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.26220011711121,3.26320004463196,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3269424438477,274.399993896484
1713128042842,0.256644517183304,10.8531084060669,3,0,0,0,0.0673992708325386,0,1,1,0,0.609523832798004,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.84307718276977,0,1,0.145054951310158,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,49.918701171875,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4068918228149,24.7318687438965,0.193406611680984,3.36044001579285,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,7.5,100.599998474121,754.5,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20110011100769,3.16569995880127,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3269424438477,274.399993896484
1713128043296,0.0235709212720394,10.8531084060669,3,0,0,0,0.0661782696843147,0,1,1,0,0.604639828205109,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.87208819389343,0,1,0.159560441970825,3.21457886695862,0,0,0,0,0,-10000,-10000,-10000,50.0500640869141,-10000,-10000,-171.019180297852,0,0,0,0,0,4.9652247428894,12.4124374389648,24.5723075866699,0,4.03736305236816,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0.300000011920929,100.599998474121,30.1800003051758,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20110011100769,3.16569995880127,3.26250004768372,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3270874023438,275
1713128043448,0,10.8531084060669,3,0,0,0,0.0656898692250252,0,1,1,0,0.610256433486938,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.88659358024597,0,1,0.159560441970825,3.21780228614807,0,0,0,0,0,-10000,-10000,-10000,49.918701171875,-10000,-10000,-10000,0,0,0,0,0,4.9652247428894,12.4013452529907,24.6698169708252,0,0,0.0241758264601231,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0.300000011920929,100.699996948242,30.2100009918213,31,69.5,57,34,48.7000007629395,1,355,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20110011100769,3.16569995880127,3.24690008163452,3.26169991493225,3.26220011711121,3.26239991188049,3.26139998435974,3.26149988174439,3.26760005950928,3.25939989089966,3.26169991493225,3.16980004310608,3.15420007705689,3.20129990577698,3.06019997596741,3.10190010070801,3.1431999206543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9065437316895,-89.3270874023438,275
