air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,snow_depth,snow_water_equivalent,snow_soiling_rooftop,snow_soiling_ground,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,zenith,period_end,period
14,0.16,83,27,351,58,34,0,0.7,27,351,58,34,8.4,0,41.6,979.1,0,0,0,0,312,310,7.8,4.3,85,2024-04-13T00:05:00Z,PT5M
13,0.16,82,23,260,46,22,0,0.6,23,260,46,22,8.4,0,41.6,979.2,0,0,0,0,311,310,7.7,4.2,86,2024-04-13T00:10:00Z,PT5M
13,0.16,81,19,172,34,15,0,0.5,19,172,34,15,8.3,0,41.6,979.2,0,0,0,0,311,309,7.7,4.2,87,2024-04-13T00:15:00Z,PT5M
13,0.16,80,14,100,23,12,0,0.5,14,100,23,12,8.2,0,41.5,979.3,0,0,0,0,311,309,7.7,4.1,88,2024-04-13T00:20:00Z,PT5M
13,0.16,79,9,45,13,8,0,0.4,9,45,13,8,8.1,0,41.5,979.4,0,0,0,0,311,309,7.6,4.1,88,2024-04-13T00:25:00Z,PT5M
13,0.16,79,3,11,4,3,0,0.3,3,11,4,3,8.1,0,41.5,979.4,0,0,0,0,310,308,7.6,4,89,2024-04-13T00:30:00Z,PT5M
13,0.16,78,0,0,0,0,0,0.3,0,0,0,0,8,0,41.5,979.5,0,0,0,0,310,308,7.6,4,90,2024-04-13T00:35:00Z,PT5M
13,0.16,77,0,0,0,0,0,0.2,0,0,0,0,7.9,0,41.5,979.6,0,0,0,0,310,307,7.5,3.9,91,2024-04-13T00:40:00Z,PT5M
13,0.16,76,0,0,0,0,0,0.1,0,0,0,0,7.8,0,41.4,979.6,0,0,0,0,309,307,7.5,3.9,92,2024-04-13T00:45:00Z,PT5M
13,0.16,75,0,0,0,0,0,0.1,0,0,0,0,7.8,0,41.4,979.7,0,0,0,0,309,306,7.5,3.8,93,2024-04-13T00:50:00Z,PT5M
13,0.16,74,0,0,0,0,0,0,0,0,0,0,7.7,0,41.4,979.8,0,0,0,0,309,306,7.4,3.7,94,2024-04-13T00:55:00Z,PT5M
13,0.16,73,0,0,0,0,0,-0.1,0,0,0,0,7.6,0,41.4,979.8,0,0,0,0,309,305,7.4,3.7,95,2024-04-13T01:00:00Z,PT5M
13,0.16,73,0,0,0,0,0,-0.1,0,0,0,0,7.6,0,41.6,979.9,0,0,0,0,308,305,7.4,3.6,96,2024-04-13T01:05:00Z,PT5M
12,0.16,72,0,0,0,0,0,-0.2,0,0,0,0,7.6,0,41.9,980,0,0,0,0,308,305,7.4,3.6,96,2024-04-13T01:10:00Z,PT5M
12,0.16,71,0,0,0,0,0,-0.2,0,0,0,0,7.6,0,42.3,980.1,0,0,0,0,308,305,7.4,3.6,97,2024-04-13T01:15:00Z,PT5M
