Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1632.56976,0.0603763682279228,0,42.841582,-108.745865,5356.2,6.04498388014413,0,0
14.484096,1633.02696,0.0319890840393151,14.289024,42.841637,-108.745707,5357.7,3.2,0.009,46.88
46.670976,1631.99064,-0.0319890840393151,32.144208,42.841901,-108.745868,5354.3,-3.2,0.029,105.46
51.499008,1631.99064,0,4.590288,42.841938,-108.745893,5354.3,0,0.032,15.06
177.02784,1633.39272,0.0109995563655408,125.66904,42.84295,-108.74658,5358.9,1.1,0.11,412.3
310.603392,1632.32592,-0.00799982933988663,133.737096,42.844027,-108.747311,5355.4,-0.8,0.193,438.77
766.047744,1630.55808,-0.00399997866687146,455.91984,42.847699,-108.749802,5349.6,-0.4,0.476,1495.8
902.841984,1631.99064,0.0109995563655408,135.946896,42.8488,-108.750528,5354.3,1.1,0.561,446.02
1013.88672,1634.12424,0.0189977141617588,111.14532,42.8497,-108.751122,5361.3,1.9,0.63,364.65
1124.931456,1639.03152,0.0439716382710356,111.593376,42.850547,-108.751856,5377.4,4.4,0.699,366.12
1186.086528,1638.26952,-0.0129992677409163,61.350144,42.850989,-108.752306,5374.9,-1.3,0.737,201.28
1287.4752,1640.98224,0.0269934418682879,100.352352,42.85166,-108.753128,5383.8,2.7,0.8,329.24
1388.863872,1642.23192,0.0119994240497613,102.7938,42.852256,-108.75409,5387.9,1.2,0.863,337.25
1467.721728,1644.30456,0.0259941437084617,78.217776,42.852668,-108.754866,5394.7,2.6,0.912,256.62
1627.046784,1646.0724,0.0109995563655408,159.309816,42.853376,-108.756561,5400.5,1.1,1.011,522.67
1800.855936,1651.77216,0.0329880288209954,174.449232,42.854178,-108.758396,5419.2,3.3,1.119,572.34
1958.571648,1654.94208,0.0199973339731505,156.868368,42.85487,-108.760069,5429.6,2,1.217,514.66
2018.117376,1658.02056,0.0519532065609139,59.789568,42.855146,-108.760697,5439.7,5.2,1.254,196.16
2404.359936,1666.70736,0.0219964516970369,385.992624,42.856882,-108.764788,5468.2,2.2,1.494,1266.38
2906.475264,1684.1724,0.0349857188285258,501.895872,42.859154,-108.770096,5525.5,3.5,1.806,1646.64
2999.817216,1690.7256,0.0698860016346425,93.546168,42.859608,-108.77106,5547,7,1.864,306.91
3072.237696,1695.99864,0.0728707407092984,72.2376,42.860006,-108.771759,5564.3,7.3,1.909,237
3165.579648,1698.25416,0.0239953935918699,94.369128,42.860592,-108.772595,5571.7,2.4,1.967,309.61
3249.265536,1703.00904,0.0569383890598442,83.04276,42.861161,-108.773254,5587.3,5.7,2.019,272.45
3339.3888,1707.55056,0.0499583957219428,89.934288,42.861818,-108.773897,5602.2,5,2.075,295.06
3402.153216,1708.12968,0.00899975701180912,62.508384,42.862293,-108.774307,5604.1,0.9,2.114,205.08
3635.508096,1699.35144,-0.0379817251640402,233.254296,42.864066,-108.775836,5575.3,-3.8,2.259,765.27
3896.221824,1688.25672,-0.0419753301053573,261.725664,42.866043,-108.777578,5538.9,-4.2,2.421,858.68
3950.93952,1682.73984,-0.102638058788916,53.669184,42.866455,-108.777921,5520.8,-10.3,2.455,176.08
4053.937536,1686.9156,0.03997868712329,102.921816,42.867249,-108.77857,5534.5,4,2.519,337.67
4158.544896,1684.08096,-0.0269934418682879,105.485184,42.868079,-108.779197,5525.2,-2.7,2.584,346.08
4330.744704,1684.44672,0.00199999733333973,172.282104,42.869469,-108.780132,5526.4,0.2,2.691,565.23
4824.813312,1683.77616,-0.000999999666666867,493.53216,42.873498,-108.782677,5524.2,-0.1,2.998,1619.2
5005.05984,1688.7444,0.0269934418682879,181.118256,42.874983,-108.783592,5540.5,2.7,3.11,594.22
5101.62048,1687.55568,-0.0119994240497613,96.63684,42.875771,-108.784093,5536.6,-1.2,3.17,317.05
5188.525056,1687.28136,-0.0029999910000486,86.922864,42.87648,-108.784543,5535.7,-0.3,3.224,285.18
5420.270592,1678.9908,-0.0359844600820516,231.06888,42.878373,-108.785715,5508.5,-3.6,3.368,758.1
5735.702016,1677.55824,-0.00499995833395832,316.105032,42.880955,-108.787341,5503.8,-0.5,3.564,1037.09
5925.604608,1679.99664,0.0129992677409163,188.470032,42.882498,-108.7883,5511.8,1.3,3.682,618.34
5975.494272,1679.41752,-0.0109995563655408,51.34356,42.882915,-108.788571,5509.9,-1.1,3.713,168.45
6204.02112,1682.8008,0.0149988751518506,228.0666,42.88478,-108.789738,5521,1.5,3.855,748.25
6281.269632,1683.65424,0.0109995563655408,76.2762,42.885399,-108.790142,5523.8,1.1,3.903,250.25
6616.013184,1692.88968,0.0279926861068139,334.703928,42.888143,-108.791834,5554.1,2.8,4.111,1098.11
6644.981376,1693.86504,0.0329880288209954,29.221176,42.888379,-108.791992,5557.3,3.3,4.129,95.87
6855.80544,1698.40656,0.0219964516970369,211.128864,42.890112,-108.793053,5572.2,2.2,4.26,692.68
7081.1136,1703.77104,0.0239953935918699,225.908616,42.891957,-108.794216,5589.8,2.4,4.4,741.17
7114.909824,1702.94808,-0.0249947936189202,33.418272,42.892236,-108.794369,5587.1,-2.5,4.421,109.64
7201.8144,1702.6128,-0.00399997866687146,86.093808,42.892973,-108.794695,5586,-0.4,4.475,282.46
7269.406848,1705.356,0.03997868712329,68.58,42.89358,-108.794848,5595,4,4.517,225
7333.780608,1705.93512,0.00899975701180912,64.035432,42.894155,-108.794903,5596.9,0.9,4.557,210.09
7547.82336,1707.97728,0.00899975701180912,213.850728,42.89608,-108.794907,5603.6,0.9,4.69,701.61
7571.96352,1708.64784,0.0289918744331005,23.884128,42.896295,-108.794909,5605.8,2.9,4.705,78.36
7700.71104,1706.84952,-0.0139990854408831,129.866136,42.897464,-108.794907,5599.9,-1.4,4.785,426.07
7895.441664,1708.0992,0.00599992800155516,193.855848,42.899209,-108.794896,5604,0.6,4.906,636.01
7914.753792,1708.49544,0.020996913816563,19.775424,42.899387,-108.794898,5605.3,2.1,4.918,64.88
7934.06592,1709.19648,0.0359844600820516,18.662904,42.899555,-108.7949,5607.6,3.6,4.93,61.23
8070.86016,1709.04408,-0.000999999666666867,137.196576,42.90079,-108.794902,5607.1,-0.1,5.015,450.12
8194.779648,1709.40984,0.0029999910000486,124.422408,42.90191,-108.794896,5608.3,0.3,5.092,408.21
8352.49536,1708.00776,-0.00899975701180912,157.304232,42.903326,-108.794901,5603.7,-0.9,5.19,516.09
8669.536128,1708.16016,0.000999999666666867,317.165736,42.906181,-108.794898,5604.2,0.1,5.387,1040.57
8938.296576,1702.1556,-0.0219964516970369,268.62024,42.908599,-108.794887,5584.5,-2.2,5.554,881.3
9123.371136,1702.58232,0.00199999733333973,184.410096,42.910259,-108.794888,5585.9,0.2,5.669,605.02
9195.791616,1701.14976,-0.0199973339731505,73.664064,42.910922,-108.794872,5581.2,-2,5.714,241.68
9874.934784,1698.86376,-0.0029999910000486,678.432984,42.917029,-108.794875,5573.7,-0.3,6.136,2225.83
10303.020288,1694.8404,-0.00899975701180912,427.92396,42.920881,-108.794872,5560.5,-0.9,6.402,1403.95
11101.254912,1689.93312,-0.00599992800155516,798.63696,42.92807,-108.79486,5544.4,-0.6,6.898,2620.2
12224.577024,1677.28392,-0.0109995563655408,1122.916728,42.938178,-108.794902,5502.9,-1.1,7.596,3684.11
12321.137664,1677.55824,0.0029999910000486,96.685608,42.939048,-108.794934,5503.8,0.3,7.656,317.21
12379.074048,1677.98496,0.00699988567002795,57.54624,42.939563,-108.79501,5505.2,0.7,7.692,188.8
12433.791744,1676.61336,-0.0239953935918699,55.821072,42.940055,-108.795149,5500.7,-2.4,7.726,183.14
12496.55616,1675.72944,-0.0139990854408831,62.645544,42.940593,-108.795379,5497.8,-1.4,7.765,205.53
12554.492544,1673.99208,-0.0299910048568779,56.833008,42.941067,-108.795641,5492.1,-3,7.801,186.46
