type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
W	42.322974163	-111.297701666	5994.1						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	G. Montpelier		
W	42.841597575	-108.745826606	5354.3						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	F. Lander		
W	39.092180328	-94.417052726	1059.7						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	A. Independence		
W	41.828385359	-103.707647140	4120.7						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	D. Gering		
W	39.037730470	-95.676168265	918.6						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	B. Topeka		
W	40.882933512	-98.373416689	1876.6						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	C. Grand Island		
W	42.866811643	-106.336730415	5308.4						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	E. Casper		
W	42.583990486	-114.471057557	3671.3						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	I. Twin Falls		
W	42.864735055	-112.452639552	4465.2						#0288d1			1	https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png	H. Pocatello		

