type,latitude,longitude,course,distance (km),distance_interval (m),name,desc
T,36.146807000,-86.775560000,,0.000,,1A: Nashville to Paducah,
T,36.146855000,-86.775427000,65.9,0.013,13.10,,
T,36.146902000,-86.775332000,58.5,0.023,10.01,,
T,36.146955000,-86.775238000,55.1,0.033,10.30,,
T,36.147024000,-86.775147000,46.8,0.045,11.21,,
T,36.147094000,-86.775083000,36.4,0.054,9.67,,
T,36.147083000,-86.774975000,97.2,0.064,9.80,,
T,36.147061000,-86.774761000,97.3,0.084,19.41,,
T,36.147134000,-86.774526000,69.0,0.106,22.65,,
T,36.147190000,-86.774447000,48.7,0.116,9.44,,
T,36.147242000,-86.774424000,19.7,0.122,6.13,,
T,36.147300000,-86.774404000,15.6,0.128,6.68,,
T,36.147316000,-86.774547000,277.9,0.141,12.99,,
T,36.147316000,-86.774547000,277.9,0.141,0.00,,
T,36.147399000,-86.775266000,278.1,0.207,65.36,,
T,36.147401000,-86.775337000,272.0,0.213,6.39,,
T,36.147398000,-86.775411000,267.1,0.220,6.67,,
T,36.147388000,-86.775507000,262.6,0.229,8.71,,
T,36.147368000,-86.775623000,257.9,0.239,10.67,,
T,36.147355000,-86.775681000,254.5,0.245,5.42,,
T,36.147339000,-86.775735000,249.9,0.250,5.17,,
T,36.147308000,-86.775813000,243.8,0.258,7.82,,
T,36.147273000,-86.775885000,239.0,0.265,7.55,,
T,36.147209000,-86.775989000,232.7,0.277,11.75,,
T,36.147122000,-86.776103000,226.6,0.291,14.09,,
T,36.147040000,-86.776187000,219.6,0.303,11.83,,
T,36.146984000,-86.776231000,212.4,0.310,7.37,,
T,36.146899000,-86.776281000,205.4,0.321,10.45,,
T,36.146798000,-86.776324000,199.0,0.333,11.86,,
T,36.146688000,-86.776353000,192.0,0.345,12.48,,
T,36.146615000,-86.776358000,183.2,0.353,8.11,,
T,36.143817000,-86.776561000,183.4,0.664,311.01,,
T,36.143651000,-86.776546000,175.8,0.683,18.47,,
T,36.143563000,-86.776525000,169.1,0.693,9.95,,
T,36.143436000,-86.776475000,162.4,0.707,14.79,,
T,36.143341000,-86.776423000,156.2,0.719,11.53,,
T,36.143169000,-86.776270000,144.3,0.742,23.53,,
T,36.142932000,-86.776024000,140.0,0.777,34.38,,
T,36.142826000,-86.775943000,148.3,0.791,13.84,,
T,36.142651000,-86.775838000,154.1,0.812,21.60,,
T,36.142475000,-86.775785000,166.3,0.832,20.10,,
T,36.142246000,-86.775754000,173.8,0.858,25.56,,
T,36.142127000,-86.775769000,185.8,0.871,13.27,,
T,36.142005000,-86.776388000,256.3,0.928,57.33,,
T,36.141873000,-86.777064000,256.4,0.991,62.58,,
T,36.141818000,-86.777356000,256.9,1.018,26.98,,
T,36.141796000,-86.777499000,259.2,1.031,13.10,,
T,36.141762000,-86.777936000,264.5,1.071,39.51,,
T,36.141749000,-86.778115000,264.9,1.087,16.17,,
T,36.141719000,-86.778528000,264.9,1.124,37.32,,
T,36.141719000,-86.778560000,270.0,1.127,2.88,,
T,36.141717000,-86.778701000,269.0,1.140,12.69,,
T,36.141817000,-86.778717000,352.6,1.151,11.19,,
T,36.142430000,-86.778793000,354.3,1.219,68.36,,
T,36.142498000,-86.778802000,353.9,1.227,7.59,,
T,36.142683000,-86.778825000,354.3,1.247,20.63,,
T,36.142772000,-86.778824000,0.5,1.257,9.88,,
T,36.142875000,-86.778828000,358.2,1.269,11.43,,
T,36.142875000,-86.778828000,358.2,1.269,0.00,,
T,36.143139000,-86.778838000,358.2,1.298,29.31,,
T,36.143167000,-86.778839000,358.3,1.301,3.11,,
T,36.143531000,-86.778853000,358.2,1.342,40.41,,
T,36.143897000,-86.778872000,357.6,1.382,40.65,,
T,36.144038000,-86.778880000,357.4,1.398,15.66,,
T,36.144455000,-86.778901000,357.7,1.444,46.31,,
T,36.144651000,-86.778912000,357.4,1.466,21.77,,
T,36.144857000,-86.778923000,357.5,1.489,22.88,,
T,36.145051000,-86.778933000,357.6,1.510,21.55,,
T,36.145101000,-86.778935000,358.1,1.516,5.55,,
T,36.145285000,-86.778946000,357.2,1.536,20.44,,
T,36.145435000,-86.778955000,357.2,1.553,16.66,,
T,36.145549000,-86.778962000,357.2,1.566,12.67,,
T,36.145858000,-86.778981000,357.2,1.600,34.33,,
T,36.146238000,-86.779003000,357.3,1.642,42.21,,
T,36.146621000,-86.779026000,357.2,1.685,42.55,,
T,36.146713000,-86.779031000,357.5,1.695,10.22,,
T,36.146738000,-86.779033000,356.3,1.698,2.78,,
T,36.146997000,-86.779042000,358.4,1.727,28.75,,
T,36.147398000,-86.779056000,358.4,1.771,44.51,,
T,36.147694000,-86.779071000,357.7,1.804,32.87,,
T,36.147931000,-86.779083000,357.7,1.830,26.32,,
T,36.148111000,-86.779092000,357.7,1.850,19.99,,
T,36.148187000,-86.779096000,357.6,1.859,8.44,,
T,36.148367000,-86.779105000,357.7,1.879,19.99,,
T,36.148629000,-86.779118000,357.7,1.908,29.10,,
T,36.148809000,-86.779127000,357.7,1.928,19.99,,
T,36.148833000,-86.779128000,358.1,1.930,2.66,,
T,36.149001000,-86.779137000,357.5,1.949,18.66,,
T,36.149013000,-86.779138000,356.2,1.950,1.33,,
T,36.149589000,-86.779167000,357.7,2.014,63.97,,
T,36.149702000,-86.779171000,358.4,2.027,12.54,,
T,36.149808000,-86.779177000,357.4,2.039,11.77,,
T,36.149919000,-86.779183000,357.5,2.051,12.33,,
T,36.150171000,-86.779197000,357.4,2.079,27.99,,
T,36.150404000,-86.779210000,357.4,2.105,25.88,,
T,36.150593000,-86.779220000,357.6,2.126,20.99,,
T,36.150741000,-86.779228000,357.5,2.142,16.44,,
T,36.150827000,-86.779233000,357.3,2.152,9.55,,
T,36.151036000,-86.779240000,358.5,2.175,23.20,,
T,36.151149000,-86.779251000,355.5,2.188,12.58,,
T,36.151246000,-86.779256000,357.6,2.198,10.77,,
T,36.151284000,-86.779258000,357.6,2.203,4.22,,
T,36.151797000,-86.779286000,357.5,2.260,56.98,,
T,36.151805000,-86.779287000,354.2,2.261,0.89,,
T,36.152008000,-86.779293000,358.6,2.283,22.53,,
T,36.152239000,-86.779306000,357.4,2.309,25.66,,
T,36.152739000,-86.779328000,358.0,2.364,55.52,,
T,36.152814000,-86.779331000,358.2,2.373,8.33,,
T,36.152979000,-86.779337000,358.3,2.391,18.32,,
T,36.153390000,-86.779366000,356.7,2.437,45.68,,
T,36.153434000,-86.779369000,356.8,2.441,4.89,,
T,36.154019000,-86.779398000,357.7,2.506,64.97,,
T,36.154128000,-86.779398000,0.0,2.519,12.09,,
T,36.154358000,-86.779339000,11.7,2.545,26.07,,
T,36.154438000,-86.779311000,15.8,2.554,9.23,,
T,36.154532000,-86.779278000,15.8,2.565,10.84,,
T,36.154561000,-86.779237000,48.8,2.570,4.90,,
T,36.154629000,-86.779183000,32.7,2.579,8.97,,
T,36.154690000,-86.779152000,22.3,2.586,7.32,,
T,36.154731000,-86.779142000,11.1,2.591,4.64,,
T,36.154786000,-86.779134000,6.7,2.597,6.15,,
T,36.154836000,-86.779149000,346.4,2.602,5.71,,
T,36.154912000,-86.779188000,337.5,2.612,9.13,,
T,36.154975000,-86.779252000,320.6,2.621,9.06,,
T,36.155021000,-86.779336000,304.1,2.630,9.12,,
T,36.155041000,-86.779400000,291.2,2.636,6.17,,
T,36.155049000,-86.779469000,278.2,2.642,6.27,,
T,36.155073000,-86.779526000,297.5,2.648,5.78,,
T,36.155117000,-86.779599000,306.7,2.656,8.18,,
T,36.155154000,-86.779654000,309.8,2.663,6.43,,
T,36.155166000,-86.779665000,323.5,2.664,1.66,,
T,36.155182000,-86.779682000,319.4,2.667,2.34,,
T,36.155323000,-86.779774000,332.2,2.684,17.70,,
T,36.155511000,-86.779949000,323.1,2.710,26.14,,
T,36.155812000,-86.780140000,332.9,2.748,37.56,,
T,36.156166000,-86.780359000,333.5,2.792,43.95,,
T,36.156532000,-86.780595000,332.5,2.838,45.83,,
T,36.156623000,-86.780656000,331.6,2.849,11.49,,
