type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,37.089823000,-88.596642000,101.7,,,,0.000,,,1AL: Paducah Loop,
T,37.089758000,-88.596802000,101.9,,243.0,1.3,0.016,15.95,,,
T,37.089251000,-88.598064000,103.2,,243.3,1.0,0.141,125.52,,,
T,37.088717000,-88.599375000,103.4,,243.0,0.2,0.272,130.76,1,,
T,37.088717000,-88.599375000,103.4,,243.0,,0.272,0.00,,,
T,37.087784000,-88.598784000,103.6,,153.2,0.2,0.388,116.11,,,
T,37.087713000,-88.598739000,103.6,,153.2,0.0,0.397,8.84,,,
T,37.087645000,-88.598696000,103.6,,153.2,0.0,0.406,8.46,,,
T,37.087438000,-88.598564000,103.6,,153.0,0.0,0.431,25.80,,,
T,37.086693000,-88.598092000,103.6,,153.2,0.0,0.524,92.72,,,
T,37.086216000,-88.597791000,103.5,,153.3,-0.2,0.583,59.32,,,
T,37.085685000,-88.597455000,103.3,,153.2,-0.2,0.650,66.07,,,
T,37.084680000,-88.596791000,103.5,,152.2,0.1,0.776,126.20,,,
T,37.083699000,-88.596157000,103.5,,152.7,0.0,0.898,122.60,,,
T,37.083485000,-88.596021000,103.6,,153.1,0.5,0.925,26.65,,,
T,37.082458000,-88.595372000,103.6,,153.2,0.0,1.053,127.75,,,
T,37.082341000,-88.595241000,103.6,,138.2,0.0,1.070,17.44,,,
T,37.082158000,-88.594993000,103.6,,132.8,0.0,1.100,29.98,,,
T,37.082000000,-88.594693000,103.6,,123.4,0.0,1.132,31.92,,,
T,37.081643000,-88.593929000,103.5,,120.4,-0.1,1.211,78.64,,,
T,37.081404000,-88.593432000,103.6,,121.1,0.1,1.262,51.54,,,
T,37.081213000,-88.593165000,103.6,,131.9,-0.0,1.294,31.83,,,
T,37.080985000,-88.592936000,103.3,,141.3,-0.8,1.327,32.48,,,
T,37.080818000,-88.592809000,103.2,,148.8,-0.3,1.348,21.70,,,
T,37.080623000,-88.592607000,103.3,,140.4,0.2,1.376,28.12,,,
T,37.079797000,-88.592136000,102.7,,155.5,-0.6,1.477,100.78,,,
T,37.077761000,-88.590859000,103.5,,153.4,0.3,1.730,252.88,,,
T,37.077092000,-88.590439000,103.7,,153.4,0.3,1.813,83.11,1,,
T,37.077092000,-88.590439000,103.7,,153.4,,1.813,0.00,,,
T,37.075368000,-88.589356000,103.5,,153.4,-0.1,2.027,214.20,,,
T,37.072578000,-88.587604000,103.6,,153.4,0.0,2.374,346.62,,,
T,37.071679000,-88.587033000,105.4,,153.1,1.6,2.486,111.95,,,
T,37.071162000,-88.586703000,106.0,,153.0,1.0,2.550,64.45,,,
T,37.070532000,-88.586284000,103.7,,152.0,-3.0,2.630,79.23,,,
T,37.070216000,-88.586026000,93.4,,146.9,-24.5,2.672,41.91,,,
T,37.069940000,-88.585716000,101.9,,138.1,20.5,2.713,41.21,,,
T,37.069658000,-88.585318000,102.3,,131.6,0.9,2.760,47.25,,,
T,37.069078000,-88.584250000,104.7,,124.2,2.1,2.875,114.73,,,
T,37.068395000,-88.583001000,103.7,,124.4,-0.8,3.009,134.47,,,
T,37.068173000,-88.582717000,103.7,,134.4,0.0,3.044,35.28,,,
T,37.068050000,-88.582560000,103.7,,134.5,0.2,3.064,19.53,,,
T,37.067596000,-88.582205000,102.6,,148.0,-1.9,3.123,59.46,,,
T,37.067548000,-88.582178000,102.2,,155.8,-7.5,3.129,5.84,,,
T,37.067354000,-88.582076000,100.3,,157.2,-8.1,3.153,23.36,,,
T,37.065914000,-88.581373000,100.7,,158.7,0.3,3.324,171.60,,,
T,37.065600000,-88.581210000,98.7,,157.5,-5.5,3.362,37.74,,,
T,37.064596000,-88.580736000,98.6,,159.4,-0.1,3.481,119.13,,,
T,37.064353000,-88.580600000,100.5,,155.9,6.4,3.511,29.56,,,
T,37.064205000,-88.580501000,100.9,,151.9,2.2,3.529,18.64,,,
T,37.064061000,-88.580389000,101.2,,148.2,1.4,3.548,18.83,,,
T,37.063859000,-88.580200000,101.2,,143.3,0.1,3.576,28.02,,,
T,37.063734000,-88.580063000,101.1,,138.8,-0.5,3.595,18.46,,,
T,37.063619000,-88.579919000,101.0,,135.0,-0.4,3.613,18.08,,,
T,37.063509000,-88.579764000,101.1,,131.6,0.7,3.631,18.41,,,
T,37.063408000,-88.579601000,101.3,,127.8,1.0,3.649,18.32,,,
T,37.063179000,-88.579171000,102.2,,123.7,1.9,3.695,45.92,,,
T,37.063115000,-88.579043000,102.5,,122.1,2.4,3.709,13.42,,,
T,37.061693000,-88.576229000,103.0,,122.3,0.2,4.005,295.87,,,
T,37.061213000,-88.575279000,101.6,,122.3,-1.4,4.105,99.88,,,
T,37.060686000,-88.574230000,103.6,,122.2,1.8,4.215,110.11,,,
T,37.059517000,-88.571921000,104.6,,122.4,0.4,4.458,242.91,,,
