type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,37.089823000,-88.596642000,101.7,,,,0.000,,,1B: Paducah to Edwardsville,
T,37.089758000,-88.596802000,101.9,,243.0,1.3,0.016,15.95,,,
T,37.089306000,-88.597927000,103.0,,243.3,1.0,0.128,111.89,1,,
T,37.089306000,-88.597927000,103.0,,243.3,,0.128,0.00,,,
T,37.089251000,-88.598064000,103.2,,243.3,1.3,0.141,13.62,,,
T,37.090254000,-88.598699000,102.8,,333.2,-0.3,0.266,124.81,,,
T,37.090510000,-88.598918000,102.6,,325.7,-0.6,0.301,34.44,,,
T,37.090676000,-88.599168000,102.6,,309.8,-0.1,0.330,28.87,,,
T,37.091050000,-88.599933000,102.8,,301.5,0.2,0.409,79.68,,,
T,37.091734000,-88.601346000,103.5,,301.3,0.5,0.556,146.78,,,
T,37.091837000,-88.601582000,103.6,,298.7,0.6,0.580,23.89,,,
T,37.091940000,-88.601894000,103.6,,292.5,0.0,0.610,30.00,,,
T,37.092001000,-88.602233000,103.5,,282.7,-0.4,0.641,30.89,,,
T,37.092053000,-88.603035000,103.3,,274.6,-0.2,0.712,71.53,,,
T,37.092066000,-88.603365000,103.3,,272.8,-0.0,0.742,29.37,,,
T,37.092023000,-88.603718000,103.4,,261.3,0.1,0.773,31.74,,,
T,37.092013000,-88.603762000,103.4,,254.1,0.3,0.778,4.07,,,
T,37.091981000,-88.603907000,103.4,,254.5,0.3,0.791,13.37,,,
T,37.091920000,-88.604078000,103.5,,245.9,0.2,0.808,16.64,,,
T,37.091893000,-88.604148000,103.4,,244.2,-0.3,0.814,6.91,1,,
T,37.091893000,-88.604148000,103.4,,244.2,,0.814,0.00,,,
T,37.091781000,-88.604437000,103.3,,244.1,-0.4,0.843,28.54,,,
T,37.091655000,-88.604761000,103.5,,244.0,0.7,0.875,32.02,,,
T,37.091540000,-88.605042000,103.6,,242.8,0.2,0.903,28.05,,,
T,37.091292000,-88.605645000,103.6,,242.7,0.0,0.963,60.26,,,
T,37.091038000,-88.606275000,103.6,,243.2,0.0,1.026,62.70,,,
T,37.090796000,-88.606875000,103.6,,243.2,0.1,1.086,59.72,,,
T,37.090731000,-88.607036000,103.8,,243.2,1.0,1.102,16.03,,,
T,37.090385000,-88.607883000,103.9,,242.9,0.1,1.186,84.53,,,
T,37.090255000,-88.608157000,103.8,,239.3,-0.4,1.215,28.31,,,
T,37.089532000,-88.609988000,103.9,,243.7,0.1,1.396,181.49,,,
T,37.088942000,-88.611451000,104.2,,243.2,0.2,1.542,145.62,,,
T,37.088434000,-88.612703000,103.9,,243.0,-0.2,1.667,124.78,,,
T,37.088371000,-88.612871000,103.8,,244.8,-0.2,1.683,16.49,,,
T,37.088293000,-88.613040000,103.8,,239.9,-0.2,1.700,17.34,,,
T,37.088257000,-88.613139000,103.8,,245.5,-0.1,1.710,9.67,,,
T,37.088186000,-88.613312000,103.8,,242.8,0.1,1.727,17.28,1,,
T,37.088186000,-88.613312000,103.8,,242.8,,1.727,0.00,,,
T,37.087725000,-88.614435000,104.0,,242.8,0.1,1.839,112.19,,,
T,37.087447000,-88.615133000,104.7,,243.5,1.1,1.909,69.30,,,
T,37.087754000,-88.615328000,104.8,,333.1,0.4,1.947,38.23,,,
T,37.087887000,-88.615444000,105.1,,325.2,1.3,1.965,18.01,,,
T,37.087988000,-88.615626000,105.2,,304.8,0.5,1.985,19.68,,,
T,37.088187000,-88.616133000,105.2,,296.2,0.0,2.035,50.20,,,
T,37.088246000,-88.616283000,105.2,,296.2,0.0,2.050,14.86,,,
T,37.089288000,-88.618926000,104.7,,296.3,-0.2,2.312,261.90,,,
T,37.089777000,-88.620182000,105.1,,296.0,0.4,2.436,124.16,,,
T,37.089821000,-88.620332000,105.2,,290.2,0.2,2.450,14.20,,,
T,37.089876000,-88.620614000,105.1,,283.7,-0.2,2.476,25.80,,,
T,37.090065000,-88.621713000,105.2,,282.2,0.1,2.576,99.93,,,
T,37.090134000,-88.622106000,105.2,,282.4,-0.1,2.612,35.77,,,
T,37.090160000,-88.622251000,105.0,,282.7,-1.6,2.625,13.21,,,
T,37.090326000,-88.623164000,104.8,,282.8,-0.2,2.708,83.24,,,
T,37.090790000,-88.625837000,105.7,,282.3,0.4,2.951,243.16,,,
T,37.090967000,-88.626860000,106.6,,282.2,1.0,3.044,93.05,,,
T,37.091006000,-88.627073000,106.7,,282.9,0.4,3.064,19.43,,,
T,37.091052000,-88.627354000,106.5,,281.6,-0.8,3.089,25.50,,,
T,37.091142000,-88.627728000,106.4,,286.8,-0.3,3.124,34.72,,,
T,37.091369000,-88.628272000,106.5,,297.6,0.3,3.178,54.53,,,
T,37.092485000,-88.630868000,106.5,,298.3,-0.0,3.440,261.93,,,
T,37.092582000,-88.631096000,106.4,,298.1,-0.2,3.463,22.95,,,
T,37.092667000,-88.631357000,106.4,,292.2,0.1,3.488,25.05,,,
T,37.092813000,-88.632036000,106.4,,285.1,-0.0,3.551,62.50,,,
T,37.093076000,-88.633236000,105.8,,285.4,-0.6,3.661,110.60,,,
T,37.093358000,-88.634455000,105.5,,286.2,-0.3,3.774,112.80,,,
T,37.093632000,-88.635712000,106.1,,285.3,0.5,3.890,115.81,,,
T,37.093854000,-88.636614000,106.3,,287.1,0.3,3.974,83.89,,,
T,37.093882000,-88.636694000,106.3,,293.7,0.0,3.982,7.76,,,
T,37.094023000,-88.637105000,106.2,,293.3,-0.3,4.021,39.75,,,
T,37.094066000,-88.637227000,105.8,,293.8,-3.2,4.033,11.85,,,
T,37.094216000,-88.637647000,103.6,,294.1,-5.5,4.074,40.88,,,
T,37.094238000,-88.637705000,102.6,,295.4,-17.6,4.080,5.71,,,
T,37.094336000,-88.637965000,97.7,,295.3,-18.9,4.105,25.55,,,
T,37.094429000,-88.638199000,97.4,,296.5,-1.5,4.129,23.22,,,
T,37.094523000,-88.638432000,101.1,,296.8,15.8,4.152,23.19,,,
T,37.094739000,-88.638979000,102.9,,296.3,3.3,4.206,54.22,,,
T,37.094888000,-88.639385000,101.6,,294.7,-3.3,4.246,39.70,,,
T,37.095426000,-88.641885000,103.3,,285.1,0.7,4.476,230.13,,,
T,37.095615000,-88.642922000,106.1,,282.9,3.0,4.570,94.55,,,
T,37.095756000,-88.643848000,106.4,,280.8,0.3,4.654,83.80,,,
T,37.096017000,-88.645535000,106.3,,281.0,-0.0,4.807,152.75,1,,
T,37.096017000,-88.645535000,106.3,,281.0,,4.807,0.00,,,
T,37.096053000,-88.645768000,106.3,,281.0,-0.1,4.828,21.10,,,
T,37.096146000,-88.646090000,106.2,,289.9,-0.1,4.858,30.43,,,
T,37.096358000,-88.646643000,105.6,,295.7,-1.3,4.913,54.50,,,
T,37.097629000,-88.649692000,106.5,,297.6,0.3,5.219,305.56,,,
T,37.097798000,-88.650045000,106.7,,301.0,0.5,5.255,36.56,,,
T,37.097944000,-88.650297000,106.8,,306.0,0.4,5.283,27.65,,,
T,37.098733000,-88.651364000,106.9,,312.8,0.1,5.412,129.09,,,
T,37.098990000,-88.651767000,106.9,,308.6,0.0,5.458,45.79,,,
T,37.099114000,-88.652036000,107.1,,300.0,0.4,5.485,27.59,,,
T,37.099185000,-88.652228000,107.3,,294.9,1.1,5.504,18.80,,,
T,37.099384000,-88.652819000,108.0,,292.9,1.4,5.561,56.99,,,
T,37.099478000,-88.653154000,108.6,,289.4,1.8,5.593,31.55,,,
T,37.099848000,-88.654287000,110.0,,292.3,1.3,5.701,108.77,,,
T,37.100214000,-88.655416000,111.0,,292.1,0.9,5.810,108.27,,,
T,37.100495000,-88.656279000,109.6,,292.2,-1.7,5.892,82.81,,,
T,37.101077000,-88.658082000,108.4,,292.0,-0.7,6.065,172.80,,,
T,37.101650000,-88.659874000,107.3,,291.8,-0.6,6.237,171.52,,,
T,37.101701000,-88.660096000,107.2,,286.1,-0.7,6.257,20.53,,,
T,37.101768000,-88.660689000,106.3,,278.1,-1.6,6.310,53.24,,,
T,37.101799000,-88.661087000,106.1,,275.6,-0.7,6.346,35.55,,,
T,37.101835000,-88.661594000,105.6,,275.1,-1.0,6.391,45.25,,,
T,37.101924000,-88.662790000,105.5,,275.3,-0.1,6.498,106.77,,,
T,37.101981000,-88.663594000,105.6,,275.1,0.2,6.570,71.75,,,
T,37.102088000,-88.665027000,104.1,,275.3,-1.2,6.698,127.94,,,
T,37.102225000,-88.666927000,106.5,,275.2,1.4,6.867,169.58,,,
T,37.102224000,-88.667307000,107.2,,269.8,2.2,6.901,33.78,,,
T,37.102180000,-88.667663000,107.5,,261.2,0.7,6.933,32.02,,,
T,37.102097000,-88.668017000,107.7,,253.6,0.6,6.966,32.79,,,
T,37.101629000,-88.669700000,107.9,,250.8,0.2,7.124,158.37,,,
T,37.101138000,-88.671494000,106.7,,251.1,-0.7,7.293,168.53,,,
T,37.100573000,-88.673521000,106.5,,250.7,-0.1,7.484,190.79,,,
T,37.100073000,-88.675330000,106.7,,250.9,0.1,7.654,170.11,,,
T,37.099533000,-88.677268000,107.9,,250.7,0.7,7.836,182.40,,,
T,37.099430000,-88.677632000,108.0,,250.5,0.5,7.870,34.32,,,
T,37.099342000,-88.678022000,108.3,,254.2,0.6,7.906,36.02,,,
T,37.099240000,-88.678577000,108.3,,257.0,0.0,7.957,50.62,,,
T,37.099115000,-88.679358000,108.1,,258.7,-0.2,8.028,70.80,,,
T,37.099032000,-88.679877000,108.4,,258.7,0.5,8.075,47.05,,,
T,37.098742000,-88.681807000,106.7,,259.3,-1.0,8.249,174.56,,,
T,37.098661000,-88.682336000,106.8,,259.1,0.2,8.297,47.88,,,
T,37.098577000,-88.682889000,106.7,,259.2,-0.1,8.347,50.04,,,
