type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.793192000,-90.000965000,168.1,,,,0.000,,,1BL: Edwardsville Loop,
T,38.793362000,-90.000962000,167.6,,0.8,-2.9,0.019,18.87,,,
T,38.793609000,-90.000963000,166.6,,359.8,-3.6,0.046,27.42,,,
T,38.793646000,-90.001026000,166.3,,307.0,-4.3,0.053,6.84,,,
T,38.793658000,-90.001058000,166.2,,295.7,-3.6,0.056,3.08,,,
T,38.793666000,-90.001093000,166.1,,286.3,-3.1,0.059,3.17,,,
T,38.793668000,-90.001521000,165.4,,270.3,-1.8,0.097,37.18,,,
T,38.793667000,-90.001901000,163.4,,269.8,-6.1,0.130,33.01,,,
T,38.793669000,-90.002035000,163.1,,271.1,-2.7,0.141,11.64,,,
T,38.793664000,-90.002533000,161.6,,269.3,-3.6,0.184,43.27,,,
T,38.793643000,-90.002703000,161.1,,261.0,-3.3,0.199,14.95,,,
T,38.793616000,-90.002863000,160.6,,257.8,-3.0,0.214,14.22,,,
T,38.793575000,-90.003050000,160.5,,254.3,-0.9,0.231,16.87,,,
T,38.793604000,-90.003059000,160.4,,346.4,-1.5,0.234,3.31,,,
T,38.793764000,-90.003116000,160.6,,344.5,0.7,0.252,18.44,,,
T,38.794383000,-90.003393000,159.5,,340.8,-1.5,0.325,72.81,,,
T,38.794437000,-90.003417000,159.5,,340.9,0.0,0.331,6.35,,,
T,38.794745000,-90.003556000,158.3,,340.6,-3.2,0.368,36.26,,,
T,38.794936000,-90.003620000,157.9,,345.4,-1.6,0.390,21.92,,,
T,38.795092000,-90.003652000,158.4,,350.9,2.4,0.407,17.54,,,
T,38.795250000,-90.003665000,158.5,,356.3,0.8,0.425,17.58,,,
T,38.795408000,-90.003660000,158.4,,1.4,-0.5,0.442,17.55,,,
T,38.795566000,-90.003636000,158.5,,6.8,0.5,0.460,17.66,,,
T,38.795720000,-90.003594000,158.9,,12.0,2.5,0.477,17.48,,,
T,38.795866000,-90.003537000,160.1,,16.9,6.8,0.494,16.95,,,
T,38.795958000,-90.003490000,160.7,,21.7,5.2,0.505,11.00,1,,
T,38.795958000,-90.003490000,160.7,,21.7,,0.505,0.00,,,
T,38.796012000,-90.003462000,161.0,,22.0,4.7,0.512,6.47,,,
T,38.796145000,-90.003376000,161.8,,26.7,4.8,0.528,16.55,,,
T,38.796271000,-90.003276000,162.4,,31.7,3.8,0.545,16.47,,,
T,38.796391000,-90.003163000,163.1,,36.3,4.5,0.561,16.55,,,
T,38.796502000,-90.003037000,163.8,,41.5,4.3,0.578,16.48,,,
T,38.796580000,-90.002934000,164.2,,45.8,2.8,0.590,12.45,,,
T,38.796629000,-90.002863000,164.5,,48.5,4.3,0.599,8.22,,,
T,38.796635000,-90.002880000,164.5,,294.4,-1.4,0.600,1.62,,,
T,38.796674000,-90.002919000,164.6,,322.1,1.6,0.606,5.50,,,
T,38.797171000,-90.003421000,166.6,,321.8,2.8,0.676,70.33,,,
T,38.797243000,-90.003490000,166.5,,323.2,-0.6,0.686,9.99,,,
T,38.797289000,-90.003527000,166.4,,327.9,-2.0,0.692,6.03,,,
T,38.797465000,-90.003665000,166.2,,328.6,-0.6,0.715,22.92,,,
T,38.797579000,-90.003741000,166.3,,332.5,0.3,0.729,14.27,,,
T,38.797667000,-90.003800000,166.1,,332.4,-1.9,0.740,11.03,,,
T,38.797876000,-90.003916000,165.2,,336.6,-3.6,0.766,25.30,,,
T,38.798123000,-90.004025000,164.4,,341.0,-2.7,0.795,29.01,,,
T,38.798887000,-90.004395000,162.3,,339.3,-2.3,0.885,90.70,,,
T,38.799041000,-90.004507000,162.0,,330.5,-1.3,0.905,19.67,,,
T,38.799186000,-90.004637000,161.7,,325.1,-1.6,0.925,19.66,,,
T,38.799319000,-90.004786000,162.0,,318.9,1.7,0.944,19.63,,,
T,38.799416000,-90.004917000,162.0,,313.5,-0.6,0.960,15.67,,,
T,38.799525000,-90.005096000,162.5,,308.0,2.6,0.980,19.70,,,
T,38.799597000,-90.005239000,162.9,,302.9,3.0,0.994,14.77,,,
T,38.799636000,-90.005326000,162.9,,299.9,-0.4,1.003,8.71,,,
T,38.800171000,-90.006732000,164.0,,296.0,0.9,1.139,135.81,,,
T,38.800346000,-90.007154000,163.5,,298.0,-1.3,1.180,41.49,,,
T,38.800502000,-90.007499000,163.6,,300.1,0.1,1.215,34.61,,,
T,38.800699000,-90.007904000,163.6,,302.0,0.1,1.256,41.43,,,
T,38.800909000,-90.008300000,163.2,,304.2,-1.1,1.298,41.56,,,
T,38.801138000,-90.008681000,162.9,,307.6,-0.5,1.340,41.73,,,
T,38.801377000,-90.009054000,162.4,,309.4,-1.2,1.382,41.88,,,
T,38.801660000,-90.009468000,162.4,,311.3,-0.0,1.429,47.75,,,
T,38.801700000,-90.009523000,162.2,,313.0,-2.9,1.436,6.52,,,
T,38.801964000,-90.009884000,161.0,,313.2,-2.9,1.479,42.92,,,
T,38.802193000,-90.010185000,160.6,,314.3,-1.1,1.515,36.47,,,
T,38.802399000,-90.010431000,159.0,,317.1,-4.9,1.547,31.30,,,
T,38.802434000,-90.010478000,158.6,,313.7,-7.9,1.552,5.64,,,
T,38.802577000,-90.010625000,157.6,,321.3,-4.8,1.573,20.37,,,
T,38.802638000,-90.010691000,157.5,,319.9,-1.3,1.581,8.87,,,
T,38.802857000,-90.010410000,158.1,,45.0,1.7,1.616,34.45,,,
T,38.803096000,-90.010131000,158.9,,42.3,2.2,1.652,35.93,,,
T,38.803246000,-90.009970000,159.6,,39.9,3.2,1.674,21.75,,,
T,38.803508000,-90.009716000,160.4,,37.1,2.3,1.710,36.51,,,
T,38.803740000,-90.009512000,161.3,,34.4,2.6,1.741,31.26,,,
T,38.803978000,-90.009322000,162.0,,31.9,2.5,1.772,31.15,,,
T,38.804223000,-90.009144000,162.8,,29.5,2.5,1.804,31.29,,,
T,38.804427000,-90.009011000,162.8,,26.9,0.0,1.829,25.42,,,
T,38.804473000,-90.008981000,162.8,,26.9,-0.5,1.835,5.73,,,
T,38.804650000,-90.008876000,162.5,,24.8,-1.3,1.857,21.66,,,
T,38.804781000,-90.008806000,162.9,,22.6,2.5,1.872,15.76,,,
T,38.805610000,-90.008362000,161.8,,22.7,-1.1,1.972,99.78,,,
T,38.806100000,-90.008092000,162.7,,23.2,1.7,2.031,59.24,,,
T,38.808476000,-90.006820000,160.0,,22.6,-1.0,2.317,285.97,,,
T,38.809372000,-90.006341000,157.9,,22.6,-2.0,2.425,107.82,,,
