type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.793524000,-90.002033000,164.0,,,,0.000,,,2C_EdwardsvilleToJeffersonCity,
T,38.793669000,-90.002035000,163.1,,359.4,-5.8,0.016,16.10,,,
T,38.793664000,-90.002533000,161.6,,269.3,-3.6,0.059,43.27,,,
T,38.793643000,-90.002703000,161.1,,261.0,-3.3,0.074,14.95,,,
T,38.793616000,-90.002863000,160.6,,257.8,-3.0,0.089,14.22,,,
T,38.793575000,-90.003050000,160.5,,254.3,-0.9,0.105,16.87,,,
T,38.793604000,-90.003059000,160.4,,346.4,-1.5,0.109,3.31,,,
T,38.793764000,-90.003116000,160.6,,344.5,0.7,0.127,18.44,,,
T,38.794383000,-90.003393000,159.5,,340.8,-1.5,0.200,72.81,,,
T,38.794437000,-90.003417000,159.5,,340.9,0.0,0.206,6.35,,,
T,38.794745000,-90.003556000,158.3,,340.6,-3.2,0.243,36.26,,,
T,38.794936000,-90.003620000,157.9,,345.4,-1.6,0.264,21.92,,,
T,38.795092000,-90.003652000,158.4,,350.9,2.4,0.282,17.54,,,
T,38.795250000,-90.003665000,158.5,,356.3,0.8,0.300,17.58,,,
T,38.795408000,-90.003660000,158.4,,1.4,-0.5,0.317,17.55,,,
T,38.795566000,-90.003636000,158.5,,6.8,0.5,0.335,17.66,,,
T,38.795720000,-90.003594000,158.9,,12.0,2.5,0.352,17.48,,,
T,38.795866000,-90.003537000,160.1,,16.9,6.8,0.369,16.95,,,
T,38.796012000,-90.003462000,161.0,,21.8,5.0,0.387,17.47,,,
T,38.796145000,-90.003376000,161.8,,26.7,4.8,0.403,16.55,,,
T,38.796271000,-90.003276000,162.4,,31.7,3.8,0.420,16.47,,,
T,38.796391000,-90.003163000,163.1,,36.3,4.5,0.436,16.55,,,
T,38.796502000,-90.003037000,163.8,,41.5,4.3,0.453,16.48,,,
T,38.796580000,-90.002934000,164.2,,45.8,2.8,0.465,12.45,,,
T,38.796629000,-90.002863000,164.5,,48.5,4.3,0.473,8.22,,,
T,38.796635000,-90.002880000,164.5,,294.4,-1.4,0.475,1.62,,,
T,38.796674000,-90.002919000,164.6,,322.1,1.6,0.481,5.50,,,
T,38.797171000,-90.003421000,166.6,,321.8,2.8,0.551,70.33,,,
T,38.797243000,-90.003490000,166.5,,323.2,-0.6,0.561,9.99,,,
T,38.797289000,-90.003527000,166.4,,327.9,-2.0,0.567,6.03,,,
T,38.797465000,-90.003665000,166.2,,328.6,-0.6,0.590,22.92,,,
T,38.797579000,-90.003741000,166.3,,332.5,0.3,0.604,14.27,,,
T,38.797667000,-90.003800000,166.1,,332.4,-1.9,0.615,11.03,,,
T,38.797876000,-90.003916000,165.2,,336.6,-3.6,0.640,25.30,,,
T,38.798123000,-90.004025000,164.4,,341.0,-2.7,0.669,29.01,,,
T,38.798887000,-90.004395000,162.3,,339.3,-2.3,0.760,90.70,,,
T,38.799041000,-90.004507000,162.0,,330.5,-1.3,0.780,19.67,,,
T,38.799186000,-90.004637000,161.7,,325.1,-1.6,0.799,19.66,,,
T,38.799246000,-90.004705000,161.8,,318.5,1.0,0.808,8.90,,,
T,38.799319000,-90.004786000,162.0,,319.1,2.2,0.819,10.73,,,
T,38.799416000,-90.004917000,162.0,,313.5,-0.6,0.835,15.67,,,
T,38.799525000,-90.005096000,162.5,,308.0,2.6,0.854,19.70,,,
T,38.799597000,-90.005239000,162.9,,302.9,3.0,0.869,14.77,,,
T,38.799636000,-90.005326000,162.9,,299.9,-0.4,0.878,8.71,,,
T,38.800171000,-90.006732000,164.0,,296.0,0.9,1.014,135.81,,,
T,38.800346000,-90.007154000,163.5,,298.0,-1.3,1.055,41.49,,,
T,38.800502000,-90.007499000,163.6,,300.1,0.1,1.090,34.61,,,
T,38.800699000,-90.007904000,163.6,,302.0,0.1,1.131,41.43,,,
T,38.800909000,-90.008300000,163.2,,304.2,-1.1,1.173,41.56,,,
T,38.801138000,-90.008681000,162.9,,307.6,-0.5,1.215,41.73,,,
T,38.801377000,-90.009054000,162.4,,309.4,-1.2,1.256,41.88,,,
T,38.801660000,-90.009468000,162.4,,311.3,-0.0,1.304,47.75,,,
T,38.801700000,-90.009523000,162.2,,313.0,-2.9,1.311,6.52,,,
T,38.801964000,-90.009884000,161.0,,313.2,-2.9,1.354,42.92,,,
T,38.802193000,-90.010185000,160.6,,314.3,-1.1,1.390,36.47,,,
T,38.802399000,-90.010431000,159.0,,317.1,-4.9,1.421,31.30,,,
T,38.802434000,-90.010478000,158.6,,313.7,-7.9,1.427,5.64,,,
T,38.802577000,-90.010625000,157.6,,321.3,-4.8,1.447,20.37,,,
T,38.802638000,-90.010691000,157.5,,319.9,-1.3,1.456,8.87,,,
T,38.802544000,-90.010819000,157.0,,226.7,-3.0,1.472,15.25,,,
T,38.802539000,-90.010826000,157.0,,227.5,-3.2,1.472,0.82,,,
T,38.802507000,-90.010873000,156.8,,228.9,-3.4,1.478,5.41,,,
T,38.802412000,-90.011009000,156.3,,228.1,-3.5,1.494,15.84,,,
T,38.802327000,-90.011140000,155.6,,230.2,-4.8,1.508,14.78,,,
T,38.802127000,-90.011468000,154.5,,232.0,-2.9,1.545,36.12,,,
T,38.801922000,-90.011842000,152.5,,234.9,-5.0,1.584,39.67,,,
T,38.801769000,-90.012161000,151.2,,238.4,-4.0,1.617,32.50,,,
T,38.801618000,-90.012510000,149.9,,241.0,-3.8,1.651,34.64,,,
T,38.801481000,-90.012867000,147.9,,243.8,-5.9,1.686,34.54,,,
T,38.801357000,-90.013233000,146.8,,246.5,-3.1,1.721,34.65,,,
T,38.801249000,-90.013597000,146.0,,249.2,-2.5,1.754,33.82,,,
T,38.801216000,-90.013709000,145.2,,249.3,-7.6,1.765,10.40,,,
T,38.801174000,-90.013893000,144.5,,253.7,-4.0,1.781,16.65,,,
T,38.801140000,-90.014040000,144.3,,253.5,-1.8,1.795,13.32,,,
T,38.801105000,-90.014192000,143.8,,253.5,-3.2,1.808,13.76,1,,
T,38.801105000,-90.014192000,143.8,,253.5,,1.808,0.00,,,
T,38.799828000,-90.019737000,135.4,,253.5,-1.7,2.311,502.12,,,
T,38.799453000,-90.021367000,134.1,,253.6,-0.9,2.458,147.59,,,
T,38.799352000,-90.021828000,134.5,,254.3,1.0,2.500,41.59,,,
T,38.799282000,-90.022209000,134.1,,256.7,-1.4,2.534,34.00,,,
T,38.799268000,-90.022303000,133.8,,259.2,-2.8,2.542,8.31,,,
T,38.799218000,-90.022636000,132.9,,259.1,-3.1,2.572,29.46,,,
T,38.799181000,-90.023015000,132.9,,262.9,-0.2,2.605,33.18,,,
T,38.799162000,-90.023397000,132.6,,266.3,-0.9,2.638,33.25,,,
T,38.799160000,-90.023725000,132.4,,269.6,-0.6,2.666,28.49,,,
T,38.799169000,-90.023998000,132.4,,272.4,-0.0,2.690,23.74,,,
T,38.799174000,-90.024081000,132.4,,274.4,-0.6,2.697,7.23,,,
T,38.799248000,-90.025246000,132.0,,274.7,-0.3,2.799,101.54,,,
T,38.799451000,-90.028399000,131.1,,274.7,-0.3,3.074,274.83,,,
T,38.799807000,-90.034022000,137.6,,274.6,1.3,3.564,490.07,,,
T,38.799861000,-90.034856000,141.2,,274.7,5.0,3.637,72.70,,,
T,38.799989000,-90.036844000,132.9,,274.7,-4.8,3.810,173.28,,,
T,38.799989000,-90.036850000,132.9,,270.0,-3.6,3.810,0.52,,,
T,38.800110000,-90.038709000,131.2,,274.8,-1.1,3.972,162.05,,,
T,38.800153000,-90.038935000,131.1,,283.7,-0.3,3.993,20.20,,,
T,38.800194000,-90.039179000,130.9,,282.2,-0.8,4.014,21.68,,,
T,38.800205000,-90.039245000,130.9,,282.1,-0.7,4.020,5.86,,,
T,38.800249000,-90.039556000,130.8,,280.3,-0.4,4.048,27.45,,,
T,38.800285000,-90.039869000,130.6,,278.4,-0.7,4.075,27.48,,,
T,38.800317000,-90.040208000,130.4,,276.9,-0.6,4.105,29.66,,,
T,38.800335000,-90.040439000,130.3,,275.7,-0.5,4.125,20.17,,,
T,38.800344000,-90.040548000,130.4,,276.0,0.9,4.134,9.52,,,
T,38.800385000,-90.041204000,130.9,,274.6,0.9,4.192,57.17,,,
T,38.800403000,-90.041447000,130.9,,275.4,0.0,4.213,21.20,,,
T,38.800432000,-90.041847000,131.0,,275.3,0.2,4.248,34.90,,,
T,38.800448000,-90.042118000,131.0,,274.3,0.1,4.271,23.61,,,
T,38.800464000,-90.042372000,130.9,,274.6,-0.4,4.293,22.14,,,
T,38.800486000,-90.042716000,130.9,,274.7,-0.2,4.323,29.98,,,
T,38.800553000,-90.043696000,130.8,,275.0,-0.1,4.409,85.46,,,
T,38.800581000,-90.044139000,130.6,,274.6,-0.4,4.448,38.61,,,
T,38.800596000,-90.044369000,130.5,,274.8,-0.7,4.468,20.05,,,
T,38.800661000,-90.045400000,130.4,,274.6,-0.1,4.557,89.85,,,
T,38.800677000,-90.045664000,130.5,,274.4,0.5,4.580,23.00,,,
T,38.800733000,-90.046553000,130.6,,274.6,0.1,4.658,77.48,,,
T,38.800756000,-90.046902000,130.6,,274.8,-0.0,4.688,30.42,,,
T,38.800771000,-90.047124000,130.6,,275.0,0.1,4.708,19.36,,,
T,38.800803000,-90.047671000,130.4,,274.3,-0.4,4.755,47.65,,,
T,38.800820000,-90.048031000,130.3,,273.5,-0.3,4.787,31.33,,,
T,38.800827000,-90.048392000,130.3,,271.4,-0.2,4.818,31.37,,,
T,38.800824000,-90.048753000,130.2,,269.4,-0.4,4.849,31.36,,,
T,38.800826000,-90.049224000,129.9,,270.3,-0.6,4.890,40.92,,,
T,38.800835000,-90.049656000,130.0,,271.5,0.2,4.928,37.54,,,
T,38.800850000,-90.050088000,129.9,,272.6,-0.2,4.965,37.56,,,
T,38.800931000,-90.051340000,130.6,,274.7,0.6,5.075,109.13,,,
T,38.800940000,-90.051495000,130.7,,274.3,0.9,5.088,13.50,,,
T,38.800973000,-90.052074000,130.9,,274.2,0.4,5.138,50.43,,,
T,38.800980000,-90.052458000,130.9,,271.3,0.0,5.172,33.37,,,
T,38.800967000,-90.052875000,131.1,,267.7,0.4,5.208,36.25,,,
T,38.800934000,-90.053278000,130.8,,264.0,-0.8,5.243,35.20,,,
T,38.800897000,-90.053583000,130.3,,261.2,-1.9,5.270,26.81,,,
T,38.800836000,-90.053961000,130.0,,258.3,-0.9,5.304,33.53,,,
T,38.800775000,-90.054260000,130.3,,255.3,1.3,5.330,26.84,,,
T,38.800705000,-90.054556000,131.2,,253.1,3.1,5.357,26.86,,,
T,38.800624000,-90.054847000,130.6,,250.3,-2.2,5.384,26.83,,,
T,38.799982000,-90.056880000,133.3,,247.9,1.4,5.575,190.44,,,
T,38.799733000,-90.057669000,133.9,,248.0,0.9,5.648,73.90,,,
T,38.799625000,-90.058022000,134.0,,248.6,0.3,5.681,32.93,,,
T,38.798551000,-90.061456000,129.6,,248.1,-1.4,6.003,321.26,,,
T,38.798350000,-90.062099000,128.8,,248.1,-1.4,6.063,60.15,,,
T,38.798247000,-90.062478000,129.9,,250.8,3.2,6.098,34.85,,,
T,38.798159000,-90.062864000,129.7,,253.7,-0.4,6.133,34.93,,,
T,38.798097000,-90.063199000,128.8,,256.6,-3.1,6.163,29.90,,,
T,38.798071000,-90.063370000,128.7,,259.0,-0.3,6.178,15.13,,,
T,38.798056000,-90.063469000,128.7,,259.0,-0.9,6.186,8.76,,,
T,38.798018000,-90.063821000,129.4,,262.1,2.4,6.217,30.87,,,
T,38.797998000,-90.064126000,129.6,,265.2,0.8,6.244,26.59,,,
T,38.797990000,-90.064431000,129.6,,268.1,-0.0,6.270,26.51,,,
T,38.797994000,-90.064737000,129.5,,271.0,-0.2,6.297,26.59,,,
T,38.798086000,-90.066605000,129.0,,273.6,-0.3,6.460,162.60,,,
T,38.798100000,-90.066878000,129.6,,273.8,2.5,6.483,23.77,,,
T,38.798104000,-90.067037000,129.6,,271.8,-0.3,6.497,13.82,,,
T,38.798111000,-90.067279000,129.2,,272.1,-1.7,6.518,21.04,,,
T,38.798113000,-90.067388000,129.1,,271.3,-1.4,6.528,9.47,,,
T,38.798115000,-90.067557000,129.2,,270.9,0.5,6.542,14.68,,,
T,38.798134000,-90.068812000,129.5,,271.1,0.3,6.651,109.04,,,
T,38.798177000,-90.071599000,130.1,,271.1,0.2,6.894,242.16,,,
T,38.798200000,-90.072415000,130.1,,272.1,0.0,6.964,70.93,,,
T,38.798217000,-90.072908000,130.0,,272.5,-0.1,7.007,42.87,,,
T,38.798305000,-90.074864000,129.1,,273.3,-0.6,7.178,170.20,,,
T,38.798323000,-90.075440000,128.9,,272.3,-0.3,7.228,50.08,,,
T,38.798334000,-90.075997000,129.1,,271.5,0.3,7.276,48.40,,,
T,38.798343000,-90.076454000,130.2,,271.4,2.9,7.316,39.71,,,
T,38.798353000,-90.077482000,129.1,,270.7,-1.3,7.405,89.31,,,
T,38.798355000,-90.078046000,129.1,,270.3,0.1,7.454,49.00,,,
T,38.798366000,-90.081307000,129.7,,270.2,0.2,7.737,283.29,,,
T,38.798371000,-90.084619000,136.4,,270.1,2.3,8.025,287.72,,,
T,38.798378000,-90.085503000,135.9,,270.6,-0.6,8.102,76.80,,,
T,38.798383000,-90.086133000,136.7,,270.6,1.4,8.157,54.73,,,
T,38.798401000,-90.091117000,130.3,,270.3,-1.5,8.590,432.97,,,
T,38.798405000,-90.091258000,130.4,,272.1,0.3,8.602,12.26,,,
T,38.798425000,-90.091605000,130.6,,274.2,0.7,8.632,30.23,,,
T,38.798455000,-90.091881000,130.8,,277.9,1.1,8.656,24.21,,,
T,38.798497000,-90.092156000,131.1,,281.1,1.0,8.681,24.34,,,
T,38.798569000,-90.092502000,130.8,,284.9,-0.8,8.712,31.10,,,
T,38.798655000,-90.092824000,130.5,,288.9,-1.3,8.741,29.56,,,
T,38.798760000,-90.093146000,131.1,,292.7,2.0,8.772,30.30,,,
T,38.798870000,-90.093417000,130.1,,297.5,-3.6,8.798,26.52,,,
T,38.798991000,-90.093680000,130.7,,300.6,2.2,8.825,26.50,,,
T,38.799124000,-90.093934000,130.3,,303.9,-1.4,8.851,26.55,,,
T,38.799268000,-90.094177000,130.6,,307.2,0.9,8.878,26.48,,,
T,38.799423000,-90.094410000,130.7,,310.5,0.5,8.904,26.57,,,
T,38.799588000,-90.094630000,130.8,,313.9,0.2,8.931,26.47,,,
T,38.799718000,-90.094788000,130.5,,316.6,-1.4,8.951,19.92,,,
T,38.799890000,-90.094978000,130.4,,319.3,-0.2,8.976,25.24,,,
T,38.800139000,-90.095222000,130.7,,322.6,0.9,9.011,34.83,,,
T,38.800397000,-90.095449000,131.0,,325.6,0.8,9.045,34.77,,,
T,38.801951000,-90.096863000,130.7,,324.7,-0.2,9.257,211.77,,,
T,38.802556000,-90.097413000,131.1,,324.7,0.6,9.340,82.42,,,
T,38.802652000,-90.097536000,131.6,,315.0,3.1,9.355,15.09,,,
T,38.802813000,-90.097760000,131.7,,312.7,0.3,9.381,26.42,,,
T,38.802982000,-90.098031000,132.6,,308.7,3.0,9.411,30.10,,,
T,38.803117000,-90.098282000,133.3,,304.6,2.8,9.438,26.46,,,
T,38.803242000,-90.098548000,133.6,,301.1,1.0,9.465,26.95,,,
T,38.803291000,-90.098676000,133.2,,296.2,-3.2,9.477,12.38,,,
T,38.803323000,-90.098751000,133.2,,298.7,-0.4,9.484,7.42,,,
T,38.803399000,-90.098983000,133.7,,292.8,2.5,9.506,21.85,,,
T,38.803428000,-90.099098000,134.3,,287.9,5.4,9.517,10.50,,,
T,38.803434000,-90.099120000,134.3,,289.3,3.5,9.519,2.02,,,
T,38.803572000,-90.099216000,134.4,,331.5,0.6,9.536,17.44,,,
T,38.803662000,-90.099266000,134.4,,336.6,-0.3,9.547,10.89,,,
T,38.803744000,-90.099294000,134.5,,345.1,0.5,9.557,9.42,,,
T,38.804075000,-90.099186000,133.6,,14.3,-2.2,9.594,37.92,,,
T,38.804216000,-90.099148000,134.0,,11.9,2.1,9.610,16.00,1,,
T,38.804216000,-90.099148000,134.0,,11.9,,9.610,0.00,,,
T,38.804487000,-90.099075000,134.5,,11.9,1.6,9.641,30.75,,,
T,38.804680000,-90.099030000,134.5,,10.3,0.3,9.663,21.78,,,
T,38.804864000,-90.098988000,134.5,,10.1,-0.2,9.684,20.75,,,
T,38.805124000,-90.098938000,133.2,,8.5,-4.4,9.713,29.19,,,
T,38.806130000,-90.098800000,134.0,,6.1,0.7,9.825,112.32,,,
T,38.806601000,-90.098752000,134.2,,4.5,0.3,9.878,52.45,,,
T,38.806907000,-90.098737000,133.6,,2.2,-1.7,9.912,33.99,,,
T,38.807164000,-90.098725000,133.1,,2.1,-1.9,9.940,28.55,,,
T,38.807291000,-90.098721000,132.8,,1.4,-1.7,9.954,14.10,,,
T,38.807680000,-90.098708000,132.3,,1.5,-1.2,9.998,43.20,,,
T,38.807709000,-90.098707000,132.3,,1.5,-1.0,10.001,3.22,,,
T,38.809616000,-90.098644000,131.8,,1.5,-0.2,10.213,211.77,,,
T,38.810143000,-90.098626000,131.9,,1.5,0.2,10.271,58.52,1,,
T,38.810143000,-90.098626000,131.9,,1.5,,10.271,0.00,,,
T,38.813645000,-90.098510000,132.1,,1.5,0.0,10.660,388.89,,,
T,38.815214000,-90.098462000,132.4,,1.4,0.2,10.834,174.23,,,
T,38.816080000,-90.098430000,132.4,,1.6,-0.1,10.930,96.18,,,
T,38.816499000,-90.098426000,132.2,,0.4,-0.3,10.977,46.52,,,
T,38.817125000,-90.098447000,132.2,,358.5,-0.0,11.046,69.52,,,
T,38.817748000,-90.098490000,132.3,,356.9,0.1,11.116,69.26,,,
T,38.818156000,-90.098534000,132.3,,355.2,-0.0,11.161,45.45,,,
T,38.818568000,-90.098597000,132.0,,353.2,-0.6,11.207,46.06,,,
T,38.819183000,-90.098711000,132.3,,351.8,0.4,11.276,68.99,,,
T,38.819629000,-90.098801000,132.5,,351.1,0.4,11.326,50.12,,,
T,38.821540000,-90.099186000,131.6,,351.1,-0.4,11.541,214.76,,,
T,38.822671000,-90.099415000,131.3,,351.0,-0.2,11.668,127.12,,,
T,38.826419000,-90.100171000,130.7,,351.1,-0.2,12.089,421.22,,,
T,38.826796000,-90.100234000,130.5,,352.6,-0.5,12.132,42.21,,,
T,38.827171000,-90.100282000,130.0,,354.3,-1.1,12.173,41.84,,,
T,38.827583000,-90.100319000,130.4,,356.0,0.8,12.219,45.85,,,
T,38.827926000,-90.100338000,131.0,,357.5,1.6,12.257,38.11,,,
T,38.828316000,-90.100349000,131.0,,358.7,-0.0,12.301,43.31,,,
T,38.828567000,-90.100351000,131.1,,359.6,0.3,12.329,27.86,,,
T,38.829030000,-90.100337000,131.1,,1.3,0.1,12.380,51.41,,,
T,38.829165000,-90.100327000,131.1,,3.3,-0.5,12.395,15.01,,,
T,38.829468000,-90.100304000,130.8,,3.4,-0.8,12.429,33.70,,,
T,38.829643000,-90.100286000,130.5,,4.6,-1.5,12.448,19.49,,,
T,38.829916000,-90.100259000,130.0,,4.4,-1.6,12.479,30.40,,,
T,38.830461000,-90.100166000,130.4,,7.6,0.7,12.540,61.04,,,
T,38.830814000,-90.100095000,130.1,,8.9,-0.9,12.579,39.67,,,
T,38.831153000,-90.100015000,129.7,,10.4,-1.0,12.618,38.27,,,
T,38.831644000,-90.099880000,130.5,,12.1,1.5,12.673,55.75,,,
T,38.832134000,-90.099720000,129.6,,14.3,-1.7,12.729,56.14,,,
T,38.832605000,-90.099546000,130.6,,16.1,1.9,12.784,54.43,,,
T,38.833091000,-90.099342000,130.5,,18.1,-0.2,12.841,56.79,,,
T,38.833569000,-90.099122000,130.8,,19.7,0.6,12.897,56.40,,,
T,38.834143000,-90.098842000,130.7,,20.8,-0.2,12.965,68.20,,,
T,38.834723000,-90.098542000,130.6,,21.9,-0.1,13.035,69.46,,,
T,38.835089000,-90.098373000,130.2,,19.8,-1.0,13.078,43.20,,,
T,38.835407000,-90.098242000,130.6,,17.8,1.2,13.115,37.09,,,
T,38.835781000,-90.098108000,130.1,,15.6,-1.1,13.158,43.12,,,
T,38.836051000,-90.098022000,129.7,,13.9,-1.5,13.189,30.89,,,
T,38.836466000,-90.097913000,130.5,,11.6,1.8,13.236,47.03,,,
T,38.836884000,-90.097825000,129.8,,9.3,-1.5,13.283,47.03,,,
T,38.837304000,-90.097761000,130.0,,6.8,0.3,13.330,46.96,,,
T,38.837666000,-90.097724000,130.4,,4.6,1.2,13.370,40.31,,,
T,38.838113000,-90.097699000,130.6,,2.5,0.4,13.420,49.67,,,
T,38.839265000,-90.097656000,130.5,,1.7,-0.1,13.548,127.94,,,
T,38.840506000,-90.097627000,130.7,,1.0,0.2,13.686,137.79,,,
T,38.840879000,-90.097630000,130.9,,359.6,0.4,13.727,41.41,,,
T,38.841380000,-90.097650000,131.0,,358.2,0.2,13.783,55.64,,,
T,38.841941000,-90.097696000,131.1,,356.3,0.1,13.845,62.41,,,
T,38.842377000,-90.097749000,130.8,,354.6,-0.4,13.894,48.62,,,
T,38.842977000,-90.097838000,131.0,,353.4,0.3,13.961,67.05,,,
T,38.843475000,-90.097931000,131.1,,351.7,0.1,14.017,55.87,,,
T,38.843972000,-90.098041000,130.5,,350.2,-1.1,14.073,55.99,,,
T,38.844477000,-90.098171000,130.8,,348.7,0.6,14.130,57.19,,,
T,38.844852000,-90.098281000,130.5,,347.1,-0.6,14.173,42.71,,,
T,38.844956000,-90.098312000,130.4,,346.9,-1.0,14.184,11.85,,,
T,38.845347000,-90.098438000,130.7,,345.9,0.7,14.229,44.76,,,
T,38.845869000,-90.098632000,130.5,,343.9,-0.4,14.290,60.35,,,
T,38.846461000,-90.098874000,130.4,,342.3,-0.1,14.359,69.00,,,
T,38.847048000,-90.099138000,130.6,,340.7,0.3,14.428,69.08,,,
T,38.847556000,-90.099386000,130.6,,339.2,0.1,14.488,60.36,,,
T,38.848102000,-90.099687000,130.5,,336.8,-0.2,14.554,66.01,,,
T,38.848564000,-90.099960000,130.7,,335.3,0.4,14.611,56.50,,,
T,38.849020000,-90.100249000,130.6,,333.7,-0.2,14.667,56.50,,,
T,38.849545000,-90.100605000,130.5,,332.2,-0.2,14.733,65.97,,,
T,38.849842000,-90.100817000,130.4,,330.9,-0.3,14.771,37.76,,,
T,38.850349000,-90.101209000,131.0,,328.9,0.9,14.837,65.77,,,
T,38.850776000,-90.101559000,130.7,,327.4,-0.5,14.893,56.30,,,
T,38.851196000,-90.101924000,130.3,,325.9,-0.7,14.949,56.37,,,
T,38.851608000,-90.102303000,130.8,,324.4,0.8,15.006,56.34,,,
T,38.851946000,-90.102629000,130.7,,323.1,-0.1,15.053,47.00,,,
T,38.852631000,-90.103309000,130.8,,322.3,0.0,15.149,96.27,,,
T,38.852842000,-90.103521000,130.1,,322.0,-2.1,15.179,29.79,,,
T,38.855087000,-90.105777000,130.3,,322.0,0.1,15.496,316.96,,,
T,38.855832000,-90.106533000,130.1,,321.7,-0.2,15.601,105.58,,,
T,38.856403000,-90.107085000,130.1,,323.0,0.0,15.681,79.46,,,
T,38.856714000,-90.107369000,130.1,,324.6,0.1,15.723,42.42,,,
T,38.856772000,-90.107462000,130.0,,308.7,-0.5,15.733,10.33,,,
T,38.856953000,-90.107695000,130.1,,314.9,0.2,15.762,28.51,,,
T,38.857111000,-90.107874000,130.0,,318.6,-0.2,15.785,23.43,,,
T,38.857210000,-90.108029000,129.9,,309.4,-0.7,15.803,17.37,,,
