type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.578349000,-92.173135000,189.6,,,,0.000,,,2CL_JeffersonCityLoop,
T,38.578347000,-92.173109000,189.6,,95.6,-1.3,0.002,2.28,,,
T,38.578348000,-92.172996000,189.4,,89.4,-1.6,0.012,9.85,,,
T,38.578358000,-92.172889000,189.2,,83.2,-2.3,0.022,9.39,,,
T,38.578392000,-92.172761000,188.8,,71.2,-3.9,0.033,11.77,,,
T,38.578433000,-92.172659000,188.4,,62.8,-4.0,0.043,9.99,,,
T,38.578478000,-92.172560000,187.9,,59.8,-4.8,0.053,9.97,,,
T,38.578517000,-92.172482000,187.6,,57.4,-3.3,0.061,8.06,,,
T,38.578556000,-92.172345000,187.0,,70.0,-4.9,0.074,12.70,,,
T,38.578562000,-92.172284000,186.7,,82.8,-5.1,0.079,5.36,,,
T,38.578567000,-92.172236000,186.5,,82.4,-5.1,0.084,4.22,,,
T,38.578528000,-92.172098000,185.8,,109.9,-5.2,0.096,12.78,,,
T,38.578424000,-92.171884000,185.0,,121.9,-3.8,0.118,21.93,,,
T,38.578364000,-92.171791000,184.8,,129.5,-2.1,0.129,10.49,,,
T,38.578186000,-92.171537000,183.2,,131.9,-5.3,0.158,29.67,1,,
T,38.578186000,-92.171537000,183.2,,131.9,,0.158,0.00,,,
T,38.578062000,-92.171360000,182.4,,131.9,-3.9,0.179,20.67,,,
T,38.577995000,-92.171264000,182.0,,131.8,-3.4,0.190,11.19,,,
T,38.577933000,-92.171177000,181.9,,132.4,-1.2,0.201,10.24,,,
T,38.577481000,-92.170543000,184.7,,132.4,3.8,0.275,74.63,,,
T,38.577451000,-92.170499000,185.0,,131.1,6.3,0.280,5.08,,,
T,38.577068000,-92.169956000,189.1,,132.1,6.4,0.344,63.61,,,
T,38.576218000,-92.168774000,188.8,,132.6,-0.3,0.484,139.69,,,
T,38.576154000,-92.168685000,188.9,,132.6,1.2,0.494,10.52,,,
