type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.578348000,-92.173130000,189.6,,,,0.000,,,jeff City to Indepdenece,
T,38.578347000,-92.173109000,189.6,,93.5,-1.4,0.002,1.83,,,
T,38.578348000,-92.172996000,189.4,,89.4,-1.6,0.012,9.85,,,
T,38.578358000,-92.172889000,189.2,,83.2,-2.3,0.021,9.39,,,
T,38.578392000,-92.172761000,188.8,,71.2,-3.9,0.033,11.77,,,
T,38.578433000,-92.172659000,188.4,,62.8,-4.0,0.043,9.99,,,
T,38.578478000,-92.172560000,187.9,,59.8,-4.8,0.053,9.97,,,
T,38.578517000,-92.172482000,187.6,,57.4,-3.3,0.061,8.06,,,
T,38.578556000,-92.172345000,187.0,,70.0,-4.9,0.074,12.70,,,
T,38.578562000,-92.172284000,186.7,,82.8,-5.1,0.079,5.36,,,
T,38.578567000,-92.172236000,186.5,,82.4,-5.1,0.083,4.22,,,
T,38.578579000,-92.172149000,186.1,,80.0,-5.0,0.091,7.70,,,
T,38.578615000,-92.172095000,185.9,,49.5,-3.4,0.097,6.17,,,
T,38.578663000,-92.172061000,185.8,,29.0,-1.2,0.103,6.10,,,
T,38.578712000,-92.172077000,185.9,,345.7,1.9,0.109,5.62,,,
T,38.578723000,-92.172076000,185.9,,4.1,0.8,0.110,1.22,,,
T,38.578779000,-92.172069000,186.1,,5.6,1.6,0.116,6.25,,,
T,38.578851000,-92.172048000,186.2,,12.8,2.0,0.124,8.20,,,
T,38.578985000,-92.171976000,186.4,,22.8,1.1,0.141,16.14,,,
T,38.579050000,-92.171954000,186.5,,14.8,1.4,0.148,7.47,,,
T,38.579135000,-92.171924000,186.6,,15.4,0.8,0.158,9.79,,,
T,38.579202000,-92.171908000,186.6,,10.6,0.9,0.165,7.57,1,,
T,38.579202000,-92.171908000,186.6,,10.6,,0.165,0.00,,,
T,38.579329000,-92.171888000,186.7,,7.0,0.7,0.180,14.21,,,
T,38.579442000,-92.171899000,186.9,,355.6,1.0,0.192,12.58,,,
T,38.579576000,-92.171939000,187.1,,346.9,1.7,0.207,15.28,,,
T,38.579630000,-92.171961000,187.1,,342.3,0.3,0.214,6.29,,,
T,38.579698000,-92.171998000,187.1,,337.0,0.0,0.222,8.21,,,
T,38.579783000,-92.172082000,187.2,,322.3,0.1,0.234,11.94,,,
T,38.579863000,-92.172186000,187.2,,314.5,0.3,0.247,12.69,,,
T,38.579962000,-92.172349000,187.1,,307.8,-0.6,0.265,17.96,,,
T,38.579996000,-92.172439000,186.9,,295.8,-1.8,0.273,8.70,,,
T,38.580022000,-92.172533000,186.7,,289.5,-2.6,0.282,8.68,,,
T,38.580047000,-92.172700000,186.1,,280.8,-3.7,0.297,14.81,,,
T,38.580055000,-92.172835000,185.5,,274.3,-5.5,0.309,11.80,,,
T,38.580047000,-92.172979000,184.7,,265.9,-5.9,0.321,12.58,,,
T,38.580027000,-92.173096000,184.1,,257.7,-6.6,0.332,10.43,,,
T,38.580006000,-92.173202000,183.5,,255.8,-6.2,0.341,9.53,,,
T,38.579980000,-92.173391000,182.1,,260.0,-8.1,0.358,16.72,,,
T,38.579978000,-92.173562000,180.8,,269.1,-8.7,0.373,14.90,,,
T,38.579968000,-92.173734000,179.7,,265.7,-7.1,0.388,15.03,,,
