type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.093703000,-94.418433000,313.6,,,,0.000,,,2E_IndependenceToSaintJoseph,
T,39.093507000,-94.418442000,314.2,,182.0,2.6,0.022,21.77,,,
T,39.093351000,-94.418446000,314.6,,181.1,2.6,0.039,17.32,,,
T,39.093193000,-94.418450000,315.1,,181.1,2.6,0.057,17.54,,,
T,39.092908000,-94.418458000,315.7,,181.2,2.0,0.088,31.65,,,
T,39.092829000,-94.418460000,315.7,,181.1,0.3,0.097,8.77,,,
T,39.092825000,-94.418350000,315.9,,92.7,1.1,0.107,9.53,,,
T,39.092807000,-94.417789000,316.7,,92.4,1.7,0.155,48.57,,,
T,39.092786000,-94.417164000,318.3,,92.5,3.1,0.209,54.12,,,
T,39.092766000,-94.417054000,318.5,,103.2,2.1,0.219,9.77,,,
T,39.092762000,-94.416961000,318.6,,93.2,0.7,0.227,8.06,,,
T,39.092732000,-94.415897000,318.7,,92.1,0.1,0.319,92.11,1,,
T,39.092732000,-94.415897000,318.7,,92.1,,0.319,0.00,,,
T,39.092729000,-94.415788000,318.4,,92.0,-2.7,0.329,9.44,,,
T,39.092742000,-94.415678000,318.2,,81.3,-2.8,0.338,9.63,,,
T,39.092835000,-94.415670000,318.0,,3.8,-1.1,0.349,10.35,,,
T,39.093281000,-94.415647000,317.1,,2.3,-1.8,0.398,49.55,,,
T,39.093285000,-94.415647000,317.1,,0.0,-2.3,0.399,0.44,,,
T,39.093411000,-94.415646000,316.8,,0.4,-2.2,0.413,13.99,,,
T,39.093497000,-94.415644000,316.6,,1.0,-2.2,0.422,9.55,1,,
T,39.093497000,-94.415644000,316.6,,1.0,,0.422,0.00,,,
T,39.093691000,-94.415638000,316.1,,1.4,-2.2,0.444,21.54,,,
T,39.093784000,-94.415636000,315.9,,1.0,-2.6,0.454,10.33,,,
T,39.093788000,-94.415731000,316.0,,273.1,1.8,0.462,8.23,,,
T,39.093809000,-94.416223000,316.3,,273.1,0.7,0.505,42.63,,,
T,39.093839000,-94.416925000,315.3,,273.2,-1.8,0.566,60.82,,,
T,39.093843000,-94.417023000,315.1,,273.0,-1.6,0.574,8.49,,,
T,39.093846000,-94.417124000,314.9,,272.2,-2.4,0.583,8.74,,,
T,39.093866000,-94.417689000,313.5,,272.6,-2.8,0.632,48.93,,,
T,39.093888000,-94.418315000,312.9,,272.6,-1.2,0.686,54.21,,,
T,39.093892000,-94.418425000,313.0,,272.7,1.3,0.696,9.53,,,
T,39.093896000,-94.418528000,313.4,,272.9,3.7,0.705,8.92,,,
T,39.093920000,-94.419204000,315.7,,272.6,4.0,0.763,58.54,1,,
T,39.093920000,-94.419204000,315.7,,272.6,,0.763,0.00,,,
T,39.093925000,-94.419341000,315.8,,272.7,0.6,0.775,11.87,,,
T,39.093937000,-94.419678000,315.8,,272.6,0.2,0.804,29.18,,,
T,39.093941000,-94.419796000,315.9,,272.5,0.5,0.814,10.22,,,
T,39.094014000,-94.419797000,315.9,,359.4,-0.5,0.822,8.10,,,
T,39.094606000,-94.419781000,314.6,,1.2,-2.0,0.888,65.74,,,
T,39.094619000,-94.419781000,314.5,,0.0,-2.0,0.890,1.44,,,
T,39.094714000,-94.419791000,314.3,,355.3,-1.9,0.900,10.58,,,
T,39.094746000,-94.419789000,314.3,,2.8,-2.1,0.904,3.56,,,
T,39.095692000,-94.419743000,310.5,,2.2,-3.5,1.009,105.10,,,
T,39.095751000,-94.419740000,310.4,,2.3,-2.7,1.015,6.56,,,
T,39.095818000,-94.419737000,310.2,,2.0,-2.6,1.023,7.44,,,
T,39.096435000,-94.419707000,307.1,,2.2,-4.4,1.091,68.55,,,
T,39.096495000,-94.419704000,306.8,,2.2,-5.4,1.098,6.67,,,
T,39.096624000,-94.419697000,306.0,,2.4,-5.7,1.112,14.33,,,
T,39.097004000,-94.419679000,303.1,,2.1,-6.7,1.155,42.22,,,
T,39.097088000,-94.419685000,302.5,,356.8,-6.5,1.164,9.34,,,
T,39.097186000,-94.419648000,301.4,,16.3,-9.7,1.175,11.34,,,
T,39.097212000,-94.419638000,301.1,,16.6,-9.2,1.178,3.01,,,
T,39.097365000,-94.419628000,299.9,,2.9,-7.0,1.195,17.01,,,
T,39.097606000,-94.419611000,299.1,,3.1,-3.2,1.222,26.80,,,
T,39.097671000,-94.419608000,299.0,,2.1,-2.0,1.229,7.22,,,
T,39.097732000,-94.419623000,298.9,,349.2,-1.2,1.236,6.90,,,
T,39.097799000,-94.419670000,298.7,,331.4,-1.7,1.245,8.48,,,
T,39.097947000,-94.419872000,298.2,,313.4,-2.3,1.269,23.99,,,
T,39.098058000,-94.420018000,297.8,,314.4,-1.9,1.286,17.65,,,
