type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.756100000,-94.848033000,254.9,,,,0.000,,,St Joseph Loop,
T,39.756292000,-94.848036000,254.7,,359.3,-0.9,0.021,21.32,,,
T,39.756894000,-94.848041000,254.6,,359.6,-0.2,0.088,66.84,1,,
T,39.756894000,-94.848041000,254.6,,359.6,,0.088,0.00,,,
T,39.757185000,-94.848044000,254.6,,359.5,-0.3,0.120,32.31,,,
T,39.758093000,-94.848061000,255.0,,359.2,0.5,0.221,100.83,,,
T,39.758969000,-94.848065000,255.9,,359.8,0.9,0.319,97.26,,,
T,39.759513000,-94.848075000,256.9,,359.2,1.7,0.379,60.41,,,
T,39.760096000,-94.848075000,257.7,,0.0,1.2,0.444,64.73,,,
T,39.760856000,-94.848075000,260.8,,0.0,3.7,0.528,84.38,,,
T,39.761349000,-94.848080000,262.4,,359.6,3.0,0.583,54.74,,,
T,39.762441000,-94.848089000,268.1,,359.6,4.7,0.704,121.25,,,
T,39.762716000,-94.848093000,270.5,,359.4,7.8,0.735,30.54,1,,
T,39.762716000,-94.848093000,270.5,,359.4,,0.735,0.00,,,
T,39.763414000,-94.848104000,273.4,,359.3,3.8,0.812,77.50,,,
T,39.764213000,-94.848115000,278.9,,359.4,6.2,0.901,88.72,,,
T,39.764414000,-94.848117000,280.1,,359.6,5.1,0.923,22.32,,,
T,39.765017000,-94.848125000,282.3,,359.4,3.4,0.990,66.95,,,
T,39.765835000,-94.848135000,279.1,,359.5,-3.5,1.081,90.83,,,
T,39.766011000,-94.848136000,277.9,,359.7,-6.0,1.100,19.54,,,
T,39.766644000,-94.848142000,272.8,,359.6,-7.3,1.171,70.28,,,
T,39.767446000,-94.848148000,267.3,,359.7,-6.2,1.260,89.05,,,
T,39.767774000,-94.848150000,267.4,,359.7,0.2,1.296,36.42,1,,
T,39.767774000,-94.848150000,267.4,,359.7,,1.296,0.00,,,
T,39.768142000,-94.848152000,267.8,,359.8,1.0,1.337,40.86,,,
T,39.768243000,-94.847994000,268.4,,50.3,3.3,1.355,17.58,,,
T,39.768514000,-94.847569000,269.7,,50.3,2.7,1.402,47.24,,,
T,39.768651000,-94.847353000,270.3,,50.5,2.7,1.426,23.96,,,
T,39.768806000,-94.847114000,271.1,,49.8,2.8,1.453,26.75,,,
T,39.769064000,-94.846700000,272.5,,51.0,3.1,1.498,45.59,,,
T,39.769488000,-94.846025000,274.7,,50.7,3.0,1.573,74.57,,,
T,39.769849000,-94.845450000,275.8,,50.8,1.8,1.636,63.51,,,
T,39.769923000,-94.845332000,276.2,,50.8,2.5,1.649,13.03,,,
T,39.769949000,-94.845285000,276.2,,54.3,1.6,1.654,4.95,,,
T,39.770209000,-94.844796000,277.5,,55.3,2.4,1.705,50.88,,,
T,39.770324000,-94.844582000,277.7,,55.0,1.0,1.727,22.34,,,
T,39.770498000,-94.844240000,278.3,,56.5,1.7,1.763,35.10,,,
T,39.770583000,-94.844071000,278.7,,56.8,2.1,1.780,17.28,,,
T,39.770841000,-94.843562000,278.4,,56.6,-0.5,1.832,52.18,,,
T,39.771121000,-94.843025000,278.6,,55.8,0.3,1.888,55.53,,,
T,39.771342000,-94.842581000,278.2,,57.1,-0.9,1.933,45.27,,,
T,39.771404000,-94.842461000,278.1,,56.1,-0.8,1.945,12.37,,,
T,39.771715000,-94.841864000,278.1,,55.9,-0.0,2.007,61.71,,,
T,39.771914000,-94.841490000,277.9,,55.3,-0.4,2.046,38.92,,,
T,39.772122000,-94.841103000,277.8,,55.0,-0.3,2.086,40.41,,,
T,39.772310000,-94.840739000,277.5,,56.1,-0.6,2.124,37.53,,,
T,39.772324000,-94.840713000,277.5,,55.0,-1.6,2.126,2.72,,,
T,39.772470000,-94.840431000,277.6,,56.0,0.2,2.156,29.10,1,,
T,39.772470000,-94.840431000,277.6,,56.0,,2.156,0.00,,,
T,39.772489000,-94.840395000,277.6,,55.5,0.2,2.159,3.74,,,
T,39.772584000,-94.840202000,277.6,,57.4,0.1,2.179,19.61,,,
T,39.772890000,-94.839582000,278.7,,57.3,1.8,2.242,63.06,,,
T,39.772989000,-94.839380000,279.2,,57.5,2.4,2.262,20.50,,,
T,39.773160000,-94.838986000,279.9,,60.5,1.8,2.301,38.73,,,
T,39.773452000,-94.838312000,280.9,,60.6,1.5,2.367,66.22,,,
T,39.773792000,-94.837557000,282.0,,59.6,1.4,2.442,74.89,,,
T,39.773894000,-94.837318000,282.4,,61.0,1.7,2.466,23.40,,,
T,39.773936000,-94.837226000,282.5,,59.3,1.7,2.475,9.16,,,
T,39.774170000,-94.836674000,283.4,,61.1,1.6,2.529,53.96,,,
T,39.774486000,-94.835969000,284.5,,59.7,1.6,2.599,69.85,,,
T,39.774637000,-94.835621000,285.3,,60.6,2.4,2.633,34.21,,,
T,39.774879000,-94.835050000,287.2,,61.1,3.4,2.689,55.81,,,
T,39.775243000,-94.834193000,290.7,,61.1,4.1,2.773,83.81,,,
T,39.775328000,-94.834025000,291.5,,56.6,4.7,2.790,17.21,,,
T,39.775688000,-94.833208000,294.3,,60.2,3.6,2.870,80.60,,,
T,39.775813000,-94.832931000,295.1,,59.6,2.9,2.898,27.49,,,
T,39.776032000,-94.832414000,297.0,,61.1,3.7,2.948,50.53,,,
T,39.776244000,-94.831924000,298.8,,60.6,3.7,2.997,48.13,,,
T,39.776369000,-94.831647000,299.9,,59.6,3.9,3.024,27.49,,,
T,39.776589000,-94.831149000,300.3,,60.1,0.8,3.073,49.16,,,
