type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.755919000,-94.848030000,255.1,,,,0.000,,,St Joseph To Beatrice,
T,39.756292000,-94.848036000,254.7,,359.3,-0.9,0.041,41.42,,,
T,39.756293000,-94.848512000,254.5,,270.2,-0.7,0.082,40.79,,,
T,39.756293000,-94.849320000,254.0,,270.0,-0.7,0.151,69.24,,,
T,39.755844000,-94.849316000,254.3,,179.6,0.6,0.201,49.85,1,,
T,39.755844000,-94.849316000,254.3,,179.6,,0.201,0.00,,,
T,39.755334000,-94.849315000,254.6,,179.9,0.6,0.258,56.63,,,
T,39.754530000,-94.849310000,255.3,,179.7,0.8,0.347,89.27,,,
T,39.754480000,-94.849306000,255.3,,176.5,-0.3,0.353,5.56,,,
T,39.754443000,-94.849308000,255.2,,182.4,-0.3,0.357,4.11,,,
T,39.753553000,-94.849300000,254.5,,179.6,-0.8,0.456,98.82,,,
T,39.752610000,-94.849300000,253.9,,180.0,-0.6,0.560,104.70,,,
T,39.751678000,-94.849283000,253.4,,179.2,-0.4,0.664,103.49,,,
T,39.750754000,-94.849285000,252.9,,180.1,-0.5,0.766,102.59,,,
T,39.750670000,-94.849356000,252.8,,213.0,-1.3,0.778,11.14,,,
T,39.750497000,-94.849483000,252.9,,209.4,0.6,0.800,22.08,,,
T,39.750395000,-94.849546000,253.3,,205.4,3.0,0.812,12.55,,,
T,39.750273000,-94.849610000,253.8,,202.0,3.5,0.827,14.61,,,
T,39.750194000,-94.849637000,254.0,,194.7,1.8,0.836,9.07,,,
T,39.750103000,-94.849657000,254.2,,189.6,2.2,0.846,10.25,,,
T,39.749642000,-94.849644000,256.7,,178.8,4.9,0.897,51.20,,,
T,39.749575000,-94.849646000,257.1,,181.3,4.8,0.905,7.44,1,,
T,39.749575000,-94.849646000,257.1,,181.3,,0.905,0.00,,,
T,39.749544000,-94.849647000,257.2,,181.4,5.4,0.908,3.44,,,
T,39.749460000,-94.849665000,257.6,,189.4,3.7,0.918,9.45,,,
T,39.749371000,-94.849699000,258.1,,196.4,4.8,0.928,10.30,,,
