type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.284956000,-96.825415000,399.7,,,,0.000,,,3FL_BeatriceLoop,
T,40.284960000,-96.825374000,399.6,,82.7,-2.6,0.004,3.51,,,
T,40.284977000,-96.825288000,399.4,,75.5,-1.8,0.011,7.55,,,
T,40.285010000,-96.825218000,399.5,,58.3,0.5,0.018,6.99,,,
T,40.285069000,-96.825130000,399.7,,48.7,2.0,0.028,9.95,,,
T,40.285102000,-96.825065000,399.8,,56.4,1.8,0.035,6.63,,,
T,40.285125000,-96.825002000,399.9,,64.4,0.9,0.041,5.93,,,
T,40.285138000,-96.824921000,399.8,,78.1,-0.8,0.048,7.04,,,
T,40.285142000,-96.824656000,399.3,,88.9,-2.4,0.070,22.54,,,
T,40.285151000,-96.824574000,399.1,,81.8,-2.3,0.077,7.04,,,
T,40.285172000,-96.824499000,398.9,,69.8,-2.8,0.084,6.79,,,
T,40.285198000,-96.824408000,398.7,,69.5,-3.1,0.092,8.26,,,
T,40.285258000,-96.824226000,398.0,,66.6,-3.9,0.109,16.85,,,
T,40.285315000,-96.824054000,397.3,,66.5,-4.5,0.125,15.94,,,
T,40.285377000,-96.823889000,396.7,,63.8,-3.7,0.141,15.63,,,
T,40.285387000,-96.823799000,396.4,,81.7,-4.4,0.148,7.73,,,
T,40.285392000,-96.823712000,396.0,,85.7,-4.4,0.156,7.42,,,
T,40.285394000,-96.823629000,395.7,,88.2,-4.3,0.163,7.06,,,
T,40.285389000,-96.823551000,395.4,,94.8,-4.5,0.170,6.66,,,
T,40.285372000,-96.823475000,395.1,,106.3,-4.8,0.176,6.73,,,
T,40.285354000,-96.823405000,394.8,,108.6,-5.0,0.183,6.28,,,
T,40.285314000,-96.823282000,394.2,,113.1,-4.8,0.194,11.36,,,
T,40.285278000,-96.823153000,393.7,,110.1,-4.2,0.206,11.68,,,
T,40.285253000,-96.823049000,393.5,,107.5,-2.8,0.215,9.27,,,
T,40.285237000,-96.822955000,393.3,,102.6,-2.3,0.223,8.19,,,
T,40.285226000,-96.822861000,393.3,,98.7,-0.6,0.231,8.09,,,
T,40.285218000,-96.822759000,393.3,,95.9,0.4,0.240,8.72,,,
T,40.285214000,-96.822631000,393.4,,92.3,0.6,0.251,10.89,,,
T,40.285213000,-96.822346000,394.3,,90.3,3.8,0.275,24.24,,,
T,40.285818000,-96.822338000,393.5,,0.6,-1.2,0.342,67.18,,,
T,40.285873000,-96.822339000,393.5,,359.2,-0.6,0.348,6.11,,,
T,40.285901000,-96.822600000,393.9,,278.0,1.9,0.371,22.41,,,
T,40.285964000,-96.823163000,396.2,,278.3,4.8,0.419,48.38,,,
T,40.286018000,-96.823600000,398.1,,279.2,5.0,0.457,37.64,,,
T,40.286075000,-96.824011000,399.9,,280.3,5.1,0.492,35.52,,,
T,40.286135000,-96.824366000,401.3,,282.5,4.4,0.523,30.91,,,
T,40.286209000,-96.824734000,402.4,,284.8,3.5,0.555,32.35,,,
T,40.286298000,-96.825126000,403.4,,286.6,2.7,0.590,34.77,,,
T,40.286368000,-96.825395000,403.7,,288.8,1.3,0.614,24.16,,,
T,40.286460000,-96.825716000,403.9,,290.6,0.8,0.644,29.15,,,
T,40.286563000,-96.826042000,404.1,,292.5,0.5,0.674,29.99,,,
T,40.286637000,-96.826256000,403.9,,294.4,-1.1,0.694,19.97,,,
T,40.286799000,-96.826678000,403.1,,296.7,-2.0,0.734,40.14,,,
T,40.286933000,-96.827015000,401.9,,297.5,-3.6,0.766,32.29,,,
T,40.287056000,-96.827294000,400.8,,300.0,-4.2,0.793,27.38,,,
T,40.287183000,-96.827559000,399.4,,302.1,-5.2,0.820,26.58,,,
