type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.284956000,-96.825417000,399.7,,,,0.000,,,3G_BeatriceToKearney,
T,40.284960000,-96.825374000,399.6,,83.0,-2.7,0.004,3.68,,,
T,40.284977000,-96.825288000,399.4,,75.5,-1.8,0.011,7.55,,,
T,40.285010000,-96.825218000,399.5,,58.3,0.5,0.018,6.99,,,
T,40.285069000,-96.825130000,399.7,,48.7,2.0,0.028,9.95,,,
T,40.285102000,-96.825065000,399.8,,56.4,1.8,0.035,6.63,,,
T,40.285125000,-96.825002000,399.9,,64.4,0.9,0.041,5.93,,,
T,40.285138000,-96.824921000,399.8,,78.1,-0.8,0.048,7.04,,,
T,40.285142000,-96.824656000,399.3,,88.9,-2.4,0.070,22.54,,,
T,40.285151000,-96.824574000,399.1,,81.8,-2.3,0.077,7.04,,,
T,40.285172000,-96.824499000,398.9,,69.8,-2.8,0.084,6.79,,,
T,40.285198000,-96.824408000,398.7,,69.5,-3.1,0.092,8.26,,,
T,40.285258000,-96.824226000,398.0,,66.6,-3.9,0.109,16.85,,,
T,40.285315000,-96.824054000,397.3,,66.5,-4.5,0.125,15.94,,,
T,40.285377000,-96.823889000,396.7,,63.8,-3.7,0.141,15.63,,,
T,40.285387000,-96.823799000,396.4,,81.7,-4.4,0.149,7.73,,,
T,40.285392000,-96.823712000,396.0,,85.7,-4.4,0.156,7.42,,,
T,40.285394000,-96.823629000,395.7,,88.2,-4.3,0.163,7.06,,,
T,40.285389000,-96.823551000,395.4,,94.8,-4.5,0.170,6.66,,,
T,40.285372000,-96.823475000,395.1,,106.3,-4.8,0.176,6.73,,,
T,40.285354000,-96.823405000,394.8,,108.6,-5.0,0.183,6.28,,,
T,40.285314000,-96.823282000,394.2,,113.1,-4.8,0.194,11.36,,,
T,40.285278000,-96.823153000,393.7,,110.1,-4.2,0.206,11.68,,,
T,40.285253000,-96.823049000,393.5,,107.5,-2.8,0.215,9.27,,,
T,40.285237000,-96.822955000,393.3,,102.6,-2.3,0.223,8.19,,,
T,40.285226000,-96.822861000,393.3,,98.7,-0.6,0.231,8.09,,,
T,40.285218000,-96.822759000,393.3,,95.9,0.4,0.240,8.72,,,
T,40.285214000,-96.822631000,393.4,,92.3,0.6,0.251,10.89,,,
T,40.285213000,-96.822346000,394.3,,90.3,3.8,0.275,24.24,,,
T,40.285818000,-96.822338000,393.5,,0.6,-1.2,0.342,67.18,,,
T,40.285873000,-96.822339000,393.5,,359.2,-0.6,0.348,6.11,,,
T,40.285782000,-96.821422000,392.5,,97.4,-1.2,0.427,78.63,,,
T,40.285622000,-96.819895000,396.4,,97.8,3.0,0.558,131.06,,,
T,40.285481000,-96.818556000,400.1,,97.9,3.2,0.673,114.94,,,
T,40.285380000,-96.817545000,400.6,,97.5,0.6,0.760,86.70,,,
T,40.285314000,-96.816813000,400.4,,96.7,-0.2,0.822,62.68,,,
T,40.285230000,-96.815683000,400.7,,95.6,0.3,0.919,96.54,,,
T,40.285166000,-96.814876000,400.4,,95.9,-0.4,0.988,68.99,,,
T,40.285043000,-96.813294000,399.5,,95.8,-0.7,1.123,135.22,,,
T,40.284920000,-96.811792000,397.7,,96.1,-1.3,1.252,128.45,,,
T,40.284887000,-96.811359000,397.5,,95.7,-0.8,1.289,37.00,,,
T,40.284796000,-96.810158000,396.9,,95.7,-0.6,1.391,102.63,,,
T,40.284733000,-96.809485000,396.7,,97.0,-0.3,1.449,57.66,,,
T,40.284663000,-96.808787000,395.5,,97.5,-2.0,1.509,59.86,,,
T,40.284615000,-96.808390000,395.2,,99.0,-1.0,1.543,34.18,,,
T,40.284570000,-96.808033000,395.5,,99.4,1.2,1.574,30.77,,,
T,40.284508000,-96.807596000,396.0,,100.5,1.3,1.612,37.79,,,
T,40.284479000,-96.807411000,396.2,,101.6,0.9,1.628,16.06,,,
T,40.284372000,-96.806723000,396.0,,101.5,-0.3,1.687,59.70,,,
T,40.284274000,-96.806117000,395.7,,102.0,-0.6,1.740,52.67,,,
T,40.284197000,-96.805657000,395.3,,102.4,-1.0,1.780,40.04,,,
T,40.284092000,-96.805089000,393.5,,103.6,-3.6,1.830,49.69,,,
T,40.283926000,-96.804217000,390.5,,104.0,-3.9,1.906,76.41,,,
T,40.283795000,-96.803595000,389.5,,105.4,-2.0,1.961,54.86,,,
T,40.283719000,-96.803246000,389.0,,105.9,-1.6,1.992,30.86,,,
T,40.283687000,-96.803113000,388.7,,107.5,-1.9,2.004,11.86,,,
T,40.283507000,-96.802359000,388.0,,107.4,-1.0,2.071,67.16,,,
T,40.283292000,-96.801527000,385.5,,108.7,-3.4,2.146,74.67,,,
T,40.283242000,-96.801332000,385.9,,108.6,2.4,2.163,17.49,,,
T,40.283062000,-96.800642000,388.9,,108.9,4.7,2.225,61.99,,,
T,40.282921000,-96.800111000,390.3,,109.2,3.1,2.273,47.79,,,
T,40.282523000,-96.798680000,393.3,,110.0,2.3,2.402,129.47,,,
T,40.282006000,-96.796690000,395.2,,108.8,1.1,2.581,178.70,,,
T,40.281874000,-96.796205000,395.5,,109.6,0.6,2.625,43.77,,,
T,40.281738000,-96.795697000,395.7,,109.3,0.6,2.670,45.76,,,
T,40.281369000,-96.794348000,396.3,,109.7,0.5,2.792,121.82,,,
T,40.279377000,-96.787751000,388.0,,111.6,-1.4,3.395,603.06,,,
T,40.278666000,-96.785429000,383.6,,111.9,-2.1,3.608,212.67,,,
T,40.278436000,-96.784694000,383.6,,112.3,0.0,3.676,67.52,,,
T,40.278168000,-96.783948000,382.7,,115.2,-1.3,3.746,70.08,,,
T,40.277962000,-96.783418000,382.2,,117.0,-1.0,3.796,50.55,,,
T,40.277801000,-96.783031000,380.7,,118.6,-4.1,3.834,37.45,,,
T,40.277716000,-96.782830000,380.9,,119.0,1.4,3.853,19.53,,,
T,40.277551000,-96.782465000,382.0,,120.6,3.0,3.889,36.05,,,
T,40.277391000,-96.782126000,382.7,,121.7,2.1,3.923,33.87,,,
T,40.277260000,-96.781853000,382.9,,122.2,0.6,3.950,27.40,,,
T,40.277026000,-96.781391000,383.8,,123.6,2.0,3.998,47.11,,,
T,40.276520000,-96.780415000,383.7,,124.2,-0.1,4.098,100.23,,,
T,40.276086000,-96.779593000,383.3,,124.7,-0.5,4.183,84.91,,,
T,40.275446000,-96.778385000,383.2,,124.8,-0.1,4.308,124.92,,,
T,40.275264000,-96.778062000,383.0,,126.4,-0.6,4.342,34.10,,,
T,40.275121000,-96.777826000,383.2,,128.5,0.9,4.367,25.59,,,
T,40.274983000,-96.777621000,383.2,,131.4,0.1,4.391,23.21,,,
T,40.274807000,-96.777377000,383.5,,133.4,1.0,4.419,28.51,,,
T,40.274606000,-96.777135000,383.9,,137.4,1.2,4.449,30.36,,,
T,40.274502000,-96.777021000,383.9,,140.1,0.1,4.465,15.08,,,
T,40.274328000,-96.776832000,384.1,,140.4,0.5,4.490,25.13,,,
T,40.274118000,-96.776626000,383.8,,143.2,-0.8,4.519,29.17,,,
T,40.273907000,-96.776441000,383.7,,146.2,-0.5,4.547,28.22,,,
T,40.273705000,-96.776281000,383.6,,148.9,-0.4,4.573,26.24,,,
T,40.273509000,-96.776138000,383.6,,150.9,-0.1,4.598,24.93,,,
T,40.273262000,-96.775987000,383.7,,155.0,0.3,4.628,30.28,,,
T,40.272970000,-96.775830000,383.5,,157.7,-0.4,4.664,35.07,,,
T,40.272723000,-96.775714000,383.7,,160.3,0.7,4.693,29.15,,,
T,40.272422000,-96.775593000,383.8,,162.9,0.2,4.728,34.97,,,
