type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.670800000,-99.039224000,647.7,,,,0.000,,,3GL_KearneyLoop,
T,40.670919000,-99.039219000,647.3,,1.8,-3.4,0.013,13.22,,,
T,40.670922000,-99.039375000,647.2,,271.5,-0.7,0.026,13.19,,,
T,40.670934000,-99.039844000,647.1,,271.9,-0.2,0.066,39.68,,,
T,40.670969000,-99.040243000,647.1,,276.6,-0.1,0.100,33.96,,,
T,40.670998000,-99.040547000,647.1,,277.2,0.1,0.126,25.90,,,
T,40.671058000,-99.041198000,647.3,,276.9,0.3,0.181,55.45,,,
T,40.671070000,-99.041504000,647.2,,273.0,-0.2,0.207,25.91,,,
T,40.671064000,-99.041637000,647.3,,266.6,0.4,0.219,11.27,,,
T,40.671032000,-99.041778000,647.5,,253.3,1.5,0.231,12.44,,,
T,40.670996000,-99.041914000,647.7,,250.8,2.0,0.243,12.17,,,
T,40.670922000,-99.042051000,648.0,,234.5,1.7,0.257,14.20,,,
T,40.670842000,-99.042170000,648.0,,228.4,0.5,0.271,13.42,,,
T,40.670749000,-99.042289000,647.9,,224.1,-0.6,0.285,14.42,,,
T,40.670646000,-99.042382000,647.8,,214.4,-1.0,0.299,13.88,,,
T,40.670534000,-99.042487000,647.7,,215.4,-0.8,0.314,15.28,,,
T,40.670429000,-99.042663000,647.6,,231.8,-0.4,0.333,18.91,,,
T,40.670356000,-99.042872000,647.5,,245.3,-0.6,0.353,19.44,,,
T,40.670313000,-99.043096000,647.6,,255.8,0.4,0.372,19.53,,,
T,40.670309000,-99.043692000,648.0,,269.5,0.9,0.423,50.40,,,
T,40.670327000,-99.043887000,648.2,,276.9,1.4,0.439,16.61,,,
T,40.670407000,-99.044179000,648.4,,289.9,0.4,0.466,26.24,,,
T,40.670446000,-99.044388000,648.4,,283.8,0.1,0.484,18.19,,,
T,40.670446000,-99.044641000,648.3,,270.0,-0.2,0.505,21.39,,,
T,40.670392000,-99.044917000,648.3,,255.5,-0.3,0.529,24.09,,,
T,40.670319000,-99.045170000,648.4,,249.2,0.8,0.552,22.88,,,
T,40.670327000,-99.047054000,648.8,,270.3,0.3,0.711,159.30,,,
T,40.670320000,-99.047234000,648.8,,267.1,-0.2,0.727,15.24,,,
T,40.670260000,-99.047461000,648.8,,250.8,0.1,0.747,20.32,,,
T,40.670222000,-99.052762000,649.2,,269.5,0.1,1.195,448.24,,,
T,40.670221000,-99.053696000,649.2,,269.9,-0.0,1.274,78.97,,,
T,40.670212000,-99.063833000,650.2,,269.9,0.1,2.131,857.12,,,
T,40.670229000,-99.064261000,650.3,,273.0,0.2,2.167,36.24,,,
T,40.670241000,-99.065876000,650.6,,270.6,0.2,2.304,136.56,,,
T,40.670266000,-99.066061000,650.8,,280.1,1.4,2.320,15.89,,,
T,40.670320000,-99.066207000,650.9,,296.0,1.2,2.334,13.72,,,
T,40.670395000,-99.066327000,651.4,,309.5,3.5,2.347,13.13,,,
T,40.670486000,-99.066419000,651.8,,322.5,2.7,2.360,12.75,,,
T,40.670696000,-99.066540000,651.0,,336.4,-3.1,2.385,25.47,,,
T,40.670820000,-99.066614000,651.2,,335.6,1.6,2.400,15.12,,,
T,40.670902000,-99.066684000,651.2,,327.1,-0.0,2.411,10.86,,,
T,40.670958000,-99.066772000,651.1,,310.0,-1.3,2.421,9.70,,,
T,40.671001000,-99.066856000,651.0,,304.0,-0.2,2.429,8.56,,,
T,40.671038000,-99.066974000,651.1,,292.5,0.6,2.440,10.79,,,
T,40.671067000,-99.067106000,651.2,,286.2,0.4,2.452,11.62,,,
T,40.671075000,-99.067232000,651.2,,274.8,-0.1,2.462,10.69,,,
T,40.671065000,-99.067358000,651.1,,264.0,-0.2,2.473,10.71,,,
T,40.671046000,-99.067477000,651.1,,258.1,-0.6,2.483,10.28,,,
T,40.671011000,-99.067566000,651.0,,242.6,-0.5,2.492,8.47,,,
T,40.670952000,-99.067658000,651.0,,229.8,0.1,2.502,10.17,,,
T,40.670608000,-99.068251000,651.0,,232.6,-0.1,2.565,63.03,,,
T,40.670550000,-99.068382000,650.9,,239.7,-0.2,2.578,12.81,,,
T,40.670512000,-99.068482000,650.9,,243.4,-0.7,2.587,9.45,,,
T,40.670474000,-99.068639000,650.8,,252.3,-0.4,2.601,13.93,,,
T,40.670444000,-99.068825000,650.8,,258.0,-0.2,2.617,16.08,,,
T,40.670426000,-99.069006000,650.8,,262.5,0.2,2.633,15.43,,,
T,40.670422000,-99.069127000,650.8,,267.5,0.0,2.643,10.24,,,
T,40.670423000,-99.069269000,650.8,,270.5,0.0,2.655,12.01,,,
T,40.670523000,-99.071749000,651.6,,273.0,0.4,2.865,209.98,,,
T,40.670551000,-99.072466000,651.7,,272.9,0.2,2.926,60.70,,,
T,40.670615000,-99.073967000,651.7,,273.2,0.0,3.053,127.11,,,
T,40.670746000,-99.076982000,651.6,,273.3,-0.0,3.308,255.34,,,
T,40.670902000,-99.080795000,652.3,,273.1,0.2,3.631,322.86,,,
T,40.670968000,-99.082395000,652.6,,273.1,0.2,3.766,135.48,,,
T,40.671032000,-99.082393000,652.6,,1.4,-0.1,3.774,7.11,,,
T,40.671545000,-99.082385000,652.6,,0.7,-0.0,3.831,56.97,,,
T,40.671803000,-99.082379000,652.5,,1.0,-0.4,3.859,28.65,,,
T,40.672274000,-99.082366000,652.4,,1.2,-0.2,3.911,52.31,,,
T,40.672859000,-99.082343000,652.7,,1.7,0.4,3.976,64.99,,,
T,40.673353000,-99.082334000,652.8,,0.8,0.2,4.031,54.86,,,
T,40.674108000,-99.082304000,652.5,,1.7,-0.3,4.115,83.88,,,
T,40.675224000,-99.082278000,652.9,,1.0,0.3,4.239,123.95,,,
T,40.675853000,-99.082256000,652.3,,1.5,-0.9,4.309,69.87,,,
T,40.676144000,-99.082253000,652.5,,0.4,0.5,4.341,32.32,,,
T,40.676334000,-99.082251000,652.9,,0.5,1.9,4.362,21.10,1,,
T,40.676334000,-99.082251000,652.9,,0.5,,4.362,0.00,,,
T,40.676424000,-99.082250000,652.9,,0.5,0.1,4.372,9.99,,,
T,40.677474000,-99.082239000,652.8,,0.5,-0.0,4.489,116.60,,,
T,40.677740000,-99.082233000,652.8,,1.0,-0.1,4.519,29.54,,,
T,40.678920000,-99.082206000,652.9,,1.0,0.1,4.650,131.06,,,
T,40.679097000,-99.082201000,653.0,,1.2,0.4,4.669,19.66,,,
T,40.679157000,-99.082200000,653.0,,0.7,0.2,4.676,6.66,,,
T,40.679486000,-99.082190000,653.0,,1.3,0.2,4.713,36.54,,,
T,40.679888000,-99.082179000,653.0,,1.2,-0.1,4.757,44.65,,,
T,40.680244000,-99.082169000,653.1,,1.2,0.3,4.797,39.54,,,
T,40.680491000,-99.082162000,653.1,,1.2,0.1,4.824,27.44,,,
T,40.680536000,-99.082161000,653.1,,1.0,-0.1,4.829,5.00,,,
T,40.680742000,-99.082155000,653.1,,1.3,-0.1,4.852,22.88,,,
T,40.680950000,-99.082149000,653.1,,1.3,-0.3,4.875,23.10,,,
T,40.681105000,-99.082145000,653.0,,1.1,-0.1,4.892,17.22,,,
T,40.681301000,-99.082141000,653.0,,0.9,0.0,4.914,21.77,,,
T,40.681559000,-99.082135000,653.1,,1.0,0.1,4.943,28.65,,,
T,40.681820000,-99.082128000,653.0,,1.2,-0.1,4.972,28.99,,,
T,40.682253000,-99.082118000,653.2,,1.0,0.3,5.020,48.09,,,
T,40.682629000,-99.082110000,653.2,,0.9,0.1,5.062,41.76,,,
T,40.682699000,-99.082108000,653.2,,1.2,-0.3,5.069,7.78,1,,
T,40.682699000,-99.082108000,653.2,,1.2,,5.069,0.00,,,
T,40.682799000,-99.082106000,653.2,,0.9,-0.3,5.081,11.11,,,
T,40.683764000,-99.082081000,653.0,,1.1,-0.2,5.188,107.18,,,
T,40.685013000,-99.082049000,652.9,,1.1,-0.1,5.326,138.73,,,
T,40.685031000,-99.083411000,653.0,,271.0,0.1,5.442,115.15,,,
T,40.685041000,-99.084181000,653.5,,271.0,0.7,5.507,65.10,,,
T,40.685047000,-99.084671000,653.5,,270.9,-0.1,5.548,41.43,,,
T,40.685049000,-99.084809000,653.4,,271.1,-0.5,5.560,11.67,,,
T,40.685061000,-99.085691000,654.1,,271.0,0.9,5.634,74.57,,,
T,40.685066000,-99.086129000,654.0,,270.9,-0.1,5.671,37.03,,,
T,40.685084000,-99.087495000,654.1,,271.0,0.1,5.787,115.49,,,
T,40.685093000,-99.088182000,654.5,,271.0,0.6,5.845,58.08,,,
T,40.685097000,-99.088496000,654.6,,271.0,0.6,5.871,26.55,,,
T,40.685102000,-99.088874000,654.4,,271.0,-0.6,5.903,31.96,,,
T,40.685111000,-99.089583000,654.2,,271.0,-0.4,5.963,59.94,,,
T,40.685120000,-99.090271000,654.3,,271.0,0.3,6.022,58.17,,,
T,40.685137000,-99.091613000,654.4,,271.0,0.1,6.135,113.46,1,,
T,40.685137000,-99.091613000,654.4,,271.0,,6.135,0.00,,,
T,40.685173000,-99.094343000,654.4,,271.0,0.0,6.366,230.81,,,
T,40.685181000,-99.094982000,654.4,,270.9,0.0,6.420,54.02,,,
T,40.685189000,-99.095590000,654.5,,271.0,0.2,6.471,51.40,,,
T,40.685190000,-99.095666000,654.6,,271.0,0.1,6.478,6.43,,,
T,40.685205000,-99.096818000,654.6,,271.0,0.1,6.575,97.40,,,
T,40.685220000,-99.097944000,655.0,,271.0,0.3,6.670,95.20,,,
T,40.685233000,-99.099006000,655.2,,270.9,0.2,6.760,89.79,,,
T,40.685243000,-99.099754000,655.5,,271.0,0.5,6.823,63.24,,,
T,40.685247000,-99.100043000,655.4,,271.0,-0.2,6.848,24.43,,,
T,40.685268000,-99.101083000,655.7,,271.5,0.3,6.936,87.95,,,
T,40.685272000,-99.101506000,655.7,,270.7,-0.1,6.971,35.76,,,
T,40.685273000,-99.101642000,655.7,,270.6,0.3,6.983,11.50,,,
T,40.685274000,-99.101837000,655.8,,270.4,0.3,6.999,16.48,,,
T,40.685277000,-99.102143000,655.7,,270.7,-0.2,7.025,25.87,,,
T,40.685275000,-99.102399000,655.8,,269.4,0.4,7.047,21.64,,,
T,40.685264000,-99.102758000,655.9,,267.7,0.2,7.077,30.37,,,
T,40.685242000,-99.103180000,655.7,,266.1,-0.5,7.113,35.76,,,
T,40.685147000,-99.104106000,655.7,,262.3,0.0,7.192,78.99,,,
T,40.685132000,-99.104283000,655.5,,263.6,-1.3,7.207,15.06,,,
T,40.685131000,-99.104302000,655.5,,266.0,-1.3,7.209,1.61,,,
T,40.685120000,-99.104626000,655.1,,267.4,-1.4,7.236,27.42,,,
T,40.685122000,-99.104957000,655.8,,270.5,2.5,7.264,27.98,,,
T,40.685126000,-99.105628000,656.0,,270.5,0.3,7.321,56.72,,,
T,40.685131000,-99.106435000,656.2,,270.5,0.3,7.389,68.22,,,
T,40.685132000,-99.106638000,656.2,,270.4,0.2,7.406,17.16,,,
T,40.685147000,-99.109273000,656.2,,270.4,-0.0,7.629,222.75,,,
T,40.685163000,-99.111979000,656.4,,270.4,0.1,7.858,228.76,,,
T,40.685174000,-99.113878000,656.6,,270.4,0.1,8.018,160.54,,,
T,40.685198000,-99.118035000,657.0,,270.4,0.1,8.370,351.42,,,
T,40.685224000,-99.122691000,657.8,,270.4,0.2,8.763,393.60,,,
T,40.685243000,-99.122826000,657.8,,280.5,-0.4,8.775,11.61,,,
T,40.685308000,-99.123105000,657.8,,287.1,0.2,8.800,24.66,,,
T,40.685350000,-99.123222000,657.9,,295.3,0.6,8.811,10.94,1,,
T,40.685350000,-99.123222000,657.9,,295.3,,8.811,0.00,,,
T,40.685361000,-99.123252000,657.9,,295.8,0.7,8.813,2.81,,,
T,40.685412000,-99.123335000,658.0,,309.0,0.7,8.822,9.02,,,
T,40.685442000,-99.123384000,658.0,,308.9,0.5,8.828,5.32,,,
T,40.685529000,-99.123469000,658.1,,323.5,0.6,8.840,12.04,,,
T,40.685621000,-99.123537000,658.1,,330.7,-0.0,8.851,11.72,,,
T,40.685779000,-99.123603000,658.1,,342.4,0.1,8.870,18.41,,,
T,40.685952000,-99.123663000,658.1,,345.3,0.1,8.890,19.87,,,
T,40.687626000,-99.123591000,659.0,,1.9,0.5,9.076,185.99,,,
T,40.687976000,-99.123573000,659.2,,2.2,0.6,9.115,38.90,,,
T,40.688883000,-99.123527000,660.1,,2.2,0.8,9.215,100.80,,,
T,40.688957000,-99.123511000,660.2,,9.3,1.5,9.224,8.33,,,
T,40.689315000,-99.123437000,660.2,,8.9,0.0,9.264,40.24,,,
T,40.690223000,-99.123296000,660.3,,6.7,0.1,9.365,101.53,,,
T,40.690700000,-99.123250000,660.5,,4.2,0.3,9.419,53.11,,,
T,40.692584000,-99.123162000,661.5,,2.0,0.5,9.628,209.35,,,
T,40.693334000,-99.123175000,662.0,,359.2,0.6,9.711,83.29,,,
T,40.694481000,-99.123243000,662.4,,357.4,0.4,9.839,127.50,,,
T,40.694823000,-99.123243000,662.6,,0.0,0.6,9.877,37.98,,,
T,40.695283000,-99.123234000,662.8,,0.8,0.3,9.928,51.09,,,
T,40.695554000,-99.123228000,662.9,,1.0,0.5,9.958,30.10,,,
T,40.696189000,-99.123213000,663.3,,1.0,0.5,10.028,70.53,,,
T,40.697128000,-99.123184000,664.2,,1.3,0.8,10.133,104.30,,,
T,40.697359000,-99.123177000,664.5,,1.3,1.2,10.158,25.66,,,
T,40.697703000,-99.123160000,665.0,,2.1,1.4,10.197,38.23,,,
T,40.697852000,-99.123151000,665.2,,2.6,1.3,10.213,16.56,,,
T,40.697993000,-99.123139000,665.5,,3.7,1.5,10.229,15.69,,,
T,40.698138000,-99.123109000,665.8,,8.9,1.6,10.245,16.30,,,
T,40.698286000,-99.123055000,666.0,,15.5,1.7,10.262,17.06,,,
T,40.698616000,-99.122901000,666.7,,19.5,1.7,10.301,38.89,,,
T,40.698832000,-99.122784000,667.2,,22.3,1.8,10.327,25.94,,,
T,40.698881000,-99.122758000,667.3,,21.9,2.2,10.333,5.87,,,
T,40.699012000,-99.122647000,667.7,,32.7,2.1,10.350,17.31,,,
T,40.699422000,-99.122494000,668.6,,15.8,1.9,10.398,47.33,,,
T,40.699542000,-99.122439000,668.7,,19.2,0.8,10.412,14.11,,,
T,40.700005000,-99.122275000,669.7,,15.0,2.0,10.465,53.25,,,
T,40.700151000,-99.122287000,670.4,,356.4,3.7,10.481,16.24,,,
T,40.700325000,-99.122237000,671.5,,12.3,5.8,10.501,19.78,,,
T,40.700387000,-99.122218000,671.9,,13.1,5.7,10.508,7.07,,,
T,40.700420000,-99.122210000,672.1,,10.4,5.7,10.512,3.73,,,
T,40.700470000,-99.122201000,672.5,,7.8,5.7,10.517,5.60,,,
T,40.700488000,-99.122198000,672.6,,7.2,5.7,10.519,2.01,,,
