type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,41.828102000,-103.707082000,1255.0,,,,0.000,,,3HL_GeringLoop,
T,41.828152000,-103.707183000,1255.1,,303.6,1.0,0.010,10.06,,,
T,41.828408000,-103.707706000,1255.7,,303.3,1.2,0.062,51.92,,,
T,41.828438000,-103.707768000,1255.8,,303.0,1.1,0.068,6.13,,,
T,41.828493000,-103.707879000,1255.9,,303.6,1.1,0.079,11.06,,,
T,41.828458000,-103.707955000,1256.0,,238.3,0.7,0.087,7.41,,,
T,41.828436000,-103.707988000,1256.0,,228.2,1.1,0.090,3.67,,,
T,41.828421000,-103.708006000,1256.0,,221.8,0.9,0.093,2.24,,,
T,41.828368000,-103.708055000,1256.1,,214.6,0.7,0.100,7.16,,,
T,41.828342000,-103.708072000,1256.1,,206.0,0.5,0.103,3.21,,,
T,41.828301000,-103.708096000,1256.1,,203.6,0.4,0.108,4.97,,,
T,41.828227000,-103.708132000,1256.1,,199.9,0.3,0.117,8.75,,,
T,41.828166000,-103.708188000,1256.2,,214.4,1.1,0.125,8.22,,,
T,41.828061000,-103.708282000,1256.4,,213.7,1.6,0.139,14.04,,,
T,41.827608000,-103.707301000,1255.5,,121.8,-1.0,0.235,95.78,,,
T,41.827164000,-103.706341000,1254.2,,121.8,-1.4,0.328,93.77,,,
T,41.826878000,-103.705688000,1253.8,,120.4,-0.7,0.391,62.86,,,
T,41.826698000,-103.705269000,1253.6,,120.0,-0.4,0.431,40.14,,,
T,41.826515000,-103.704837000,1253.4,,119.6,-0.6,0.473,41.24,,,
T,41.826383000,-103.704507000,1253.4,,118.2,-0.1,0.504,31.09,,,
T,41.826193000,-103.704032000,1253.2,,118.2,-0.4,0.548,44.75,,,
T,41.825955000,-103.703414000,1252.4,,117.3,-1.4,0.606,57.75,,,
T,41.825773000,-103.702918000,1251.9,,116.2,-1.1,0.652,45.90,,,
T,41.825580000,-103.702377000,1251.3,,115.6,-1.3,0.702,49.79,,,
T,41.825380000,-103.701798000,1250.1,,114.9,-2.2,0.755,52.98,,,
T,41.825315000,-103.701601000,1249.9,,113.9,-1.1,0.773,17.89,,,
T,41.825108000,-103.700952000,1249.2,,113.2,-1.2,0.831,58.61,,,
T,41.824936000,-103.700404000,1248.9,,112.8,-0.6,0.881,49.37,,,
T,41.824787000,-103.699902000,1248.2,,111.7,-1.6,0.926,44.87,,,
T,41.824653000,-103.699436000,1247.4,,111.1,-2.0,0.967,41.48,,,
T,41.824132000,-103.697579000,1243.2,,110.6,-2.5,1.132,164.77,,,
T,41.824035000,-103.697239000,1241.8,,110.9,-4.8,1.162,30.23,,,
T,41.823971000,-103.697018000,1240.7,,111.2,-5.5,1.182,19.69,,,
T,41.823880000,-103.696705000,1240.0,,111.3,-2.4,1.210,27.90,,,
T,41.823807000,-103.696466000,1240.0,,112.3,-0.1,1.231,21.45,,,
T,41.823722000,-103.696190000,1239.0,,112.5,-4.1,1.256,24.80,,,
T,41.823636000,-103.695916000,1237.6,,112.8,-5.4,1.281,24.69,,,
T,41.823526000,-103.695570000,1236.3,,113.1,-4.4,1.312,31.23,,,
T,41.823406000,-103.695204000,1234.4,,113.7,-5.6,1.345,33.20,,,
T,41.823128000,-103.694406000,1239.8,,115.1,7.4,1.418,73.14,,,
T,41.823017000,-103.694097000,1239.6,,115.7,-0.6,1.447,28.48,,,
T,41.822911000,-103.693805000,1239.6,,116.0,0.1,1.474,26.97,,,
T,41.822696000,-103.693220000,1238.8,,116.3,-1.5,1.528,54.15,,,
T,41.822414000,-103.692454000,1237.4,,116.3,-2.0,1.599,70.93,,,
T,41.822366000,-103.692325000,1237.1,,116.5,-2.5,1.611,11.97,,,
T,41.821959000,-103.691223000,1235.3,,116.4,-1.7,1.713,102.11,,,
T,41.821867000,-103.690957000,1235.0,,114.9,-1.2,1.737,24.35,,,
T,41.821781000,-103.690685000,1234.5,,113.0,-2.0,1.762,24.53,,,
T,41.821708000,-103.690413000,1234.2,,109.8,-1.5,1.786,24.01,,,
T,41.821645000,-103.690145000,1233.8,,107.5,-1.4,1.809,23.34,,,
T,41.821585000,-103.689850000,1233.4,,105.3,-1.8,1.834,25.40,,,
T,41.821536000,-103.689568000,1232.8,,103.1,-2.3,1.859,24.05,,,
T,41.821494000,-103.689272000,1232.2,,100.8,-2.4,1.884,25.03,,,
T,41.821463000,-103.688975000,1231.7,,98.0,-2.1,1.908,24.91,,,
T,41.821442000,-103.688694000,1231.2,,95.7,-2.1,1.932,23.46,,,
T,41.821431000,-103.688443000,1230.8,,93.4,-2.1,1.953,20.89,,,
T,41.821427000,-103.688201000,1230.4,,91.3,-2.1,1.973,20.11,,,
T,41.821424000,-103.686812000,1227.8,,90.2,-2.2,2.088,115.40,,,
T,41.821425000,-103.686565000,1227.4,,89.7,-2.3,2.109,20.52,,,
T,41.821431000,-103.685263000,1224.8,,89.6,-2.4,2.217,108.17,,,
T,41.821431000,-103.684810000,1224.2,,90.0,-1.6,2.255,37.64,,,
