type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,41.828102000,-103.707082000,1255.0,,,,0.000,,,4F: Gering to Casper,
T,41.828152000,-103.707183000,1255.1,,303.6,1.0,0.010,10.06,,,
T,41.828408000,-103.707706000,1255.7,,303.3,1.2,0.062,51.92,,,
T,41.828438000,-103.707768000,1255.8,,303.0,1.1,0.068,6.13,,,
T,41.828493000,-103.707879000,1255.9,,303.6,1.1,0.079,11.06,,,
T,41.828458000,-103.707955000,1256.0,,238.3,0.7,0.087,7.41,,,
T,41.828436000,-103.707988000,1256.0,,228.2,1.1,0.090,3.67,,,
T,41.828421000,-103.708006000,1256.0,,221.8,0.9,0.093,2.24,,,
T,41.828368000,-103.708055000,1256.1,,214.6,0.7,0.100,7.16,,,
T,41.828342000,-103.708072000,1256.1,,206.0,0.5,0.103,3.21,,,
T,41.828301000,-103.708096000,1256.1,,203.6,0.4,0.108,4.97,,,
T,41.828227000,-103.708132000,1256.1,,199.9,0.3,0.117,8.75,,,
T,41.828166000,-103.708188000,1256.2,,214.4,1.1,0.125,8.22,,,
T,41.828061000,-103.708282000,1256.4,,213.7,1.6,0.139,14.04,,,
T,41.828500000,-103.709239000,1258.0,,301.6,1.6,0.232,93.26,,,
T,41.829134000,-103.710618000,1261.7,,301.7,2.8,0.367,134.47,,,
T,41.830115000,-103.712757000,1270.2,,301.6,4.1,0.575,208.44,,,
T,41.830717000,-103.714054000,1274.7,,301.9,3.6,0.702,126.80,,,
T,41.830803000,-103.714241000,1274.3,,301.7,-2.2,0.720,18.24,,,
T,41.831481000,-103.715718000,1270.9,,301.6,-2.4,0.864,143.96,,,
T,41.831872000,-103.716534000,1268.7,,302.7,-2.7,0.945,80.50,,,
T,41.832223000,-103.717197000,1264.5,,305.4,-6.3,1.012,67.48,,,
T,41.832533000,-103.717748000,1264.7,,307.1,0.4,1.069,57.28,,,
T,41.832905000,-103.718353000,1266.7,,309.5,3.2,1.134,65.06,,,
T,41.833144000,-103.718727000,1266.1,,310.6,-1.7,1.175,40.86,,,
T,41.833361000,-103.719051000,1264.5,,312.0,-4.4,1.211,36.13,,,
T,41.833617000,-103.719407000,1260.7,,314.0,-9.2,1.252,41.02,,,
T,41.834181000,-103.720132000,1258.2,,316.2,-2.9,1.339,86.90,,,
T,41.835382000,-103.721664000,1247.6,,316.5,-5.7,1.524,184.36,,,
T,41.836579000,-103.723182000,1237.5,,316.6,-5.5,1.707,183.23,,,
T,41.837158000,-103.723938000,1232.3,,315.8,-5.7,1.797,89.88,,,
T,41.838144000,-103.725193000,1227.5,,316.5,-3.2,1.948,151.19,,,
T,41.838386000,-103.725502000,1226.9,,316.4,-1.5,1.985,37.16,,,
