Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,281.60472,-0.0781435661468023,0,39.037178,-95.676409,923.9,-7.83030146869364,0,0
11.265408,280.65984,-0.0838032642313107,11.23188,39.037082,-95.67645,920.8,-8.4,0.007,36.85
22.530816,279.59304,-0.0897581741899505,11.829288,39.036979,-95.676485,917.3,-9,0.014,38.81
86.904576,276.27072,-0.0529504578049819,63.117984,39.036977,-95.677214,906.4,-5.3,0.054,207.08
104.60736,276.17928,-0.00399997866687146,17.849088,39.036971,-95.67742,906.1,-0.4,0.065,58.56
125.528832,276.72792,0.0259941437084617,20.961096,39.036966,-95.677662,907.9,2.6,0.078,68.77
133.575552,277.09368,0.0419753301053573,8.659368,39.036966,-95.677762,909.1,4.2,0.083,28.41
177.02784,278.83104,0.03997868712329,42.943272,39.036967,-95.678258,914.8,4,0.11,140.89
183.465216,279.0444,0.0299910048568779,7.647432,39.036961,-95.678346,915.5,3,0.114,25.09
194.730624,279.01392,-0.0029999910000486,10.792968,39.036951,-95.67847,915.4,-0.3,0.121,35.41
222.089472,279.01392,-0,27.358848,39.036952,-95.678786,915.4,-0,0.138,89.76
236.573568,278.83104,-0.0139990854408831,13.560552,39.036963,-95.678942,914.8,-1.4,0.147,44.49
254.276352,278.13,-0.0389802450252585,18.18132,39.036963,-95.679152,912.5,-3.9,0.158,59.65
271.979136,278.7396,0.0359844600820516,17.141952,39.036963,-95.67935,914.5,3.6,0.169,56.24
300.947328,280.01976,0.0429735270295798,29.785056,39.036962,-95.679694,918.7,4.3,0.187,97.72
357.274368,281.178,0.020996913816563,55.41264,39.036961,-95.680334,922.5,2.1,0.222,181.8
365.321088,281.20848,0.00199999733333973,9.436608,39.036961,-95.680443,922.6,0.2,0.227,30.96
411.992064,281.66568,0.00999966668666524,45.713904,39.03696,-95.680971,924.1,1,0.256,149.98
457.053696,278.77008,-0.063912832788734,45.281088,39.036959,-95.681494,914.6,-6.4,0.284,148.56
466.70976,278.34336,-0.0439716382710356,9.177528,39.036959,-95.6816,913.2,-4.4,0.29,30.11
521.427456,278.06904,-0.00499995833395832,55.497984,39.036958,-95.682241,912.3,-0.5,0.324,182.08
566.489088,279.07488,0.0229959456201157,44.156376,39.036957,-95.682751,915.6,2.3,0.352,144.87
576.145152,279.71496,0.0619207400583113,10.04316,39.036957,-95.682867,917.7,6.2,0.358,32.95
1369.551744,296.20464,0.020996913816563,793.101792,39.044101,-95.682848,971.8,2.1,0.851,2602.04
1388.863872,296.08272,-0.00599992800155516,20.308824,39.044282,-95.682814,971.4,-0.6,0.863,66.63
1408.176,295.93032,-0.00799982933988663,18.565368,39.044443,-95.682756,970.9,-0.8,0.875,60.91
1421.050752,295.86936,-0.00399997866687146,13.856208,39.044563,-95.682712,970.7,-0.4,0.883,45.46
1427.488128,295.86936,0.00199999733333973,5.126736,39.044607,-95.682694,970.7,0.2,0.887,16.82
1435.534848,295.9608,0.00799982933988663,9.573768,39.04469,-95.682664,971,0.8,0.892,31.41
1488.6432,293.79672,-0.0409770494767878,52.571904,39.045139,-95.682471,963.9,-4.1,0.925,172.48
1575.547776,291.75456,-0.0229959456201157,87.197184,39.045884,-95.682152,957.2,-2.3,0.979,286.08
1586.813184,291.60216,-0.0129992677409163,10.070592,39.04597,-95.682115,956.7,-1.3,0.986,33.04
1596.469248,291.48024,-0.0129992677409163,10.890504,39.046063,-95.682075,956.3,-1.3,0.992,35.73
1641.53088,289.19424,-0.0509558518771075,44.351448,39.046442,-95.681913,948.8,-5.1,1.02,145.51
1689.8112,286.84728,-0.048960840065008,48.103536,39.046853,-95.681737,941.1,-4.9,1.05,157.82
1738.09152,288.70656,0.0379817251640402,49.295304,39.047274,-95.681556,947.2,3.8,1.08,161.73
1755.794304,289.62096,0.0529504578049819,17.550384,39.047424,-95.681492,950.2,5.3,1.091,57.58
1770.2784,290.1696,0.0379817251640402,14.53896,39.047548,-95.681438,952,3.8,1.1,47.7
1818.55872,290.74872,0.0119994240497613,47.865792,39.047957,-95.681263,953.9,1.2,1.13,157.04
1915.11936,289.46856,-0.0129992677409163,95.969328,39.048777,-95.680912,949.7,-1.3,1.19,314.86
1924.775424,289.04184,-0.0389802450252585,10.783824,39.048869,-95.680872,948.3,-3.9,1.196,35.38
1936.040832,289.01136,-0.00399997866687146,10.756392,39.048961,-95.680833,948.2,-0.4,1.203,35.29
2010.070656,288.55416,-0.00599992800155516,74.11212,39.049594,-95.680561,946.7,-0.6,1.249,243.15
2076.05376,291.05352,0.0379817251640402,66.236088,39.05016,-95.680319,954.9,3.8,1.29,217.31
2095.365888,292.27272,0.0649086896934335,18.397728,39.050317,-95.680251,958.9,6.5,1.302,60.36
2113.068672,292.54704,0.0149988751518506,17.89176,39.05047,-95.680186,959.8,1.5,1.313,58.7
2148.47424,291.57168,-0.0269934418682879,34.890456,39.050768,-95.680058,956.6,-2.7,1.335,114.47
2199.973248,290.53536,-0.0199973339731505,51.514248,39.051208,-95.679869,953.2,-2,1.367,169.01
2214.457344,290.322,-0.0129992677409163,14.852904,39.051335,-95.679815,952.5,-1.3,1.376,48.73
2253.0816,290.80968,0.0119994240497613,38.880288,39.051667,-95.679672,954.1,1.2,1.4,127.56
2264.347008,290.7792,-0.0029999910000486,10.994136,39.051761,-95.679632,954,-0.3,1.407,36.07
2274.003072,290.84016,0.00599992800155516,10.756392,39.051853,-95.679593,954.2,0.6,1.413,35.29
2301.36192,290.90112,0.00199999733333973,26.115264,39.052076,-95.679497,954.4,0.2,1.43,85.68
2339.986176,291.90696,0.0249947936189202,38.642544,39.052406,-95.679355,957.7,2.5,1.454,126.78
2415.625344,291.32784,-0.00699988567002795,75.962256,39.053055,-95.679077,955.8,-0.7,1.501,249.22
2433.328128,290.68776,-0.0349857188285258,18.236184,39.053211,-95.679011,953.7,-3.5,1.512,59.83
2451.030912,289.95624,-0.0429735270295798,17.31264,39.053359,-95.678948,951.3,-4.3,1.523,56.8
2523.451392,290.74872,0.0109995563655408,72.551544,39.053979,-95.678683,953.9,1.1,1.568,238.03
2592.653184,291.20592,0.00699988567002795,68.637912,39.054566,-95.678434,955.4,0.7,1.611,225.19
2602.309248,291.02304,-0.0179980563778262,9.595104,39.054648,-95.678399,954.8,-1.8,1.617,31.48
2613.574656,290.84016,-0.0179980563778262,11.469624,39.054746,-95.678357,954.2,-1.8,1.624,37.63
