type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	39.037178000	-95.676409000	923.9				0.000		#f57c00	1.00	2.55			AL. Topeka Loop		Optional Loops
T	39.037082000	-95.676450000	920.8		198.4	-8.4	0.007	36.85								
T	39.036979000	-95.676485000	917.3		194.8	-9.0	0.014	38.81								
T	39.036977000	-95.677214000	906.4		269.8	-5.3	0.054	207.08								
T	39.036971000	-95.677420000	906.1		267.9	-0.4	0.065	58.56								
T	39.036966000	-95.677662000	907.9		268.5	2.6	0.078	68.77								
T	39.036966000	-95.677762000	909.1		270.0	4.2	0.083	28.41								
T	39.036967000	-95.678258000	914.8		270.1	4.0	0.110	140.89								
T	39.036961000	-95.678346000	915.5		265.0	3.0	0.114	25.09								
T	39.036951000	-95.678470000	915.4		264.1	-0.3	0.121	35.41								
T	39.036952000	-95.678786000	915.4		270.2	-0.0	0.138	89.76								
T	39.036963000	-95.678942000	914.8		275.2	-1.4	0.147	44.49								
T	39.036963000	-95.679152000	912.5		270.0	-3.9	0.158	59.65								
T	39.036963000	-95.679350000	914.5		270.0	3.6	0.169	56.24								
T	39.036962000	-95.679694000	918.7		269.8	4.3	0.187	97.72								
T	39.036961000	-95.680334000	922.5		269.9	2.1	0.222	181.80								
T	39.036961000	-95.680443000	922.6		270.0	0.2	0.227	30.96								
T	39.036960000	-95.680971000	924.1		269.9	1.0	0.256	149.98								
T	39.036959000	-95.681494000	914.6		269.9	-6.4	0.284	148.56								
T	39.036959000	-95.681600000	913.2		270.0	-4.4	0.290	30.11								
T	39.036958000	-95.682241000	912.3		269.9	-0.5	0.324	182.08								
T	39.036957000	-95.682751000	915.6		269.9	2.3	0.352	144.87								
T	39.036957000	-95.682867000	917.7		270.0	6.2	0.358	32.95								
T	39.044101000	-95.682848000	971.8		0.1	2.1	0.851	2602.04								
T	39.044282000	-95.682814000	971.4		8.3	-0.6	0.863	66.63								
T	39.044443000	-95.682756000	970.9		15.6	-0.8	0.875	60.91								
T	39.044563000	-95.682712000	970.7		15.9	-0.4	0.883	45.46								
T	39.044607000	-95.682694000	970.7		17.6	0.2	0.887	16.82								
T	39.044690000	-95.682664000	971.0		15.7	0.8	0.892	31.41								
T	39.045139000	-95.682471000	963.9		18.5	-4.1	0.925	172.48								
T	39.045884000	-95.682152000	957.2		18.4	-2.3	0.979	286.08								
T	39.045970000	-95.682115000	956.7		18.5	-1.3	0.986	33.04								
T	39.046063000	-95.682075000	956.3		18.5	-1.3	0.992	35.73								
T	39.046442000	-95.681913000	948.8		18.4	-5.1	1.020	145.51								
T	39.046853000	-95.681737000	941.1		18.4	-4.9	1.050	157.82								
T	39.047274000	-95.681556000	947.2		18.5	3.8	1.080	161.73								
T	39.047424000	-95.681492000	950.2		18.3	5.3	1.091	57.58								
T	39.047548000	-95.681438000	952.0		18.7	3.8	1.100	47.70								
T	39.047957000	-95.681263000	953.9		18.4	1.2	1.130	157.04								
