type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	40.882793000	-98.374176000	1875.7				0.000		#f57c00	1.00	2.55			BL. Grand Island Loop		Optional Loops
T	40.882803000	-98.374165000	1875.5		39.7	-4.8	0.001	4.75								
T	40.883038000	-98.374036000	1868.8		22.5	-7.2	0.018	92.75								
T	40.882986000	-98.373823000	1875.0		107.9	10.1	0.030	61.87								
T	40.882928000	-98.373538000	1877.3		105.1	2.8	0.046	81.59								
T	40.882925000	-98.373430000	1878.7		92.1	4.7	0.051	29.88								
T	40.882922000	-98.373300000	1880.3		91.7	4.5	0.058	35.96								
T	40.882961000	-98.372940000	1882.3		81.8	1.9	0.077	100.56								
T	40.883062000	-98.372599000	1879.0		68.6	-3.3	0.096	101.22								
T	40.883162000	-98.372409000	1876.2		55.2	-4.3	0.108	63.94								
T	40.883205000	-98.372326000	1875.5		55.6	-2.5	0.114	27.79								
T	40.883425000	-98.372059000	1877.2		42.5	1.5	0.134	108.98								
T	40.883442000	-98.372045000	1877.5		31.9	4.5	0.136	7.30								
T	40.883667000	-98.371867000	1881.3		30.9	3.9	0.154	95.62								
T	40.883773000	-98.371805000	1882.5		23.9	2.9	0.162	42.25								
T	40.883857000	-98.371756000	1883.1		23.8	1.7	0.168	33.47								
T	40.884027000	-98.371686000	1881.7		17.3	-2.2	0.180	64.89								
T	40.884043000	-98.371685000	1881.5		2.7	-3.1	0.182	5.84								
T	40.884207000	-98.371671000	1879.5		3.7	-3.4	0.193	59.88								
T	40.884450000	-98.371710000	1876.6		353.1	-3.3	0.210	89.19								
T	40.884775000	-98.371876000	1874.0		338.9	-2.0	0.234	127.00								
T	40.884962000	-98.372038000	1874.1		326.8	0.2	0.249	81.54								
T	40.885107000	-98.372220000	1870.1		316.5	-5.5	0.263	72.96								
T	40.885227000	-98.372402000	1864.1		311.1	-9.0	0.276	66.66								
T	40.885342000	-98.372666000	1865.5		299.9	1.7	0.292	84.17								
T	40.885400000	-98.372890000	1873.7		288.9	12.5	0.304	65.44								
T	40.885432000	-98.373202000	1886.4		277.7	14.6	0.321	87.06								
T	40.886383000	-98.373141000	1880.0		2.8	-1.8	0.386	346.90								
T	40.887055000	-98.373055000	1872.0		5.5	-3.2	0.433	245.99								
T	40.887324000	-98.373061000	1870.0		359.0	-2.1	0.451	98.02								
T	40.887487000	-98.373052000	1870.0		2.4	0.0	0.463	59.44								
T	40.887721000	-98.373039000	1877.7		2.4	9.0	0.479	85.33								
T	40.887932000	-98.373037000	1878.0		0.4	0.4	0.493	76.88								
T	40.887877000	-98.369239000	1868.9		91.1	-0.9	0.692	1050.34								
T	40.887869000	-98.368554000	1878.4		90.9	5.0	0.728	189.43								
T	40.887863000	-98.367864000	1882.5		90.7	2.2	0.764	190.80								
T	40.887846000	-98.367122000	1882.0		91.7	-0.2	0.803	205.26								
T	40.887822000	-98.366309000	1880.2		92.2	-0.8	0.846	224.97								
T	40.887760000	-98.364971000	1875.6		93.5	-1.2	0.916	370.65								
T	40.887756000	-98.364868000	1873.3		92.9	-8.2	0.921	28.52								
T	40.887668000	-98.362479000	1873.4		92.8	0.0	1.047	661.34								
T	40.887649000	-98.362040000	1873.4		93.3	0.0	1.070	121.58								
T	40.887529000	-98.358981000	1873.0		93.0	-0.0	1.230	846.95								
T	40.887428000	-98.356337000	1873.0		92.9	0.0	1.369	732.00								
T	40.887383000	-98.354823000	1862.4		92.3	-2.5	1.448	418.95								
T	40.887348000	-98.352016000	1872.4		90.9	1.3	1.595	776.25								
T	40.887313000	-98.348388000	1870.0		90.7	-0.2	1.785	1003.24								
T	40.887307000	-98.346558000	1868.8		90.2	-0.2	1.881	506.01								
T	40.887270000	-98.344894000	1862.0		91.7	-1.5	1.968	460.30								
T	40.887262000	-98.344442000	1860.3		91.3	-1.4	1.992	125.01								
T	40.887260000	-98.343971000	1861.1		90.3	0.6	2.016	130.24								
T	40.887247000	-98.343134000	1859.3		91.2	-0.8	2.060	231.48								
T	40.887242000	-98.342421000	1860.5		90.5	0.6	2.098	197.16								
T	40.887224000	-98.340475000	1866.8		90.7	1.2	2.200	538.12								
T	40.887218000	-98.339847000	1863.2		90.7	-2.1	2.232	173.66								
T	40.885884000	-98.339800000	1863.2		178.5	0.0	2.325	486.21								
T	40.885511000	-98.339691000	1863.8		167.5	0.5	2.351	139.20								
T	40.883966000	-98.339667000	1859.8		179.3	-0.7	2.458	562.95								
T	40.883619000	-98.339665000	1862.7		179.8	2.4	2.481	126.43								
T	40.883522000	-98.339665000	1863.1		180.0	0.9	2.488	35.34								
T	40.883113000	-98.339662000	1863.5		179.7	0.3	2.516	149.02								
T	40.881922000	-98.339655000	1866.0		179.7	0.6	2.599	433.94								
T	40.881748000	-98.339654000	1866.0		179.8	-0.0	2.611	63.40								
T	40.880190000	-98.339602000	1867.2		178.6	0.2	2.718	567.83								
T	40.879837000	-98.339602000	1866.1		180.0	-0.8	2.742	128.61								
T	40.879537000	-98.339613000	1862.9		181.6	-3.0	2.763	109.35								
T	40.878883000	-98.339633000	1854.7		181.3	-3.4	2.808	238.34								
T	40.878792000	-98.339693000	1854.0		206.5	-1.9	2.815	37.08								
T	40.878638000	-98.339699000	1853.9		181.7	-0.1	2.826	56.13								
T	40.878289000	-98.339712000	1860.8		181.6	5.4	2.850	127.21								
T	40.878196000	-98.339629000	1862.4		146.0	4.0	2.858	40.93								
T	40.877466000	-98.339639000	1863.4		180.6	0.4	2.908	265.98								
T	40.877153000	-98.339644000	1863.2		180.7	-0.2	2.930	114.05								
T	40.876863000	-98.339640000	1865.8		179.4	2.5	2.950	105.67								
T	40.876575000	-98.339758000	1871.3		197.2	5.0	2.971	109.89								
T	40.875835000	-98.339751000	1873.0		179.6	0.6	3.022	269.62								
T	40.875567000	-98.339751000	1873.0		180.0	0.0	3.040	97.64								
T	40.872720000	-98.339762000	1859.7		180.2	-1.3	3.237	1037.29								
T	40.872298000	-98.339772000	1863.8		181.0	2.7	3.266	153.78								
T	40.871495000	-98.339783000	1865.0		180.6	0.4	3.321	292.58								
T	40.870172000	-98.339815000	1867.2		181.0	0.5	3.412	482.11								
T	40.869223000	-98.339794000	1864.4		179.0	-0.8	3.478	345.81								
T	40.868582000	-98.339826000	1871.3		182.2	3.0	3.522	233.71								
T	40.867390000	-98.339815000	1859.6		179.6	-2.7	3.604	434.31								
T	40.866002000	-98.339805000	1862.3		179.7	0.5	3.700	505.71								
T	40.865710000	-98.339815000	1863.5		181.5	1.1	3.720	106.42								
T	40.864566000	-98.339847000	1867.2		181.2	0.9	3.799	416.90								
T	40.863576000	-98.339837000	1865.3		179.6	-0.5	3.868	360.71								
T	40.861786000	-98.339894000	1879.9		181.4	2.2	3.991	652.36								
