type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	40.882783000	-98.374187000	1875.9				0.000		#0288d1	1.00	1.2			C. Grand Island to Gering		Main Route
T	40.882803000	-98.374165000	1875.5		39.7	-4.6	0.002	9.49								
T	40.883038000	-98.374036000	1868.8		22.5	-7.2	0.019	92.75								
T	40.882928000	-98.373538000	1877.3		106.3	5.9	0.047	143.42								
T	40.882922000	-98.373300000	1880.3		91.9	4.6	0.059	65.85								
T	40.882961000	-98.372940000	1882.3		81.8	1.9	0.078	100.56								
T	40.883062000	-98.372599000	1879.0		68.6	-3.3	0.097	101.22								
T	40.883205000	-98.372326000	1875.5		55.3	-3.7	0.115	91.72								
T	40.883425000	-98.372059000	1877.2		42.5	1.5	0.135	108.98								
T	40.883667000	-98.371867000	1881.3		31.0	4.0	0.155	102.92								
T	40.883857000	-98.371756000	1883.1		23.8	2.3	0.169	75.72								
T	40.884027000	-98.371686000	1881.7		17.3	-2.2	0.181	64.89								
T	40.884094000	-98.371680000	1880.9		3.9	-3.2	0.186	24.47								
T	40.884207000	-98.371671000	1879.5		3.4	-3.4	0.194	41.25								
T	40.884450000	-98.371710000	1876.6		353.1	-3.3	0.211	89.19								
T	40.884775000	-98.371876000	1874.0		338.9	-2.0	0.235	127.00								
T	40.884962000	-98.372038000	1874.1		326.8	0.2	0.250	81.54								
T	40.885107000	-98.372220000	1870.1		316.5	-5.5	0.264	72.96								
T	40.885227000	-98.372402000	1864.1		311.1	-9.0	0.277	66.66								
T	40.885342000	-98.372666000	1865.5		299.9	1.7	0.293	84.17								
T	40.885400000	-98.372890000	1873.7		288.9	12.5	0.305	65.44								
T	40.885432000	-98.373202000	1886.4		277.7	14.6	0.321	87.06								
T	40.886383000	-98.373141000	1880.0		2.8	-1.8	0.387	346.90								
T	40.887055000	-98.373055000	1872.0		5.5	-3.2	0.434	245.99								
T	40.887324000	-98.373061000	1870.0		359.0	-2.1	0.452	98.02								
T	40.887864000	-98.373038000	1878.8		1.8	4.4	0.490	196.85								
T	40.887932000	-98.373037000	1878.0		0.6	-3.1	0.494	24.78								
T	40.887967000	-98.375151000	1867.1		271.3	-1.9	0.605	584.66								
T	40.887998000	-98.375322000	1864.2		283.5	-5.9	0.614	48.61								
T	40.888007000	-98.375442000	1864.1		275.7	-0.3	0.621	33.34								
T	40.888064000	-98.378096000	1876.7		271.6	1.7	0.760	734.13								
T	40.888068000	-98.378191000	1876.8		273.2	0.2	0.765	26.31								
T	40.895312000	-98.378310000	1883.2		359.3	0.2	1.264	2639.51								
T	40.895789000	-98.378344000	1874.9		356.9	-4.8	1.297	174.05								
T	40.896040000	-98.378373000	1868.8		355.0	-6.6	1.315	91.80								
T	40.896290000	-98.378421000	1876.3		351.7	8.1	1.332	92.05								
T	40.896796000	-98.378551000	1884.6		349.0	4.4	1.368	187.83								
T	40.897101000	-98.378647000	1877.7		346.6	-6.1	1.389	114.25								
T	40.897485000	-98.378791000	1869.3		344.2	-5.8	1.417	145.46								
T	40.897885000	-98.378969000	1873.8		341.4	2.9	1.446	153.82								
T	40.902173000	-98.381174000	1887.4		338.8	0.8	1.764	1677.02								
T	40.904739000	-98.382496000	1905.9		338.7	1.8	1.954	1003.79								
T	40.905094000	-98.382659000	1908.4		340.9	1.8	1.980	136.97								
T	40.905491000	-98.382812000	1917.2		343.8	5.9	2.008	150.70								
T	40.905824000	-98.382921000	1911.6		346.1	-4.5	2.032	125.01								
T	40.906130000	-98.383001000	1918.5		348.8	6.1	2.054	113.66								
T	40.906475000	-98.383070000	1922.6		351.4	3.3	2.078	127.14								
T	40.906848000	-98.383126000	1908.8		353.5	-10.1	2.104	136.78								
T	40.907209000	-98.383156000	1903.0		356.4	-4.4	2.128	131.79								
T	40.908337000	-98.383177000	1887.9		359.2	-3.7	2.206	411.02								
T	40.910557000	-98.383215000	1873.4		359.3	-1.8	2.360	808.91								
T	40.914786000	-98.383194000	1884.0		0.2	0.7	2.651	1540.82								
T	40.914980000	-98.383192000	1886.2		0.4	3.2	2.665	70.69								
T	40.914989000	-98.383338000	1886.5		274.7	0.5	2.672	40.49								
T	40.914971000	-98.383551000	1891.3		263.6	8.1	2.684	59.23								
T	40.914833000	-98.383904000	1896.3		242.6	4.5	2.704	109.76								
T	40.914712000	-98.384117000	1896.3		233.1	0.1	2.718	73.55								
T	40.914582000	-98.384275000	1895.7		222.6	-1.0	2.731	64.42								
T	40.914396000	-98.384473000	1896.6		218.8	1.0	2.747	87.11								
T	40.913919000	-98.384921000	1891.4		215.4	-2.4	2.787	213.39								
T	40.913415000	-98.385374000	1898.9		214.2	3.4	2.830	222.25								
T	40.913112000	-98.385738000	1899.6		222.2	0.5	2.858	149.36								
T	40.912697000	-98.386388000	1898.6		229.8	-0.4	2.902	234.82								
T	40.911971000	-98.388048000	1892.7		239.9	-1.1	3.003	529.61								
T	40.910815000	-98.390606000	1887.3		239.1	-0.7	3.159	822.98								
T	40.910425000	-98.391299000	1889.8		233.3	1.1	3.204	238.50								
T	40.910191000	-98.391862000	1889.8		241.2	0.0	3.237	177.44								
T	40.909132000	-98.394258000	1878.1		239.7	-1.5	3.382	766.48								
T	40.908861000	-98.394771000	1884.4		235.0	3.6	3.415	172.79								
T	40.908595000	-98.395206000	1892.2		231.0	5.1	3.444	154.44								
T	40.908340000	-98.395546000	1896.2		225.2	3.0	3.469	132.15								
T	40.907996000	-98.396052000	1889.6		228.0	-3.5	3.505	187.81								
T	40.907677000	-98.396447000	1891.4		223.1	1.1	3.535	159.47								
T	40.907048000	-98.397089000	1887.4		217.6	-1.4	3.590	289.85								
T	40.906469000	-98.397548000	1890.3		210.9	1.2	3.637	246.17								
T	40.905886000	-98.397950000	1885.5		207.5	-2.0	3.682	239.72								
T	40.905452000	-98.398228000	1880.4		205.8	-2.9	3.715	175.81								
T	40.904488000	-98.398630000	1893.0		197.5	3.4	3.785	368.39								
T	40.903661000	-98.398928000	1880.5		195.2	-4.0	3.844	312.37								
T	40.903061000	-98.399208000	1887.3		199.4	2.9	3.888	231.90								
T	40.902447000	-98.399596000	1890.1		205.5	1.1	3.935	248.09								
T	40.901794000	-98.400082000	1891.3		209.4	0.4	3.987	273.23								
T	40.900840000	-98.401017000	1885.5		216.5	-1.3	4.069	433.16								
T	40.900461000	-98.401476000	1891.9		222.5	3.5	4.105	187.53								
T	40.900171000	-98.401863000	1892.1		225.2	0.1	4.133	150.37								
T	40.899811000	-98.402448000	1895.9		230.8	1.8	4.172	208.23								
T	40.899501000	-98.402988000	1890.9		232.8	-2.7	4.208	187.20								
T	40.898872000	-98.404299000	1891.3		237.6	0.1	4.289	428.81								
T	40.895239000	-98.412306000	1905.3		239.0	0.5	4.778	2579.20								
T	40.893981000	-98.415052000	1901.4		238.8	-0.4	4.946	886.82								
T	40.893262000	-98.416565000	1900.1		237.8	-0.3	5.039	493.57								
T	40.892500000	-98.418312000	1899.9		240.0	-0.0	5.145	557.12								
T	40.889480000	-98.424891000	1903.3		238.7	0.2	5.547	2125.92								
T	40.887957000	-98.428276000	1894.7		239.2	-0.8	5.753	1088.07								
T	40.887432000	-98.429380000	1902.9		237.8	2.3	5.822	360.24								
T	40.884955000	-98.434797000	1906.5		238.8	0.2	6.153	1748.72								
T	40.884522000	-98.435777000	1905.7		239.7	-0.3	6.212	313.56								
T	40.874210000	-98.458369000	1912.4		238.9	0.1	7.593	7290.22								
T	40.871425000	-98.464471000	1926.6		238.9	0.7	7.966	1969.16								
