Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1255.89792,0.0623512759098471,0,41.828102,-103.707082,4120.4,6.24322023949284,0,0
9.656064,1256.41608,0.0509558518771075,10.061448,41.828152,-103.707183,4122.1,5.1,0.006,33.01
62.764416,1255.98936,-0.00799982933988663,51.925728,41.828408,-103.707706,4120.7,-0.8,0.039,170.36
67.592448,1255.98936,0,6.196584,41.828439,-103.707768,4120.7,0,0.042,20.33
78.857856,1255.83696,-0.0139990854408831,11.000232,41.828493,-103.707879,4120.2,-1.4,0.049,36.09
86.904576,1255.65408,-0.0269934418682879,7.415784,41.828458,-103.707955,4119.6,-2.7,0.054,24.33
90.123264,1255.53216,-0.0339869077462549,3.67284,41.828436,-103.707988,4119.2,-3.4,0.056,12.05
91.732608,1255.44072,-0.0379817251640402,2.237232,41.828421,-103.708006,4118.9,-3.8,0.057,7.34
99.779328,1255.13592,-0.0429735270295798,7.156704,41.828368,-103.708055,4117.9,-4.3,0.062,23.48
102.998016,1255.13592,0.00699988567002795,3.21564,41.828342,-103.708072,4117.9,0.7,0.064,10.55
107.826048,1255.41024,0.0499583957219428,5.004816,41.828301,-103.708097,4118.8,5,0.067,16.42
115.872768,1255.83696,0.048960840065008,8.71728,41.828227,-103.708132,4120.2,4.9,0.072,28.6
125.528832,1256.26368,0.0539476036421626,8.217408,41.828166,-103.708188,4121.6,5.4,0.078,26.96
130.356864,1256.50752,0.0439716382710356,5.355336,41.828126,-103.708224,4122.4,4.4,0.081,17.57
138.403584,1256.81232,0.0349857188285258,8.680704,41.828061,-103.708282,4123.4,3.5,0.086,28.48
231.745536,1259.46408,0.0279926861068139,93.262704,41.8285,-103.709239,4132.1,2.8,0.144,305.98
366.930432,1264.37136,0.0359844600820516,134.468616,41.829134,-103.710618,4148.2,3.6,0.228,441.17
574.535808,1273.63728,0.0449696618523276,208.43748,41.830115,-103.712757,4178.6,4.5,0.357,683.85
701.673984,1273.02768,-0.00499995833395832,126.802896,41.830717,-103.714054,4176.6,-0.5,0.436,416.02
719.376768,1272.93624,-0.00499995833395832,18.236184,41.830803,-103.714241,4176.3,-0.5,0.447,59.83
864.217728,1272.47904,-0.0029999910000486,143.960088,41.831481,-103.715718,4174.8,-0.3,0.537,472.31
944.684928,1265.86488,-0.0818169486036546,80.57388,41.831872,-103.716535,4153.1,-8.2,0.587,264.35
1012.277376,1263.88368,-0.0289918744331005,67.409568,41.832223,-103.717197,4146.6,-2.9,0.629,221.16
1068.604416,1266.32208,0.0429735270295798,57.274968,41.832533,-103.717748,4154.6,4.3,0.664,187.91
1134.58752,1268.85192,0.0379817251640402,65.05956,41.832905,-103.718353,4162.9,3.8,0.705,213.45
1174.82112,1269.52248,0.0169983626172461,40.925496,41.833144,-103.718728,4165.1,1.7,0.73,134.27
1211.836032,1267.54128,-0.055941571233561,36.066984,41.833361,-103.719051,4158.6,-5.6,0.753,118.33
1252.069632,1263.76176,-0.0917417475792442,41.023032,41.833617,-103.719407,4146.2,-9.2,0.778,134.59
1338.974208,1255.83696,-0.0907500503958844,86.895432,41.834181,-103.720132,4120.2,-9.1,0.832,285.09
1524.048768,1246.0224,-0.0529504578049819,184.35828,41.835382,-103.721664,4088,-5.3,0.947,604.85
1707.513984,1237.70136,-0.0449696618523276,183.233568,41.836579,-103.723182,4060.7,-4.5,1.061,601.16
1796.027904,1232.33688,-0.0599281551212079,89.882472,41.837158,-103.723938,4043.1,-6,1.116,294.89
1947.30624,1227.582,-0.0309900753885694,151.250904,41.838144,-103.725194,4027.5,-3.1,1.21,496.23
1984.321152,1226.17992,-0.0369831295219108,37.106352,41.838386,-103.725502,4022.9,-3.7,1.233,121.74
2066.397696,1228.31352,0.0259941437084617,81.662016,41.838909,-103.726193,4029.9,2.6,1.284,267.92
2158.130304,1230.0204,0.0189977141617588,92.150184,41.839499,-103.726973,4035.5,1.9,1.341,302.33
2262.737664,1233.8304,0.0369831295219108,103.500936,41.840179,-103.727825,4048,3.7,1.406,339.57
2333.5488,1230.4776,-0.0469654381300841,71.347584,41.840648,-103.728412,4037,-4.7,1.45,234.08
2438.15616,1232.33688,0.0179980563778262,104.619552,41.841339,-103.729268,4043.1,1.8,1.515,343.24
2515.404672,1233.76944,0.0189977141617588,76.739496,41.841843,-103.7299,4047.8,1.9,1.563,251.77
2517.014016,1233.79992,0.0199973339731505,1.880616,41.841855,-103.729916,4047.9,2,1.564,6.17
2555.638272,1233.34272,-0.0119994240497613,38.645592,41.842104,-103.730241,4046.4,-1.2,1.588,126.79
2634.496128,1231.57488,-0.0229959456201157,79.214472,41.842621,-103.730898,4040.6,-2.3,1.637,259.89
2764.852992,1229.106,-0.0189977141617588,129.43332,41.843464,-103.731974,4032.5,-1.9,1.718,424.65
2798.649216,1229.13648,0.000999999666666867,33.701736,41.84368,-103.732259,4032.6,0.1,1.739,110.57
2845.320192,1230.3252,0.0259941437084617,46.972728,41.843987,-103.732648,4036.5,2.6,1.768,154.11
2898.428544,1228.70976,-0.0299910048568779,53.882544,41.84434,-103.733093,4031.2,-3,1.801,176.78
2924.178048,1228.00872,-0.0279926861068139,24.70404,41.844506,-103.733291,4028.9,-2.8,1.817,81.05
2982.114432,1227.4296,-0.00999966668666524,57.783984,41.844879,-103.733776,4027,-1,1.853,189.58
3003.035904,1227.18576,-0.0109995563655408,21.665184,41.845025,-103.733949,4026.2,-1.1,1.866,71.08
3025.56672,1227.30768,0.00499995833395832,21.902928,41.845177,-103.734117,4026.6,0.5,1.88,71.86
3046.488192,1226.82,-0.0229959456201157,21.470112,41.84533,-103.734275,4025,-2.3,1.893,70.44
3075.456384,1226.02752,-0.0259941437084617,29.556456,41.845547,-103.734481,4022.4,-2.6,1.911,96.97
3109.252608,1225.1436,-0.0279926861068139,32.701992,41.845797,-103.734689,4019.5,-2.8,1.932,107.29
3136.611456,1223.65008,-0.0519532065609139,28.501848,41.846022,-103.734854,4014.6,-5.2,1.949,93.51
3163.970304,1222.12608,-0.057935093623417,26.063448,41.846232,-103.734994,4009.6,-5.8,1.966,85.51
3188.110464,1221.39456,-0.0299910048568779,24.143208,41.846431,-103.735111,4007.2,-3,1.981,79.21
3220.297344,1221.91272,0.0159986348763435,33.750504,41.846716,-103.735252,4008.9,1.6,2.001,110.73
3247.656192,1222.248,0.0119994240497613,26.630376,41.846945,-103.735347,4010,1.2,2.018,87.37
3271.796352,1223.22336,0.0409770494767878,24.015192,41.847153,-103.735426,4013.2,4.1,2.033,78.79
3292.717824,1223.1624,-0.00399997866687146,20.814792,41.847336,-103.73548,4013,-0.4,2.046,68.29
3320.076672,1222.4004,-0.0269934418682879,28.084272,41.847584,-103.735546,4010.5,-2.7,2.063,92.14
3350.654208,1220.90688,-0.048960840065008,30.056328,41.847852,-103.735596,4005.6,-4.9,2.082,98.61
3374.794368,1220.44968,-0.0189977141617588,24.310848,41.84807,-103.735622,4004.1,-1.9,2.097,79.76
3435.94944,1218.98664,-0.0239953935918699,60.234576,41.848612,-103.735647,3999.3,-2.4,2.135,197.62
3522.854016,1216.914,-0.0239953935918699,87.8586,41.849403,-103.735651,3992.5,-2.4,2.189,288.25
3608.149248,1214.35368,-0.0299910048568779,85.859112,41.850176,-103.735658,3984.1,-3,2.242,281.69
3706.319232,1215.11568,0.00799982933988663,97.304352,41.851052,-103.735672,3986.6,0.8,2.303,319.24
3717.58464,1214.7804,-0.0309900753885694,10.664952,41.851148,-103.735674,3985.5,-3.1,2.31,34.99
4037.844096,1208.59296,-0.0189977141617588,321.01536,41.854038,-103.735718,3965.2,-1.9,2.509,1053.2
4123.139328,1209.99504,0.0169983626172461,84.859368,41.854802,-103.735724,3969.8,1.7,2.562,278.41
4210.043904,1211.51904,0.0169983626172461,87.75192,41.855592,-103.735736,3974.8,1.7,2.616,287.9
4470.757632,1206.76416,-0.0179980563778262,260.36016,41.857936,-103.735766,3959.2,-1.8,2.778,854.2
4519.037952,1205.75832,-0.0199973339731505,48.761904,41.858375,-103.73577,3955.9,-2,2.808,159.98
4644.566784,1203.16752,-0.020996913816563,124.40412,41.859495,-103.735783,3947.4,-2.1,2.886,408.15
4728.252672,1202.07024,-0.0129992677409163,84.758784,41.860258,-103.735801,3943.8,-1.3,2.938,278.08
4815.157248,1199.9976,-0.0239953935918699,85.746336,41.86103,-103.735805,3937,-2.4,2.992,281.32
5072.652288,1199.93664,-0,257.805936,41.863351,-103.735835,3936.8,-0,3.152,845.82
5157.94752,1199.87568,-0.000999999666666867,86.081616,41.864126,-103.735838,3936.6,-0.1,3.205,282.42
5211.055872,1200.4548,0.0109995563655408,52.6542,41.8646,-103.735847,3938.5,1.1,3.238,172.75
5273.820288,1197.80304,-0.0429735270295798,62.22492,41.86516,-103.735868,3929.8,-4.3,3.277,204.15
