Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1621.96272,0.00607116571066692,0,42.86721,-106.337497,5321.4,0.607124030423978,0,0
37.014912,1622.23704,0.00699988567002795,37.590984,42.867545,-106.337432,5322.3,0.7,0.023,123.33
78.857856,1622.54184,0.00799982933988663,40.474392,42.867587,-106.337924,5323.3,0.8,0.049,132.79
201.168,1616.964,-0.0449696618523276,122.934984,42.86775,-106.339412,5305,-4.5,0.125,403.33
222.089472,1617.75648,0.0379817251640402,20.826984,42.867564,-106.339444,5307.6,3.8,0.138,68.33
373.367808,1614.58656,-0.020996913816563,151.695912,42.866209,-106.339674,5297.2,-2.1,0.232,497.69
426.47616,1615.01328,0.00799982933988663,52.513992,42.865737,-106.339709,5298.6,0.8,0.265,172.29
473.147136,1613.27592,-0.0359844600820516,47.359824,42.865318,-106.339602,5292.9,-3.6,0.294,155.38
527.864832,1607.14944,-0.112522685925375,54.409848,42.864852,-106.339397,5272.8,-11.3,0.328,178.51
577.754496,1600.10856,-0.142037051803305,49.401984,42.864472,-106.339083,5249.7,-14.3,0.359,162.08
640.518912,1593.15912,-0.109559526773944,63.133224,42.864062,-106.338548,5226.9,-11,0.398,207.13
687.189888,1591.2084,-0.0419753301053573,46.26864,42.863832,-106.338076,5220.5,-4.2,0.427,151.8
716.15808,1590.7512,-0.0149988751518506,30.20568,42.863714,-106.337743,5219,-1.5,0.445,99.1
751.563648,1589.74536,-0.0289918744331005,34.405824,42.863622,-106.337341,5215.7,-2.9,0.467,112.88
814.328064,1582.46064,-0.113509967439995,63.822072,42.86351,-106.336575,5191.8,-11.4,0.506,209.39
869.04576,1575.29784,-0.133206496834929,53.70576,42.863481,-106.335919,5168.3,-13.4,0.54,176.2
965.6064,1575.99888,0.00699988567002795,97.347024,42.863497,-106.334728,5170.6,0.7,0.6,319.38
984.918528,1576.1208,0.00599992800155516,19.129248,42.863493,-106.334494,5171,0.6,0.612,62.76
1029.98016,1573.0728,-0.066900014828884,45.531024,42.863483,-106.333937,5161,-6.7,0.64,149.38
1070.21376,1571.15256,-0.048960840065008,38.779704,42.863389,-106.33348,5154.7,-4.9,0.665,127.23
