type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.867210000	-106.337497000	5321.4				0.000		#f57c00	1.00	2.55			DL. Casper Loop		Optional Loops
T	42.867545000	-106.337432000	5322.3		8.1	0.7	0.023	123.33								
T	42.867587000	-106.337924000	5323.3		276.6	0.8	0.049	132.79								
T	42.867750000	-106.339412000	5305.0		278.5	-4.5	0.125	403.33								
T	42.867564000	-106.339444000	5307.6		187.2	3.8	0.138	68.33								
T	42.866209000	-106.339674000	5297.2		187.1	-2.1	0.232	497.69								
T	42.865737000	-106.339709000	5298.6		183.1	0.8	0.265	172.29								
T	42.865318000	-106.339602000	5292.9		169.4	-3.6	0.294	155.38								
T	42.864852000	-106.339397000	5272.8		162.1	-11.3	0.328	178.51								
T	42.864472000	-106.339083000	5249.7		148.8	-14.3	0.359	162.08								
T	42.864062000	-106.338548000	5226.9		136.3	-11.0	0.398	207.13								
T	42.863832000	-106.338076000	5220.5		123.6	-4.2	0.427	151.80								
T	42.863714000	-106.337743000	5219.0		115.8	-1.5	0.445	99.10								
T	42.863622000	-106.337341000	5215.7		107.3	-2.9	0.467	112.88								
T	42.863510000	-106.336575000	5191.8		101.3	-11.4	0.506	209.39								
T	42.863481000	-106.335919000	5168.3		93.5	-13.4	0.540	176.20								
T	42.863497000	-106.334728000	5170.6		88.9	0.7	0.600	319.38								
T	42.863493000	-106.334494000	5171.0		91.3	0.6	0.612	62.76								
T	42.863483000	-106.333937000	5161.0		91.4	-6.7	0.640	149.38								
T	42.863389000	-106.333480000	5154.7		105.7	-4.9	0.665	127.23								
T	42.863190000	-106.333105000	5173.6		125.9	15.2	0.688	123.97								
T	42.862948000	-106.332842000	5174.1		141.5	0.4	0.709	112.92								
T	42.862678000	-106.332690000	5160.4		157.6	-12.9	0.730	106.51								
T	42.862427000	-106.332631000	5151.4		170.2	-9.6	0.747	92.84								
T	42.861729000	-106.332635000	5116.9		180.2	-13.6	0.795	254.40								
T	42.859594000	-106.332664000	5116.0		180.6	-0.1	0.943	778.18								
T	42.859447000	-106.332655000	5113.4		177.4	-4.8	0.953	53.63								
T	42.859253000	-106.332674000	5111.3		184.1	-2.9	0.966	70.89								
T	42.859044000	-106.332735000	5111.3		192.1	-0.1	0.981	77.91								
T	42.858839000	-106.332842000	5112.8		200.9	1.9	0.996	80.04								
T	42.858494000	-106.333050000	5114.8		203.8	1.5	1.022	137.56								
T	42.858494000	-106.333051000	5114.8		270.0	0.0	1.022	0.27								
T	42.858410000	-106.333101000	5115.0		203.6	0.4	1.029	33.42								
T	42.858173000	-106.333256000	5114.3		205.6	-0.7	1.047	95.86								
T	42.857220000	-106.333950000	5121.4		208.1	1.8	1.121	394.05								
T	42.856970000	-106.334127000	5126.9		207.4	5.4	1.141	102.74								
T	42.856666000	-106.334272000	5129.2		199.3	1.9	1.163	117.42								
T	42.856453000	-106.334373000	5127.2		199.2	-2.4	1.179	82.22								
T	42.856253000	-106.334448000	5121.6		195.4	-7.5	1.193	75.62								
T	42.856101000	-106.334519000	5116.6		198.9	-8.6	1.204	58.58								
T	42.855932000	-106.334616000	5117.6		202.8	1.5	1.217	66.86								
T	42.855801000	-106.334726000	5118.2		211.6	1.1	1.227	56.12								
T	42.855686000	-106.334866000	5120.6		221.7	4.3	1.238	56.27								
T	42.855579000	-106.335030000	5122.0		228.3	2.4	1.249	58.78								
T	42.855438000	-106.335300000	5123.3		234.5	1.5	1.266	88.78								
T	42.854629000	-106.337044000	5136.2		237.7	2.3	1.371	552.85								
T	42.854474000	-106.337257000	5137.1		225.2	1.1	1.386	80.34								
T	42.854319000	-106.337398000	5133.9		213.7	-4.7	1.399	67.98								
T	42.854151000	-106.337489000	5127.3		201.7	-9.9	1.411	65.91								
T	42.853955000	-106.337550000	5122.6		192.9	-6.4	1.425	73.28								
T	42.853756000	-106.337558000	5122.6		181.7	-0.1	1.439	72.56								
T	42.852711000	-106.337406000	5115.6		173.9	-1.8	1.512	383.04								
T	42.852287000	-106.337370000	5118.1		176.4	1.6	1.541	154.84								
T	42.851882000	-106.337306000	5122.9		173.4	3.2	1.569	148.60								
T	42.851326000	-106.337218000	5123.9		173.4	0.5	1.608	204.01								
T	42.848640000	-106.336778000	5127.2		173.2	0.3	1.794	986.05								
T	42.848254000	-106.336769000	5131.0		179.0	2.7	1.821	140.71								
T	42.848125000	-106.336766000	5132.5		179.0	3.3	1.830	47.02								
T	42.847588000	-106.336785000	5120.5		181.5	-6.1	1.867	195.79								
T	42.846926000	-106.336843000	5101.7		183.7	-7.8	1.913	241.78								
T	42.846650000	-106.336844000	5102.0		180.2	0.3	1.932	100.59								
T	42.846110000	-106.336830000	5118.1		178.9	8.2	1.969	196.85								
T	42.845631000	-106.336856000	5121.5		182.3	2.0	2.002	174.72								
T	42.845197000	-106.336879000	5127.1		182.2	3.5	2.032	158.30								
