type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	41.828102000	-103.707082000	4120.4				0.000		#0288d1	1.00	1.2			D. Gering to Casper		Main Route
T	41.828152000	-103.707183000	4122.1		303.6	5.1	0.006	33.01								
T	41.828408000	-103.707706000	4120.7		303.3	-0.8	0.039	170.36								
T	41.828439000	-103.707768000	4120.7		303.9	0.0	0.042	20.33								
T	41.828493000	-103.707879000	4120.2		303.1	-1.4	0.049	36.09								
T	41.828458000	-103.707955000	4119.6		238.3	-2.7	0.054	24.33								
T	41.828436000	-103.707988000	4119.2		228.2	-3.4	0.056	12.05								
T	41.828421000	-103.708006000	4118.9		221.8	-3.8	0.057	7.34								
T	41.828368000	-103.708055000	4117.9		214.6	-4.3	0.062	23.48								
T	41.828342000	-103.708072000	4117.9		206.0	0.7	0.064	10.55								
T	41.828301000	-103.708097000	4118.8		204.4	5.0	0.067	16.42								
T	41.828227000	-103.708132000	4120.2		199.4	4.9	0.072	28.60								
T	41.828166000	-103.708188000	4121.6		214.4	5.4	0.078	26.96								
T	41.828126000	-103.708224000	4122.4		213.8	4.4	0.081	17.57								
T	41.828061000	-103.708282000	4123.4		213.6	3.5	0.086	28.48								
T	41.828500000	-103.709239000	4132.1		301.6	2.8	0.144	305.98								
T	41.829134000	-103.710618000	4148.2		301.7	3.6	0.228	441.17								
T	41.830115000	-103.712757000	4178.6		301.6	4.5	0.357	683.85								
T	41.830717000	-103.714054000	4176.6		301.9	-0.5	0.436	416.02								
T	41.830803000	-103.714241000	4176.3		301.7	-0.5	0.447	59.83								
T	41.831481000	-103.715718000	4174.8		301.6	-0.3	0.537	472.31								
T	41.831872000	-103.716535000	4153.1		302.7	-8.2	0.587	264.35								
T	41.832223000	-103.717197000	4146.6		305.4	-2.9	0.629	221.16								
T	41.832533000	-103.717748000	4154.6		307.1	4.3	0.664	187.91								
T	41.832905000	-103.718353000	4162.9		309.5	3.8	0.705	213.45								
T	41.833144000	-103.718728000	4165.1		310.5	1.7	0.730	134.27								
T	41.833361000	-103.719051000	4158.6		312.0	-5.6	0.753	118.33								
T	41.833617000	-103.719407000	4146.2		314.0	-9.2	0.778	134.59								
T	41.834181000	-103.720132000	4120.2		316.2	-9.1	0.832	285.09								
