Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1621.96272,0.00607116571066692,0,42.86721,-106.337497,5321.4,0.607124030423978,0,0
37.014912,1622.23704,0.00699988567002795,37.590984,42.867545,-106.337432,5322.3,0.7,0.023,123.33
78.857856,1622.54184,0.00799982933988663,40.474392,42.867587,-106.337924,5323.3,0.8,0.049,132.79
186.683904,1616.29344,-0.0569383890598442,108.639864,42.867731,-106.339239,5302.8,-5.7,0.116,356.43
201.168,1616.964,0.0469654381300841,14.292072,42.86775,-106.339412,5305,4.7,0.125,46.89
302.556672,1614.92184,-0.0199973339731505,102.141528,42.868661,-106.339243,5298.3,-2,0.188,335.11
366.930432,1612.97112,-0.0299910048568779,64.059816,42.869234,-106.339155,5291.9,-3,0.228,210.17
370.14912,1612.97112,0.000999999666666867,3.358896,42.869264,-106.33915,5291.9,0.1,0.23,11.02
378.19584,1613.0016,0.00499995833395832,7.156704,42.869328,-106.33914,5292,0.5,0.235,23.48
465.100416,1616.99448,0.0459675957971045,87.532464,42.869172,-106.34019,5305.1,4.6,0.289,287.18
534.302208,1614.28176,-0.0389802450252585,69.131688,42.869016,-106.341009,5296.2,-3.9,0.332,226.81
592.238592,1612.14816,-0.0369831295219108,57.686448,42.868848,-106.341677,5289.2,-3.7,0.368,189.26
627.64416,1613.3064,0.0319890840393151,36.37788,42.868717,-106.342085,5293,3.2,0.39,119.35
677.533824,1618.42704,0.102638058788916,49.566576,42.8685,-106.342615,5309.8,10.3,0.421,162.62
746.735616,1616.6592,-0.0259941437084617,69.171312,42.868235,-106.343381,5304,-2.6,0.464,226.94
780.53184,1616.23248,-0.0129992677409163,32.656272,42.8681,-106.343736,5302.6,-1.3,0.485,107.14
798.234624,1616.17152,-0.00399997866687146,17.858232,42.868026,-106.34393,5302.4,-0.4,0.496,58.59
801.453312,1616.3544,0.0439716382710356,4.184904,42.868008,-106.343975,5303,4.4,0.498,13.73
894.795264,1620.89592,0.048960840065008,93.232224,42.867587,-106.344962,5317.9,4.9,0.556,305.88
962.387712,1618.54896,-0.0349857188285258,67.229736,42.86728,-106.345671,5310.2,-3.5,0.598,220.57
