type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.841582000	-108.745865000	5356.2				0.000		#f57c00	1.00	2.55			EL. Lander Loop		Optional Loops
T	42.841637000	-108.745707000	5357.7		64.6	3.2	0.009	46.88								
T	42.841901000	-108.745868000	5354.3		335.9	-3.2	0.029	105.46								
T	42.841938000	-108.745893000	5354.3		333.6	0.0	0.032	15.06								
T	42.842950000	-108.746580000	5358.9		333.5	1.1	0.110	412.30								
T	42.844027000	-108.747311000	5355.4		333.5	-0.8	0.193	438.77								
T	42.847699000	-108.749802000	5349.6		333.6	-0.4	0.476	1495.80								
T	42.848800000	-108.750528000	5354.3		334.2	1.1	0.561	446.02								
T	42.849700000	-108.751122000	5361.3		334.2	1.9	0.630	364.65								
T	42.850547000	-108.751856000	5377.4		327.6	4.4	0.699	366.12								
T	42.850989000	-108.752306000	5374.9		323.3	-1.3	0.737	201.28								
T	42.851660000	-108.753128000	5383.8		318.1	2.7	0.800	329.24								
T	42.852256000	-108.754090000	5387.9		310.2	1.2	0.863	337.25								
T	42.852668000	-108.754866000	5394.7		305.9	2.6	0.912	256.62								
T	42.853376000	-108.756561000	5400.5		299.7	1.1	1.011	522.67								
T	42.854178000	-108.758396000	5419.2		300.8	3.3	1.119	572.34								
T	42.854870000	-108.760069000	5429.6		299.4	2.0	1.217	514.66								
T	42.855146000	-108.760697000	5439.7		300.9	5.2	1.254	196.16								
T	42.856882000	-108.764788000	5468.2		300.1	2.2	1.494	1266.38								
T	42.859154000	-108.770096000	5525.5		300.3	3.5	1.806	1646.64								
T	42.859608000	-108.771060000	5547.0		302.7	7.0	1.864	306.91								
T	42.860006000	-108.771759000	5564.3		307.8	7.3	1.909	237.00								
T	42.860592000	-108.772595000	5571.7		313.7	2.4	1.967	309.61								
T	42.861161000	-108.773254000	5587.3		319.7	5.7	2.019	272.45								
T	42.861818000	-108.773897000	5602.2		324.3	5.0	2.075	295.06								
T	42.862293000	-108.774307000	5604.1		327.7	0.9	2.114	205.08								
T	42.864066000	-108.775836000	5575.3		327.7	-3.8	2.259	765.27								
T	42.866043000	-108.777578000	5538.9		327.1	-4.2	2.421	858.68								
T	42.866455000	-108.777921000	5520.8		328.6	-10.3	2.455	176.08								
T	42.867249000	-108.778570000	5534.5		329.1	4.0	2.519	337.67								
T	42.868079000	-108.779197000	5525.2		331.0	-2.7	2.584	346.08								
T	42.869469000	-108.780132000	5526.4		333.8	0.2	2.691	565.23								
T	42.873498000	-108.782677000	5524.2		335.2	-0.1	2.998	1619.20								
T	42.874983000	-108.783592000	5540.5		335.7	2.7	3.110	594.22								
T	42.875771000	-108.784093000	5536.6		335.0	-1.2	3.170	317.05								
T	42.876480000	-108.784543000	5535.7		335.1	-0.3	3.224	285.18								
T	42.878373000	-108.785715000	5508.5		335.6	-3.6	3.368	758.10								
T	42.880955000	-108.787341000	5503.8		335.2	-0.5	3.564	1037.09								
T	42.882498000	-108.788300000	5511.8		335.5	1.3	3.682	618.34								
T	42.882915000	-108.788571000	5509.9		334.5	-1.1	3.713	168.45								
T	42.884780000	-108.789738000	5521.0		335.4	1.5	3.855	748.25								
T	42.885399000	-108.790142000	5523.8		334.4	1.1	3.903	250.25								
T	42.888143000	-108.791834000	5554.1		335.7	2.8	4.111	1098.11								
T	42.888379000	-108.791992000	5557.3		333.9	3.3	4.129	95.87								
T	42.890112000	-108.793053000	5572.2		335.8	2.2	4.260	692.68								
T	42.891957000	-108.794216000	5589.8		335.2	2.4	4.400	741.17								
T	42.892236000	-108.794369000	5587.1		338.1	-2.5	4.421	109.64								
T	42.892973000	-108.794695000	5586.0		342.0	-0.4	4.475	282.46								
T	42.893580000	-108.794848000	5595.0		349.5	4.0	4.517	225.00								
T	42.894155000	-108.794903000	5596.9		356.0	0.9	4.557	210.09								
T	42.896080000	-108.794907000	5603.6		359.9	0.9	4.690	701.61								
T	42.896295000	-108.794909000	5605.8		359.6	2.9	4.705	78.36								
T	42.897464000	-108.794907000	5599.9		0.1	-1.4	4.785	426.07								
T	42.899209000	-108.794896000	5604.0		0.3	0.6	4.906	636.01								
T	42.899387000	-108.794898000	5605.3		359.5	2.1	4.918	64.88								
T	42.899555000	-108.794900000	5607.6		359.5	3.6	4.930	61.23								
T	42.900790000	-108.794902000	5607.1		359.9	-0.1	5.015	450.12								
T	42.901910000	-108.794896000	5608.3		0.2	0.3	5.092	408.21								
T	42.903326000	-108.794901000	5603.7		359.9	-0.9	5.190	516.09								
T	42.906181000	-108.794898000	5604.2		0.0	0.1	5.387	1040.57								
T	42.908599000	-108.794887000	5584.5		0.2	-2.2	5.554	881.30								
T	42.910259000	-108.794888000	5585.9		360.0	0.2	5.669	605.02								
