type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.867210000	-106.337497000	5321.4				0.000		#0288d1	1.00	1.2			E. Casper to Lander		Main Route
T	42.867545000	-106.337432000	5322.3		8.1	0.7	0.023	123.33								
T	42.867587000	-106.337924000	5323.3		276.6	0.8	0.049	132.79								
T	42.867731000	-106.339239000	5302.8		278.5	-5.7	0.116	356.43								
T	42.867750000	-106.339412000	5305.0		278.5	4.7	0.125	46.89								
T	42.868661000	-106.339243000	5298.3		7.7	-2.0	0.188	335.11								
T	42.869234000	-106.339155000	5291.9		6.4	-3.0	0.228	210.17								
T	42.869264000	-106.339150000	5291.9		7.0	0.1	0.230	11.02								
T	42.869328000	-106.339140000	5292.0		6.5	0.5	0.235	23.48								
T	42.869172000	-106.340190000	5305.1		258.5	4.6	0.289	287.18								
T	42.869016000	-106.341009000	5296.2		255.4	-3.9	0.332	226.81								
T	42.868848000	-106.341677000	5289.2		251.1	-3.7	0.368	189.26								
T	42.868717000	-106.342085000	5293.0		246.3	3.2	0.390	119.35								
T	42.868500000	-106.342615000	5309.8		240.8	10.3	0.421	162.62								
T	42.868235000	-106.343381000	5304.0		244.7	-2.6	0.464	226.94								
T	42.868100000	-106.343736000	5302.6		242.6	-1.3	0.485	107.14								
T	42.868026000	-106.343930000	5302.4		242.5	-0.4	0.496	58.59								
T	42.868008000	-106.343975000	5303.0		241.4	4.4	0.498	13.73								
T	42.867587000	-106.344962000	5317.9		239.8	4.9	0.556	305.88								
T	42.867280000	-106.345671000	5310.2		239.4	-3.5	0.598	220.57								
T	42.867131000	-106.346033000	5303.9		240.7	-5.7	0.619	111.21								
T	42.866992000	-106.346390000	5299.1		242.0	-4.4	0.640	108.29								
T	42.866923000	-106.346596000	5296.3		245.4	-4.6	0.651	60.68								
T	42.866809000	-106.346948000	5298.6		246.2	2.2	0.671	103.11								
T	42.866697000	-106.347307000	5300.4		246.9	1.7	0.690	104.55								
T	42.866626000	-106.347570000	5302.7		249.8	3.0	0.705	75.11								
T	42.866542000	-106.347899000	5304.5		250.8	1.9	0.722	93.37								
T	42.866464000	-106.348233000	5303.7		252.3	-0.8	0.740	93.95								
T	42.866426000	-106.348454000	5303.6		256.8	-0.1	0.752	60.85								
T	42.866230000	-106.349985000	5294.9		260.1	-2.1	0.831	416.63								
T	42.865979000	-106.352080000	5298.6		260.7	0.6	0.938	569.08								
T	42.865736000	-106.353920000	5302.5		259.8	0.8	1.033	501.20								
T	42.865637000	-106.354670000	5303.7		259.8	0.6	1.072	204.29								
T	42.865160000	-106.358232000	5309.8		259.6	0.6	1.256	970.69								
T	42.864689000	-106.361864000	5288.4		260.0	-2.2	1.443	988.78								
T	42.864171000	-106.365912000	5311.6		260.1	2.1	1.652	1101.61								
T	42.863967000	-106.367433000	5302.5		259.6	-2.2	1.730	414.52								
T	42.862893000	-106.375467000	5261.8		259.7	-1.9	2.145	2189.31								
