Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1632.56976,0.0345123952522588,0,42.841584,-108.745861,5356.2,3.45261044176707,0,0
14.484096,1633.02696,0.0329880288209954,13.89888,42.841637,-108.745707,5357.7,3.3,0.009,45.6
69.201792,1634.52048,0.0269934418682879,54.644544,42.841188,-108.745434,5362.6,2.7,0.043,179.28
140.012928,1634.06328,-0.00699988567002795,70.866,42.840579,-108.745176,5361.1,-0.7,0.087,232.5
152.88768,1634.3376,0.0219964516970369,13.493496,42.84046,-108.745143,5362,2.2,0.095,44.27
214.042752,1635.28248,0.0149988751518506,60.728352,42.839924,-108.744997,5365.1,1.5,0.133,199.24
222.089472,1635.43488,0.0219964516970369,7.821168,42.839855,-108.744978,5365.6,2.2,0.138,25.66
247.838976,1636.04448,0.0229959456201157,27.163776,42.839612,-108.744941,5367.6,2.3,0.154,89.12
275.197824,1636.9284,0.0319890840393151,27.054048,42.83937,-108.744904,5370.5,3.2,0.171,88.76
317.040768,1638.20856,0.0319890840393151,40.88892,42.839002,-108.744895,5374.7,3.2,0.197,134.15
333.134208,1638.72672,0.0309900753885694,16.785336,42.838851,-108.744888,5376.4,3.1,0.207,55.07
368.539776,1639.39728,0.0189977141617588,34.677096,42.838539,-108.744875,5378.6,1.9,0.229,113.77
397.507968,1639.12296,-0.00999966668666524,28.888944,42.838279,-108.744882,5377.7,-1,0.247,94.78
457.053696,1639.54968,0.00699988567002795,60.322968,42.837736,-108.744877,5379.1,0.7,0.284,197.91
523.0368,1638.6048,-0.0139990854408831,65.544192,42.837146,-108.744872,5376,-1.4,0.325,215.04
566.489088,1639.00104,0.00899975701180912,43.336464,42.836756,-108.74486,5377.3,0.9,0.352,142.18
579.36384,1639.00104,0,13.7922,42.836633,-108.744837,5377.3,0,0.36,45.25
605.113344,1639.00104,0,25.57272,42.836405,-108.744794,5377.3,0,0.376,83.9
635.69088,1639.85448,0.0269934418682879,30.900624,42.836153,-108.744634,5380.1,2.7,0.395,101.38
669.487104,1639.54968,-0.00899975701180912,32.961072,42.835966,-108.744321,5379.1,-0.9,0.416,108.14
695.236608,1638.51336,-0.03997868712329,26.176224,42.835871,-108.744028,5375.7,-4,0.432,85.88
751.563648,1638.94008,0.00799982933988663,56.564784,42.835723,-108.743366,5377.1,0.8,0.467,185.58
925.3728,1637.9952,-0.00499995833395832,172.690536,42.835291,-108.741337,5374,-0.5,0.575,566.57
975.262464,1636.22736,-0.0349857188285258,51.121056,42.835164,-108.740736,5368.2,-3.5,0.606,167.72
1036.417536,1634.0328,-0.0359844600820516,61.00572,42.835012,-108.740019,5361,-3.6,0.644,200.15
1089.525888,1635.19104,0.020996913816563,53.349144,42.834879,-108.739392,5364.8,2.1,0.677,175.03
1095.963264,1635.46536,0.0419753301053573,6.46176,42.834863,-108.739316,5365.7,4.2,0.681,21.2
1268.163072,1637.05032,0.00899975701180912,171.608496,42.834433,-108.7373,5370.9,0.9,0.788,563.02
1440.36288,1636.41024,-0.00399997866687146,172.27296,42.834007,-108.735274,5368.8,-0.4,0.895,565.2
1450.018944,1636.34928,-0.00899975701180912,8.848344,42.833985,-108.73517,5368.6,-0.9,0.901,29.03
1459.675008,1636.25784,-0.00899975701180912,10.433304,42.83396,-108.735047,5368.3,-0.9,0.907,34.23
1509.564672,1635.06912,-0.0239953935918699,48.993552,42.833841,-108.73447,5364.4,-2.4,0.938,160.74
1614.172032,1636.34928,0.0119994240497613,104.735376,42.833588,-108.733236,5368.6,1.2,1.003,343.62
1622.218752,1635.77016,-0.063912832788734,9.192768,42.833565,-108.733128,5366.7,-6.4,1.008,30.16
1776.715776,1637.8428,0.0129992677409163,154.530552,42.833177,-108.731313,5373.5,1.3,1.104,506.99
1786.37184,1637.56848,-0.0299910048568779,8.878824,42.833154,-108.731209,5372.6,-3,1.11,29.13
1958.571648,1635.0996,-0.0139990854408831,173.077632,42.832746,-108.729166,5364.5,-1.4,1.217,567.84
2109.849984,1630.71048,-0.0289918744331005,149.891496,42.832337,-108.727419,5350.1,-2.9,1.311,491.77
2127.552768,1630.00944,-0.0389802450252585,18.102072,42.83229,-108.727207,5347.8,-3.9,1.322,59.39
2166.177024,1630.68,0.0179980563778262,38.910768,42.832209,-108.726744,5350,1.8,1.346,127.66
2169.395712,1630.80192,0.0309900753885694,3.608832,42.832199,-108.726702,5350.4,3.1,1.348,11.84
2230.550784,1634.27664,0.0569383890598442,60.725304,42.832046,-108.725989,5361.8,5.7,1.386,199.23
2256.300288,1634.45952,0.00699988567002795,25.478232,42.83197,-108.725695,5362.4,0.7,1.402,83.59
2302.971264,1634.9472,0.00999966668666524,46.856904,42.831772,-108.725189,5364,1,1.431,153.73
2344.814208,1638.78768,0.0917417475792442,41.809416,42.831579,-108.72475,5376.6,9.2,1.457,137.17
2370.563712,1641.31752,0.0986784557655752,25.462992,42.831461,-108.724483,5384.9,9.9,1.473,83.54
2417.234688,1642.75008,0.0299910048568779,47.679864,42.831148,-108.724084,5389.6,3,1.502,156.43
2430.10944,1642.59768,-0.0109995563655408,12.655296,42.831065,-108.723978,5389.1,-1.1,1.51,41.52
2504.139264,1645.55424,0.03997868712329,73.566528,42.830611,-108.723323,5398.8,4,1.556,241.36
2562.075648,1647.47448,0.0329880288209954,58.250328,42.830188,-108.722902,5405.1,3.3,1.592,191.11
2758.415616,1646.46864,-0.00499995833395832,195.812664,42.82884,-108.721359,5401.8,-0.5,1.714,642.43
2867.851008,1650.30912,0.0349857188285258,110.148624,42.828088,-108.720481,5414.4,3.5,1.782,361.38
2996.598528,1656.7404,0.0499583957219428,128.82372,42.82718,-108.719501,5435.5,5,1.862,422.65
3064.190976,1658.08152,0.0199973339731505,66.909696,42.826676,-108.719053,5439.9,2,1.904,219.52
3094.768512,1660.5504,0.0818169486036546,30.23616,42.826425,-108.71891,5448,8.2,1.923,99.2
3104.424576,1661.40384,0.0798299857122373,10.832592,42.826335,-108.718859,5450.8,8,1.929,35.54
3278.233728,1666.15872,0.0279926861068139,172.681392,42.82487,-108.718153,5466.4,2.8,2.037,566.54
3318.467328,1667.34744,0.0289918744331005,40.053768,42.824523,-108.71802,5470.3,2.9,2.062,131.41
3347.43552,1669.20672,0.0619207400583113,30.086808,42.824258,-108.717944,5476.4,6.2,2.08,98.71
3443.99616,1671.5232,0.0239953935918699,95.44812,42.823417,-108.717705,5484,2.4,2.14,313.15
3500.3232,1669.57248,-0.0339869077462549,57.512712,42.822926,-108.717482,5477.6,-3.4,2.175,188.69
3616.195968,1666.58544,-0.0259941437084617,115.098576,42.821986,-108.71689,5467.8,-2.6,2.247,377.62
3633.898752,1667.89608,0.070881055884974,18.620232,42.821844,-108.716769,5472.1,7.1,2.258,61.09
3669.30432,1668.90192,0.0289918744331005,35.564064,42.821567,-108.716551,5475.4,2.9,2.28,116.68
3714.365952,1667.49984,-0.0319890840393151,44.101512,42.821253,-108.716221,5470.8,-3.2,2.308,144.69
3757.81824,1666.09776,-0.0329880288209954,43.656504,42.820939,-108.7159,5466.2,-3.3,2.335,143.23
3764.255616,1666.00632,-0.0109995563655408,7.083552,42.820888,-108.715848,5465.9,-1.1,2.339,23.24
3780.349056,1665.48816,-0.0359844600820516,14.9352,42.820778,-108.715743,5464.2,-3.6,2.349,49
3796.442496,1664.57376,-0.0529504578049819,16.831056,42.820663,-108.715609,5461.2,-5.3,2.359,55.22
3810.926592,1663.81176,-0.0529504578049819,14.243304,42.820563,-108.7155,5458.7,-5.3,2.368,46.73
4034.625408,1652.35128,-0.0509558518771075,223.58604,42.819067,-108.713671,5421.1,-5.1,2.507,733.55
4063.5936,1651.04064,-0.0439716382710356,29.431488,42.818862,-108.713443,5416.8,-4.4,2.525,96.56
4150.498176,1644.76176,-0.0718759695563349,87.184992,42.818265,-108.712751,5396.2,-7.2,2.579,286.04
4253.496192,1643.1768,-0.0149988751518506,101.979984,42.817594,-108.7119,5391,-1.5,2.643,334.58
4306.604544,1642.32336,-0.0159986348763435,54.0258,42.817218,-108.711481,5388.2,-1.6,2.676,177.25
4343.619456,1641.25656,-0.0299910048568779,36.323016,42.816966,-108.711198,5384.7,-3,2.699,119.17
4370.978304,1640.7384,-0.0189977141617588,26.916888,42.816773,-108.710999,5383,-1.9,2.716,88.31
4523.865984,1645.0056,0.0279926861068139,152.832816,42.815757,-108.709739,5397,2.8,2.811,501.42
4651.00416,1642.84152,-0.0169983626172461,128.302512,42.814877,-108.708723,5389.9,-1.7,2.89,420.94
4937.467392,1641.56136,-0.00499995833395832,285.469584,42.812946,-108.70642,5385.7,-0.5,3.068,936.58
5100.011136,1639.33632,-0.0139990854408831,162.787584,42.811846,-108.705105,5378.4,-1.4,3.169,534.08
5130.588672,1642.01856,0.084796174523203,31.48584,42.811628,-108.704859,5387.2,8.5,3.188,103.3
5246.46144,1637.8428,-0.0359844600820516,114.577368,42.810847,-108.703944,5373.5,-3.6,3.26,375.91
5277.038976,1640.03736,0.070881055884974,30.882336,42.81063,-108.703708,5380.7,7.1,3.279,101.32
5359.11552,1639.88496,-0.00199999733333973,82.70748,42.810097,-108.703002,5380.2,-0.2,3.33,271.35
5627.875968,1634.15472,-0.020996913816563,267.940536,42.808283,-108.700843,5361.4,-2.1,3.497,879.07
5745.35808,1634.24616,0.000999999666666867,118.317264,42.807476,-108.699899,5361.7,0.1,3.57,388.18
5766.279552,1633.81944,-0.020996913816563,20.263104,42.807338,-108.699737,5360.3,-2.1,3.583,66.48
5932.041984,1633.60608,-0.000999999666666867,166.853616,42.806264,-108.698311,5359.6,-0.1,3.686,547.42
5943.307392,1632.75264,-0.0877738923272204,9.72312,42.806206,-108.698222,5356.8,-8.8,3.693,31.9
6007.681152,1630.00944,-0.0429735270295798,64.51092,42.805824,-108.697628,5347.8,-4.3,3.733,211.65
6121.944576,1631.8992,0.0159986348763435,115.50396,42.805186,-108.696513,5354,1.6,3.804,378.95
6149.303424,1631.2896,-0.0229959456201157,27.118056,42.805053,-108.696235,5352,-2.3,3.821,88.97
6189.537024,1628.48544,-0.0698860016346425,39.651432,42.804842,-108.695844,5342.8,-7,3.846,130.09
6213.677184,1626.35184,-0.0897581741899505,23.612856,42.804725,-108.695603,5335.8,-9,3.861,77.47
6295.753728,1625.58984,-0.00899975701180912,83.11896,42.804315,-108.694753,5333.3,-0.9,3.912,272.7
6466.344192,1629.55224,0.0229959456201157,169.901616,42.803449,-108.693041,5346.3,2.3,4.018,557.42
6601.529088,1630.74096,0.00899975701180912,135.008112,42.802821,-108.691628,5350.2,0.9,4.102,442.94
6673.949568,1625.86416,-0.0659044176898375,73.615296,42.802457,-108.690876,5334.2,-6.6,4.147,241.52
6747.979392,1625.31552,-0.00799982933988663,72.978264,42.802119,-108.690111,5332.4,-0.8,4.193,239.43
6942.710016,1624.03536,-0.00599992800155516,195.568824,42.801159,-108.688107,5328.2,-0.6,4.314,641.63
7203.423744,1632.29544,0.0319890840393151,260.479032,42.799869,-108.685448,5355.3,3.2,4.476,854.59
7316.077824,1635.19104,0.0249947936189202,113.053368,42.79928,-108.684321,5364.8,2.5,4.546,370.91
7464.137472,1637.87328,0.0179980563778262,146.752056,42.798416,-108.682964,5373.6,1.8,4.638,481.47
7607.369088,1640.06784,0.0149988751518506,144.633696,42.797511,-108.681693,5380.8,1.5,4.727,474.52
7637.946624,1638.1476,-0.063912832788734,29.955744,42.7973,-108.681465,5374.5,-6.4,4.746,98.28
7802.099712,1632.87456,-0.0319890840393151,163.99764,42.796132,-108.680239,5357.2,-3.2,4.848,538.05
8045.110656,1624.24872,-0.0359844600820516,242.730528,42.794349,-108.678524,5328.9,-3.6,4.999,796.36
8289.730944,1626.74808,0.00999966668666524,244.254528,42.792556,-108.676796,5337.1,1,5.151,801.36
8476.414848,1627.4796,0.00399997866687146,188.162184,42.791201,-108.675416,5339.5,0.4,5.267,617.33
9189.35424,1647.7488,0.0279926861068139,711.421488,42.785936,-108.670466,5406,2.8,5.71,2334.06
9232.806528,1647.5964,-0.00399997866687146,43.750992,42.785611,-108.670164,5405.5,-0.4,5.737,143.54
9302.00832,1647.10872,-0.00699988567002795,69.451728,42.785118,-108.669642,5403.9,-0.7,5.78,227.86
9496.738944,1635.31296,-0.060924508138259,195.090288,42.783688,-108.668258,5365.2,-6.1,5.901,640.06
9802.514304,1632.84408,-0.00799982933988663,305.635152,42.781455,-108.666076,5357.1,-0.8,6.091,1002.74
10108.289664,1640.34216,0.0249947936189202,305.019456,42.779222,-108.663907,5381.7,2.5,6.281,1000.72
10360.956672,1651.19304,0.0429735270295798,252.825504,42.777367,-108.662117,5417.3,4.3,6.438,829.48
10531.547136,1665.00048,0.0808235471053552,170.752008,42.776119,-108.660899,5462.6,8.1,6.544,560.21
