Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1827.91608,-0.0278385312066375,0,42.322978,-111.297547,5997.1,-2.78457249070632,0,0
20.921472,1827.36744,-0.0259941437084617,21.186648,42.322975,-111.297804,5995.3,-2.6,0.013,69.51
90.123264,1825.99584,-0.0199973339731505,68.872608,42.323595,-111.297812,5990.8,-2,0.056,225.96
149.668992,1822.27728,-0.0619207400583113,59.762136,42.324133,-111.297818,5978.6,-6.2,0.093,196.07
157.715712,1822.64304,0.0449696618523276,7.552944,42.324201,-111.297819,5979.8,4.5,0.098,24.78
199.558656,1823.13072,0.0119994240497613,42.455592,42.324206,-111.297304,5981.4,1.2,0.124,139.29
268.760448,1825.26432,0.0309900753885694,68.16852,42.324205,-111.296477,5988.4,3.1,0.167,223.65
310.603392,1826.94072,0.0389802450252585,43.193208,42.324202,-111.295953,5993.9,3.9,0.193,141.71
394.28928,1827.00168,0.000999999666666867,83.49996,42.324204,-111.29494,5994.1,0.1,0.245,273.95
405.554688,1827.00168,0,11.29284,42.324204,-111.294803,5994.1,0,0.252,37.05
534.302208,1829.47056,0.0189977141617588,128.073912,42.323051,-111.2948,6002.2,1.9,0.332,420.19
589.019904,1830.41544,0.0169983626172461,54.20868,42.322563,-111.294805,6005.3,1.7,0.366,177.85
632.472192,1828.6476,-0.03997868712329,44.558712,42.322162,-111.294819,5999.5,-4,0.393,146.19
646.956288,1827.91608,-0.0529504578049819,13.780008,42.322038,-111.294824,5997.1,-5.3,0.402,45.21
712.939392,1829.01336,0.0169983626172461,65.69964,42.32204,-111.294027,6000.7,1.7,0.443,215.55
751.563648,1829.53152,0.0129992677409163,38.593776,42.32205,-111.293559,6002.4,1.3,0.467,126.62
775.703808,1830.324,0.0339869077462549,24.076152,42.322055,-111.293267,6005,3.4,0.482,78.99
793.406592,1830.96408,0.0359844600820516,17.986248,42.322078,-111.293051,6007.1,3.6,0.493,59.01
828.81216,1832.54904,0.0429735270295798,36.511992,42.322136,-111.292615,6012.3,4.3,0.515,119.79
856.171008,1832.97576,0.0149988751518506,27.221688,42.322187,-111.292292,6013.7,1.5,0.532,89.31
883.529856,1833.92064,0.0349857188285258,27.502104,42.322243,-111.291967,6016.8,3.5,0.549,90.23
1029.98016,1836.99912,0.020996913816563,145.48104,42.322642,-111.290286,6026.9,2.1,0.64,477.3
1086.3072,1836.02376,-0.0169983626172461,56.689752,42.322788,-111.289627,6023.7,-1.7,0.675,185.99
1089.525888,1836.02376,0.0029999910000486,3.602736,42.322797,-111.289585,6023.7,0.3,0.677,11.82
1104.009984,1835.99328,-0.0029999910000486,13.783056,42.322833,-111.289425,6023.6,-0.3,0.686,45.22
1113.666048,1835.99328,0,10.494264,42.32286,-111.289303,6023.6,0,0.692,34.43
1149.071616,1836.35904,0.0109995563655408,35.00628,42.32295,-111.288896,6024.8,1.1,0.714,114.85
1181.258496,1837.24296,0.0279926861068139,31.671768,42.323032,-111.288528,6027.7,2.8,0.734,103.91
1231.14816,1840.50432,0.0659044176898375,49.673256,42.323161,-111.287951,6038.4,6.6,0.765,162.97
1263.33504,1842.6684,0.066900014828884,32.336232,42.323244,-111.287575,6045.5,6.7,0.785,106.09
1268.163072,1843.15608,0.0838032642313107,5.611368,42.323259,-111.28751,6047.1,8.4,0.788,18.41
1295.52192,1844.16192,0.0379817251640402,26.999184,42.323333,-111.287198,6050.4,3.8,0.805,88.58
1324.490112,1847.5452,0.113509967439995,29.589984,42.323404,-111.286852,6061.5,11.4,0.823,97.08
1422.660096,1847.63664,0.000999999666666867,98.066352,42.323659,-111.285713,6061.8,0.1,0.884,321.74
1456.45632,1849.80072,0.0649086896934335,33.143952,42.32374,-111.285326,6068.9,6.5,0.905,108.74
1498.299264,1851.53808,0.0419753301053573,41.23944,42.323834,-111.284842,6074.6,4.2,0.931,135.3
1543.360896,1850.16648,-0.0299910048568779,45.677328,42.323916,-111.284299,6070.1,-3,0.959,149.86
1572.329088,1852.5744,0.082810188285538,28.995624,42.323954,-111.283951,6078,8.3,0.977,95.13
1593.25056,1854.22032,0.0788362663477801,20.668488,42.323976,-111.283702,6083.4,7.9,0.99,67.81
1617.39072,1854.61656,0.0149988751518506,24.981408,42.32398,-111.283399,6084.7,1.5,1.005,81.96
1643.140224,1853.73264,-0.0339869077462549,25.901904,42.323971,-111.283085,6081.8,-3.4,1.021,84.98
1678.545792,1850.92848,-0.0788362663477801,35.47872,42.323945,-111.282656,6072.6,-7.9,1.043,116.4
1704.295296,1849.95312,-0.0389802450252585,24.8412,42.323903,-111.28236,6069.4,-3.9,1.059,81.5
1713.95136,1849.8312,-0.0129992677409163,9.180576,42.323886,-111.282251,6069,-1.3,1.065,30.12
1749.356928,1850.47128,0.0169983626172461,36.033456,42.32382,-111.281823,6071.1,1.7,1.087,118.22
1796.027904,1850.04456,-0.00899975701180912,46.957488,42.323665,-111.281293,6069.7,-0.9,1.116,154.06
1831.433472,1849.95312,-0.0029999910000486,35.085528,42.323553,-111.280895,6069.4,-0.3,1.138,115.11
1871.667072,1852.23912,0.0569383890598442,40.178736,42.323414,-111.280445,6076.9,5.7,1.163,131.82
2035.82016,1851.44664,-0.00499995833395832,164.524944,42.322806,-111.278625,6074.3,-0.5,1.265,539.78
2077.663104,1850.41032,-0.0249947936189202,41.10228,42.322665,-111.278164,6070.9,-2.5,1.291,134.85
2201.582592,1846.26504,-0.0339869077462549,123.986544,42.322182,-111.276808,6057.3,-3.4,1.368,406.78
2315.846016,1850.19696,0.0349857188285258,113.9952,42.321764,-111.275545,6070.2,3.5,1.439,374
2386.657152,1852.02576,0.0259941437084617,71.106792,42.321534,-111.27474,6076.2,2.6,1.483,233.29
2431.718784,1853.58024,0.0349857188285258,45.366432,42.321424,-111.27421,6081.3,3.5,1.511,148.84
2459.077632,1852.17816,-0.0499583957219428,27.93492,42.321406,-111.273872,6076.7,-5,1.528,91.65
2496.092544,1850.01408,-0.0599281551212079,36.237672,42.321389,-111.273433,6069.6,-6,1.551,118.89
2576.559744,1850.86752,0.0109995563655408,80.235552,42.32137,-111.27246,6072.4,1.1,1.601,263.24
2690.823168,1851.87336,0.00899975701180912,114.760248,42.321354,-111.271068,6075.7,0.9,1.672,376.51
2848.53888,1853.91552,0.0129992677409163,157.036008,42.321363,-111.269163,6082.4,1.3,1.77,515.21
2996.598528,1857.02448,0.020996913816563,149.1234,42.321318,-111.267355,6092.6,2.1,1.862,489.25
3083.503104,1858.2132,0.0139990854408831,87.285576,42.321286,-111.266297,6096.5,1.4,1.916,286.37
3091.549824,1858.518,0.0389802450252585,7.342632,42.321283,-111.266208,6097.5,3.9,1.921,24.09
3181.673088,1860.3468,0.0199973339731505,90.69324,42.321245,-111.265109,6103.5,2,1.977,297.55
3242.82816,1863.36432,0.0499583957219428,60.402216,42.321198,-111.264379,6113.4,5,2.015,198.17
3307.20192,1865.28456,0.0299910048568779,63.892176,42.321126,-111.26361,6119.7,3,2.055,209.62
3418.246656,1865.74176,0.00399997866687146,111.184944,42.321012,-111.26227,6121.2,0.4,2.124,364.78
3506.760576,1864.85784,-0.00999966668666524,89.745312,42.32091,-111.26119,6118.3,-1,2.179,294.44
3666.085632,1867.63152,0.0179980563778262,158.172912,42.320722,-111.259288,6127.4,1.8,2.278,518.94
3722.412672,1869.27744,0.0279926861068139,57.335928,42.320663,-111.258597,6132.8,2.8,2.313,188.11
3756.208896,1867.47912,-0.0539476036421626,33.262824,42.320637,-111.258195,6126.9,-5.4,2.334,109.13
3770.692992,1867.38768,-0.00799982933988663,13.941552,42.320632,-111.258026,6126.6,-0.8,2.343,45.74
3796.442496,1869.21648,0.0718759695563349,25.392888,42.320635,-111.257718,6132.6,7.2,2.359,83.31
3825.410688,1871.19768,0.066900014828884,29.59608,42.320655,-111.25736,6139.1,6.7,2.377,97.1
3930.018048,1870.64904,-0.00499995833395832,104.936544,42.320773,-111.256097,6137.3,-0.5,2.442,344.28
3986.345088,1870.74048,0.000999999666666867,55.729632,42.32084,-111.255427,6137.6,0.1,2.477,182.84
4145.670144,1871.44152,0.00399997866687146,160.053528,42.321004,-111.253498,6139.9,0.4,2.576,525.11
4166.591616,1871.53296,0.00499995833395832,20.973288,42.32103,-111.253246,6140.2,0.5,2.589,68.81
4193.950464,1872.32544,0.0289918744331005,27.806904,42.32107,-111.252913,6142.8,2.9,2.606,91.23
4210.043904,1872.93504,0.0379817251640402,15.685008,42.321106,-111.252729,6144.8,3.8,2.616,51.46
4224.528,1873.84944,0.0629168489263286,14.453616,42.32115,-111.252564,6147.8,6.3,2.625,47.42
4247.058816,1876.3488,0.116470471472619,21.543264,42.321225,-111.252323,6156,11.7,2.639,70.68
4279.245696,1880.616,0.130258258895824,32.503872,42.321364,-111.251976,6170,13.1,2.659,106.64
4424.086656,1878.36048,-0.0159986348763435,145.767552,42.322053,-111.250471,6162.6,-1.6,2.749,478.24
5034.028032,1885.30992,0.0109995563655408,608.838,42.324937,-111.24419,6185.4,1.1,3.128,1997.5
5095.183104,1885.61472,0.00499995833395832,61.868304,42.325228,-111.24355,6186.4,0.5,3.166,202.98
5138.635392,1885.73664,0.0029999910000486,43.290744,42.325459,-111.243127,6186.8,0.3,3.193,142.03
5161.166208,1885.98048,0.0119994240497613,22.122384,42.325583,-111.242917,6187.6,1.2,3.207,72.58
5222.32128,1887.74832,0.0289918744331005,61.139832,42.325949,-111.242363,6193.4,2.9,3.245,200.59
5265.773568,1888.63224,0.0199973339731505,43.437048,42.326212,-111.241973,6196.3,2,3.272,142.51
5314.053888,1890.91824,0.0469654381300841,49.081944,42.32654,-111.241574,6203.8,4.7,3.302,161.03
5343.02208,1893.75288,0.0986784557655752,28.541472,42.326742,-111.24136,6213.1,9.9,3.32,93.64
5429.926656,1896.7704,0.0349857188285258,86.825328,42.327387,-111.240765,6223,3.5,3.374,284.86
5468.550912,1893.99672,-0.0728707407092984,38.093904,42.327689,-111.240546,6213.9,-7.3,3.398,124.98
5537.752704,1896.19128,0.0319890840393151,69.38772,42.328222,-111.240107,6221.1,3.2,3.441,227.65
5563.502208,1893.8748,-0.0857889172453911,26.7462,42.328415,-111.239913,6213.5,-8.6,3.457,87.75
5590.861056,1891.8936,-0.0718759695563349,27.505152,42.328605,-111.239699,6207,-7.2,3.474,90.24
5613.391872,1893.8748,0.0907500503958844,21.841968,42.328752,-111.239523,6213.5,9.1,3.488,71.66
5629.485312,1894.24056,0.0229959456201157,15.456408,42.328853,-111.239394,6214.7,2.3,3.498,50.71
5695.468416,1895.79504,0.0239953935918699,65.937384,42.329293,-111.238857,6219.8,2.4,3.539,216.33
5709.952512,1896.09984,0.020996913816563,14.410944,42.329392,-111.238744,6220.8,2.1,3.548,47.28
5753.4048,1898.47728,0.0549446421065614,43.424856,42.329649,-111.238347,6228.6,5.5,3.575,142.47
5766.279552,1898.142,-0.0249947936189202,13.325856,42.329715,-111.238212,6227.5,-2.5,3.583,43.72
5782.372992,1897.8372,-0.0199973339731505,15.934944,42.329786,-111.238044,6226.5,-2,3.593,52.28
5809.73184,1901.19,0.121400065939628,27.459432,42.329898,-111.237747,6237.5,12.2,3.61,90.09
5833.872,1903.90272,0.108571375038731,24.847296,42.329988,-111.237471,6246.4,10.9,3.625,81.52
