type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.322978000	-111.297547000	5997.1				0.000		#f57c00	1.00	2.55			FL. Montpelier Loop		Optional Loops
T	42.322975000	-111.297804000	5995.3		269.1	-2.6	0.013	69.51								
T	42.323595000	-111.297812000	5990.8		359.5	-2.0	0.056	225.96								
T	42.324133000	-111.297818000	5978.6		359.5	-6.2	0.093	196.07								
T	42.324201000	-111.297819000	5979.8		359.4	4.5	0.098	24.78								
T	42.324206000	-111.297304000	5981.4		89.2	1.2	0.124	139.29								
T	42.324205000	-111.296477000	5988.4		90.1	3.1	0.167	223.65								
T	42.324202000	-111.295953000	5993.9		90.4	3.9	0.193	141.71								
T	42.324204000	-111.294940000	5994.1		89.8	0.1	0.245	273.95								
T	42.324204000	-111.294803000	5994.1		90.0	0.0	0.252	37.05								
T	42.323051000	-111.294800000	6002.2		179.9	1.9	0.332	420.19								
T	42.322563000	-111.294805000	6005.3		180.4	1.7	0.366	177.85								
T	42.322162000	-111.294819000	5999.5		181.5	-4.0	0.393	146.19								
T	42.322038000	-111.294824000	5997.1		181.7	-5.3	0.402	45.21								
T	42.322040000	-111.294027000	6000.7		89.8	1.7	0.443	215.55								
T	42.322050000	-111.293559000	6002.4		88.3	1.3	0.467	126.62								
T	42.322055000	-111.293267000	6005.0		88.7	3.4	0.482	78.99								
T	42.322078000	-111.293051000	6007.1		81.8	3.6	0.493	59.01								
T	42.322136000	-111.292615000	6012.3		79.8	4.3	0.515	119.79								
T	42.322187000	-111.292292000	6013.7		77.9	1.5	0.532	89.31								
T	42.322243000	-111.291967000	6016.8		76.9	3.5	0.549	90.23								
T	42.322642000	-111.290286000	6026.9		72.2	2.1	0.640	477.30								
T	42.322788000	-111.289627000	6023.7		73.3	-1.7	0.675	185.99								
T	42.322797000	-111.289585000	6023.7		73.8	0.3	0.677	11.82								
T	42.322833000	-111.289425000	6023.6		73.1	-0.3	0.686	45.22								
T	42.322860000	-111.289303000	6023.6		73.3	0.0	0.692	34.43								
T	42.322950000	-111.288896000	6024.8		73.3	1.1	0.714	114.85								
T	42.323032000	-111.288528000	6027.7		73.2	2.8	0.734	103.91								
T	42.323161000	-111.287951000	6038.4		73.2	6.6	0.765	162.97								
T	42.323244000	-111.287575000	6045.5		73.4	6.7	0.785	106.09								
T	42.323259000	-111.287510000	6047.1		72.7	8.4	0.788	18.41								
T	42.323333000	-111.287198000	6050.4		72.2	3.8	0.805	88.58								
T	42.323404000	-111.286852000	6061.5		74.5	11.4	0.823	97.08								
T	42.323659000	-111.285713000	6061.8		73.2	0.1	0.884	321.74								
T	42.323740000	-111.285326000	6068.9		74.2	6.5	0.905	108.74								
T	42.323834000	-111.284842000	6074.6		75.3	4.2	0.931	135.30								
T	42.323916000	-111.284299000	6070.1		78.5	-3.0	0.959	149.86								
T	42.323954000	-111.283951000	6078.0		81.6	8.3	0.977	95.13								
T	42.323976000	-111.283702000	6083.4		83.2	7.9	0.990	67.81								
T	42.323980000	-111.283399000	6084.7		89.0	1.5	1.005	81.96								
T	42.323971000	-111.283085000	6081.8		92.2	-3.4	1.021	84.98								
T	42.323945000	-111.282656000	6072.6		94.7	-7.9	1.043	116.40								
T	42.323903000	-111.282360000	6069.4		100.9	-3.9	1.059	81.50								
T	42.323886000	-111.282251000	6069.0		101.9	-1.3	1.065	30.12								
T	42.323820000	-111.281823000	6071.1		101.8	1.7	1.087	118.22								
T	42.323665000	-111.281293000	6069.7		111.6	-0.9	1.116	154.06								
T	42.323553000	-111.280895000	6069.4		110.8	-0.3	1.138	115.11								
