type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.841584000	-108.745861000	5356.2				0.000		#0288d1	1.00	1.2			F. Lander to Montpelier		Main Route
T	42.841637000	-108.745707000	5357.7		64.9	3.3	0.009	45.60								
T	42.841188000	-108.745434000	5362.6		156.0	2.7	0.043	179.28								
T	42.840579000	-108.745176000	5361.1		162.7	-0.7	0.087	232.50								
T	42.840460000	-108.745143000	5362.0		168.5	2.2	0.095	44.27								
T	42.839924000	-108.744997000	5365.1		168.7	1.5	0.133	199.24								
T	42.839855000	-108.744978000	5365.6		168.6	2.2	0.138	25.66								
T	42.839612000	-108.744941000	5367.6		173.6	2.3	0.154	89.12								
T	42.839370000	-108.744904000	5370.5		173.6	3.2	0.171	88.76								
T	42.839002000	-108.744895000	5374.7		179.0	3.2	0.197	134.15								
T	42.838851000	-108.744888000	5376.4		178.1	3.1	0.207	55.07								
T	42.838539000	-108.744875000	5378.6		178.2	1.9	0.229	113.77								
T	42.838279000	-108.744882000	5377.7		181.1	-1.0	0.247	94.78								
T	42.837736000	-108.744877000	5379.1		179.6	0.7	0.284	197.91								
T	42.837146000	-108.744872000	5376.0		179.6	-1.4	0.325	215.04								
T	42.836756000	-108.744860000	5377.3		178.7	0.9	0.352	142.18								
T	42.836633000	-108.744837000	5377.3		172.2	0.0	0.360	45.25								
T	42.836405000	-108.744794000	5377.3		172.1	0.0	0.376	83.90								
T	42.836153000	-108.744634000	5380.1		155.0	2.7	0.395	101.38								
T	42.835966000	-108.744321000	5379.1		129.2	-0.9	0.416	108.14								
T	42.835871000	-108.744028000	5375.7		113.9	-4.0	0.432	85.88								
T	42.835723000	-108.743366000	5377.1		107.0	0.8	0.467	185.58								
T	42.835291000	-108.741337000	5374.0		106.2	-0.5	0.575	566.57								
T	42.835164000	-108.740736000	5368.2		106.1	-3.5	0.606	167.72								
T	42.835012000	-108.740019000	5361.0		106.1	-3.6	0.644	200.15								
T	42.834879000	-108.739392000	5364.8		106.1	2.1	0.677	175.03								
T	42.834863000	-108.739316000	5365.7		106.0	4.2	0.681	21.20								
T	42.834433000	-108.737300000	5370.9		106.2	0.9	0.788	563.02								
T	42.834007000	-108.735274000	5368.8		106.0	-0.4	0.895	565.20								
T	42.833985000	-108.735170000	5368.6		106.1	-0.9	0.901	29.03								
T	42.833960000	-108.735047000	5368.3		105.5	-0.9	0.907	34.23								
T	42.833841000	-108.734470000	5364.4		105.7	-2.4	0.938	160.74								
T	42.833588000	-108.733236000	5368.6		105.6	1.2	1.003	343.62								
T	42.833565000	-108.733128000	5366.7		106.2	-6.4	1.008	30.16								
T	42.833177000	-108.731313000	5373.5		106.3	1.3	1.104	506.99								
T	42.833154000	-108.731209000	5372.6		106.8	-3.0	1.110	29.13								
T	42.832746000	-108.729166000	5364.5		105.2	-1.4	1.217	567.84								
T	42.832337000	-108.727419000	5350.1		107.7	-2.9	1.311	491.77								
T	42.832290000	-108.727207000	5347.8		106.8	-3.9	1.322	59.39								
T	42.832209000	-108.726744000	5350.0		103.4	1.8	1.346	127.66								
T	42.832199000	-108.726702000	5350.4		108.0	3.1	1.348	11.84								
T	42.832046000	-108.725989000	5361.8		106.3	5.7	1.386	199.23								
T	42.831970000	-108.725695000	5362.4		109.4	0.7	1.402	83.59								
T	42.831772000	-108.725189000	5364.0		118.1	1.0	1.431	153.73								
T	42.831579000	-108.724750000	5376.6		120.9	9.2	1.457	137.17								
T	42.831461000	-108.724483000	5384.9		121.1	9.9	1.473	83.54								
T	42.831148000	-108.724084000	5389.6		136.9	3.0	1.502	156.43								
T	42.831065000	-108.723978000	5389.1		136.9	-1.1	1.510	41.52								
T	42.830611000	-108.723323000	5398.8		133.4	4.0	1.556	241.36								
T	42.830188000	-108.722902000	5405.1		143.9	3.3	1.592	191.11								
T	42.828840000	-108.721359000	5401.8		140.0	-0.5	1.714	642.43								
T	42.828088000	-108.720481000	5414.4		139.4	3.5	1.782	361.38								
T	42.827180000	-108.719501000	5435.5		141.6	5.0	1.862	422.65								
T	42.826676000	-108.719053000	5439.9		146.9	2.0	1.904	219.52								
T	42.826425000	-108.718910000	5448.0		157.3	8.2	1.923	99.20								
T	42.826335000	-108.718859000	5450.8		157.4	8.0	1.929	35.54								
T	42.824870000	-108.718153000	5466.4		160.5	2.8	2.037	566.54								
T	42.824523000	-108.718020000	5470.3		164.3	2.9	2.062	131.41								
T	42.824258000	-108.717944000	5476.4		168.1	6.2	2.080	98.71								
T	42.823417000	-108.717705000	5484.0		168.2	2.4	2.140	313.15								
T	42.822926000	-108.717482000	5477.6		161.6	-3.4	2.175	188.69								
T	42.821986000	-108.716890000	5467.8		155.2	-2.6	2.247	377.62								
T	42.821844000	-108.716769000	5472.1		148.0	7.1	2.258	61.09								
T	42.821567000	-108.716551000	5475.4		150.0	2.9	2.280	116.68								
T	42.821253000	-108.716221000	5470.8		142.4	-3.2	2.308	144.69								
T	42.820939000	-108.715900000	5466.2		143.1	-3.3	2.335	143.23								
T	42.820888000	-108.715848000	5465.9		143.2	-1.1	2.339	23.24								
T	42.820778000	-108.715743000	5464.2		145.0	-3.6	2.349	49.00								
T	42.820663000	-108.715609000	5461.2		139.5	-5.3	2.359	55.22								
T	42.820563000	-108.715500000	5458.7		141.4	-5.3	2.368	46.73								
T	42.819067000	-108.713671000	5421.1		138.1	-5.1	2.507	733.55								
T	42.818862000	-108.713443000	5416.8		140.8	-4.4	2.525	96.56								
T	42.818265000	-108.712751000	5396.2		139.6	-7.2	2.579	286.04								
T	42.817594000	-108.711900000	5391.0		137.1	-1.5	2.643	334.58								
T	42.817218000	-108.711481000	5388.2		140.7	-1.6	2.676	177.25								
T	42.816966000	-108.711198000	5384.7		140.5	-3.0	2.699	119.17								
T	42.816773000	-108.710999000	5383.0		142.9	-1.9	2.716	88.31								
T	42.815757000	-108.709739000	5397.0		137.7	2.8	2.811	501.42								
T	42.814877000	-108.708723000	5389.9		139.7	-1.7	2.890	420.94								
T	42.812946000	-108.706420000	5385.7		138.8	-0.5	3.068	936.58								
T	42.811846000	-108.705105000	5378.4		138.7	-1.4	3.169	534.08								
T	42.811628000	-108.704859000	5387.2		140.4	8.5	3.188	103.30								
T	42.810847000	-108.703944000	5373.5		139.3	-3.6	3.260	375.91								
T	42.810630000	-108.703708000	5380.7		141.4	7.1	3.279	101.32								
T	42.810097000	-108.703002000	5380.2		135.8	-0.2	3.330	271.35								
T	42.808283000	-108.700843000	5361.4		138.9	-2.1	3.497	879.07								
T	42.807476000	-108.699899000	5361.7		139.4	0.1	3.570	388.18								
T	42.807338000	-108.699737000	5360.3		139.3	-2.1	3.583	66.48								
T	42.806264000	-108.698311000	5359.6		135.8	-0.1	3.686	547.42								
T	42.806206000	-108.698222000	5356.8		131.6	-8.8	3.693	31.90								
T	42.805824000	-108.697628000	5347.8		131.2	-4.3	3.733	211.65								
T	42.805186000	-108.696513000	5354.0		128.0	1.6	3.804	378.95								
T	42.805053000	-108.696235000	5352.0		123.1	-2.3	3.821	88.97								
T	42.804842000	-108.695844000	5342.8		126.3	-7.0	3.846	130.09								
T	42.804725000	-108.695603000	5335.8		123.5	-9.0	3.861	77.47								
T	42.804315000	-108.694753000	5333.3		123.3	-0.9	3.912	272.70								
T	42.803449000	-108.693041000	5346.3		124.6	2.3	4.018	557.42								
T	42.802821000	-108.691628000	5350.2		121.2	0.9	4.102	442.94								
T	42.802457000	-108.690876000	5334.2		123.4	-6.6	4.147	241.52								
T	42.802119000	-108.690111000	5332.4		121.1	-0.8	4.193	239.43								
T	42.801159000	-108.688107000	5328.2		123.1	-0.6	4.314	641.63								
T	42.799869000	-108.685448000	5355.3		123.5	3.2	4.476	854.59								
T	42.799280000	-108.684321000	5364.8		125.5	2.5	4.546	370.91								
T	42.798416000	-108.682964000	5373.6		130.9	1.8	4.638	481.47								
T	42.797511000	-108.681693000	5380.8		134.1	1.5	4.727	474.52								
T	42.797300000	-108.681465000	5374.5		141.6	-6.4	4.746	98.28								
T	42.796132000	-108.680239000	5357.2		142.4	-3.2	4.848	538.05								
T	42.794349000	-108.678524000	5328.9		144.8	-3.6	4.999	796.36								
T	42.792556000	-108.676796000	5337.1		144.7	1.0	5.151	801.36								
T	42.791201000	-108.675416000	5339.5		143.2	0.4	5.267	617.33								
T	42.785936000	-108.670466000	5406.0		145.4	2.8	5.710	2334.06								
T	42.785611000	-108.670164000	5405.5		145.7	-0.4	5.737	143.54								
T	42.785118000	-108.669642000	5403.9		142.1	-0.7	5.780	227.86								
T	42.783688000	-108.668258000	5365.2		144.6	-6.1	5.901	640.06								
T	42.781455000	-108.666076000	5357.1		144.4	-0.8	6.091	1002.74								
T	42.779222000	-108.663907000	5381.7		144.5	2.5	6.281	1000.72								
T	42.777367000	-108.662117000	5417.3		144.7	4.3	6.438	829.48								
T	42.776119000	-108.660899000	5462.6		144.4	8.1	6.544	560.21								
T	42.774845000	-108.659721000	5449.5		145.8	-2.3	6.650	561.82								
T	42.773491000	-108.658565000	5428.1		147.9	-3.7	6.761	582.98								
T	42.772237000	-108.657628000	5420.0		151.3	-1.6	6.859	521.71								
T	42.771444000	-108.657071000	5417.6		152.7	-0.7	6.921	325.42								
T	42.770681000	-108.656582000	5406.1		154.8	-3.8	6.979	307.53								
T	42.769220000	-108.655742000	5389.3		157.1	-2.9	7.089	578.28								
T	42.767967000	-108.655108000	5392.8		159.6	0.7	7.181	487.37								
T	42.766658000	-108.654502000	5393.0		161.2	0.0	7.277	504.07								
T	42.765970000	-108.654268000	5388.1		166.0	-1.9	7.325	258.50								
T	42.765283000	-108.654041000	5398.0		166.4	3.8	7.374	257.70								
T	42.762249000	-108.653197000	5457.2		168.5	5.2	7.588	1128.77								
T	42.761208000	-108.653000000	5466.4		172.1	2.4	7.661	383.08								
T	42.759965000	-108.652819000	5458.8		173.9	-1.7	7.747	455.63								
T	42.758014000	-108.652457000	5438.2		172.2	-2.9	7.883	717.68								
T	42.757668000	-108.652398000	5435.7		172.9	-2.0	7.907	127.10								
T	42.755396000	-108.652020000	5424.5		173.0	-1.3	8.065	834.26								
T	42.754900000	-108.651915000	5421.0		171.2	-1.9	8.100	182.96								
T	42.754560000	-108.651843000	5427.0		171.2	4.8	8.123	125.42								
T	42.753232000	-108.651564000	5431.8		171.2	1.0	8.216	489.77								
T	42.751465000	-108.651152000	5438.4		170.3	1.0	8.340	653.44								
T	42.748694000	-108.650481000	5447.3		169.9	0.9	8.534	1025.88								
T	42.747785000	-108.650232000	5458.7		168.6	3.4	8.598	337.98								
T	42.747015000	-108.650086000	5466.4		172.1	2.7	8.652	283.36								
T	42.742048000	-108.648917000	5536.1		170.2	3.8	9.000	1837.31								
T	42.739700000	-108.648376000	5524.7		170.4	-1.3	9.164	868.01								
T	42.736924000	-108.647737000	5535.3		170.4	1.0	9.359	1026.20								
T	42.734996000	-108.647282000	5542.0		170.2	0.9	9.494	713.23								
T	42.733802000	-108.647017000	5540.6		170.7	-0.3	9.577	440.95								
T	42.732443000	-108.646777000	5536.1		172.6	-0.9	9.672	499.48								
T	42.731134000	-108.646663000	5544.3		176.3	1.7	9.762	478.06								
T	42.730663000	-108.646672000	5546.0		180.8	1.0	9.795	171.68								
T	42.729010000	-108.646652000	5549.5		179.5	0.6	9.909	602.48								
T	42.728850000	-108.646650000	5551.9		179.5	4.1	9.920	58.32								
T	42.728346000	-108.646639000	5557.4		179.1	3.0	9.955	183.71								
T	42.725251000	-108.646574000	5554.7		179.1	-0.2	10.168	1128.14								
T	42.724189000	-108.646544000	5556.4		178.8	0.5	10.242	387.14								
T	42.723131000	-108.646420000	5565.5		175.1	2.3	10.315	387.04								
T	42.722226000	-108.646244000	5572.4		171.9	2.1	10.378	333.21								
T	42.721274000	-108.645971000	5576.6		168.1	1.2	10.445	354.64								
T	42.719869000	-108.645437000	5564.3		164.4	-2.3	10.546	531.79								
T	42.717530000	-108.644633000	5527.2		165.8	-4.2	10.713	879.43								
T	42.715771000	-108.644177000	5471.8		169.2	-8.5	10.836	652.69								
T	42.714789000	-108.643945000	5463.4		170.2	-2.3	10.905	363.29								
T	42.714690000	-108.643922000	5462.6		170.3	-2.2	10.912	36.61								
T	42.711377000	-108.643145000	5493.5		170.2	2.5	11.144	1225.38								
T	42.704369000	-108.641559000	5632.1		170.6	5.4	11.634	2589.46								
T	42.702958000	-108.641247000	5647.0		170.8	2.9	11.733	521.04								
T	42.702150000	-108.640988000	5656.4		166.7	3.1	11.790	302.60								
T	42.701325000	-108.640662000	5654.1		163.8	-0.7	11.850	313.19								
T	42.700648000	-108.640350000	5681.4		161.3	10.5	11.899	260.60								
T	42.700059000	-108.640005000	5687.7		156.7	2.7	11.943	233.84								
T	42.696923000	-108.638142000	5725.9		156.4	3.1	12.180	1247.85								
T	42.693383000	-108.636018000	5768.2		156.2	3.0	12.447	1410.90								
T	42.691092000	-108.634486000	5796.1		153.8	3.0	12.623	931.04								
T	42.682749000	-108.628768000	5909.7		153.3	3.3	13.269	3407.26								
T	42.680404000	-108.627148000	5948.6		153.1	4.1	13.450	959.27								
T	42.678498000	-108.625701000	5986.1		150.8	4.7	13.601	796.21								
T	42.676207000	-108.623881000	6027.9		149.7	4.3	13.784	967.84								
