type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.864752000	-112.452612000	4468.3				0.000		#f57c00	1.00	2.55			GL. Pocatello Loop		Optional Loops
T	42.864714000	-112.452673000	4468.5		229.6	1.0	0.004	21.43								
T	42.864355000	-112.453245000	4472.5		229.4	2.0	0.042	201.59								
T	42.864409000	-112.453308000	4472.2		319.5	-1.3	0.047	25.94								
T	42.864586000	-112.453514000	4472.8		319.5	0.8	0.063	84.92								
T	42.864878000	-112.453856000	4469.9		319.4	-2.1	0.090	140.48								
T	42.864994000	-112.453993000	4469.8		319.1	-0.3	0.100	56.01								
T	42.865115000	-112.454135000	4470.2		319.3	0.7	0.111	58.26								
T	42.865417000	-112.454481000	4468.7		320.0	-1.0	0.139	143.95								
T	42.865875000	-112.455007000	4470.8		319.9	1.0	0.180	218.52								
T	42.866628000	-112.455879000	4472.3		319.7	0.4	0.248	360.52								
T	42.867378000	-112.456732000	4466.7		320.2	-1.6	0.316	356.40								
T	42.868121000	-112.457612000	4474.4		319.0	2.2	0.384	359.16								
T	42.868808000	-112.458415000	4473.4		319.4	-0.3	0.446	330.21								
T	42.868873000	-112.458491000	4473.7		319.4	1.0	0.452	31.25								
T	42.869652000	-112.459316000	4468.5		322.2	-1.5	0.521	359.90								
T	42.870407000	-112.460186000	4471.8		319.8	0.9	0.589	360.72								
T	42.871164000	-112.461062000	4468.5		319.7	-0.9	0.657	362.32								
T	42.871912000	-112.461926000	4468.7		319.8	0.1	0.725	357.73								
T	42.872454000	-112.462594000	4467.6		317.9	-0.4	0.776	266.63								
T	42.872585000	-112.462744000	4464.6		320.0	-4.7	0.788	62.42								
T	42.872746000	-112.462928000	4462.3		320.1	-3.0	0.802	76.66								
T	42.872809000	-112.463007000	4462.3		317.4	-0.0	0.808	31.24								
T	42.873042000	-112.463265000	4462.6		320.9	0.3	0.829	109.52								
T	42.873422000	-112.463696000	4466.3		320.3	2.0	0.863	180.36								
T	42.874183000	-112.464558000	4467.2		320.3	0.2	0.931	361.01								
T	42.874930000	-112.465432000	4470.0		319.4	0.8	0.999	359.19								
T	42.875672000	-112.466300000	4463.5		319.4	-1.8	1.067	356.76								
T	42.877198000	-112.468070000	4458.0		319.6	-0.7	1.205	731.06								
T	42.878526000	-112.469668000	4451.3		318.6	-1.0	1.328	646.34								
