type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.865701000	-112.452995000	4461.1				0.000		#0288d1	1.00	1.2			H. Pocatello to Twin Falls		Main Route
T	42.865778000	-112.453087000	4460.4		318.8	-1.8	0.007	37.36								
T	42.866531000	-112.453948000	4455.7		320.0	-1.3	0.075	358.62								
T	42.866831000	-112.454285000	4457.9		320.5	1.5	0.102	141.84								
T	42.867081000	-112.454566000	4458.7		320.5	0.7	0.124	118.23								
T	42.867247000	-112.454755000	4459.0		320.2	0.5	0.139	78.92								
T	42.867292000	-112.454806000	4459.7		320.3	2.8	0.143	21.35								
T	42.866943000	-112.455368000	4468.5		229.7	4.5	0.181	197.18								
T	42.866628000	-112.455879000	4472.3		229.9	2.1	0.214	178.74								
T	42.867378000	-112.456732000	4466.7		320.2	-1.6	0.282	356.40								
T	42.867721000	-112.457138000	4464.9		319.1	-1.1	0.313	165.76								
T	42.868121000	-112.457612000	4474.4		319.0	4.9	0.350	193.40								
T	42.868873000	-112.458491000	4473.7		319.4	-0.2	0.418	361.46								
T	42.869652000	-112.459316000	4468.5		322.2	-1.5	0.487	359.90								
T	42.870407000	-112.460186000	4471.8		319.8	0.9	0.555	360.72								
T	42.871164000	-112.461062000	4468.5		319.7	-0.9	0.624	362.32								
T	42.871912000	-112.461926000	4468.7		319.8	0.1	0.691	357.73								
T	42.872454000	-112.462594000	4467.6		317.9	-0.4	0.742	266.63								
T	42.872746000	-112.462928000	4462.3		320.0	-3.8	0.768	139.08								
T	42.872809000	-112.463007000	4462.3		317.4	-0.0	0.774	31.24								
T	42.873042000	-112.463265000	4462.6		320.9	0.3	0.795	109.52								
T	42.873422000	-112.463696000	4466.3		320.3	2.0	0.829	180.36								
T	42.874183000	-112.464558000	4467.2		320.3	0.2	0.897	361.01								
T	42.874930000	-112.465432000	4470.0		319.4	0.8	0.965	359.19								
T	42.875672000	-112.466300000	4463.5		319.4	-1.8	1.033	356.76								
T	42.877198000	-112.468070000	4458.0		319.6	-0.7	1.171	731.06								
T	42.878033000	-112.469075000	4450.7		318.6	-1.8	1.248	406.44								
T	42.878526000	-112.469668000	4451.3		318.6	0.2	1.294	239.90								
T	42.880008000	-112.471592000	4422.8		316.4	-3.8	1.435	746.81								
T	42.881249000	-112.473195000	4429.1		316.6	1.0	1.553	623.86								
T	42.881480000	-112.473483000	4429.1		317.6	0.0	1.575	114.23								
T	42.882739000	-112.475117000	4449.0		316.4	3.1	1.695	634.33								
T	42.883185000	-112.475703000	4441.7		316.1	-3.3	1.738	226.04								
T	42.883516000	-112.476122000	4440.3		317.2	-0.8	1.769	164.82								
T	42.883721000	-112.476363000	4440.7		319.3	0.4	1.788	98.77								
T	42.884074000	-112.476655000	4445.3		328.8	3.1	1.816	150.59								
T	42.884385000	-112.476831000	4442.3		337.5	-2.4	1.840	122.77								
T	42.884692000	-112.476952000	4439.4		343.9	-2.5	1.862	116.50								
T	42.884927000	-112.477004000	4439.7		350.8	0.3	1.878	86.78								
T	42.885157000	-112.477023000	4437.5		356.5	-2.6	1.894	83.98								
T	42.885349000	-112.477030000	4434.9		358.5	-3.8	1.907	70.00								
T	42.885660000	-112.476993000	4432.6		5.0	-2.0	1.929	113.78								
T	42.885910000	-112.476925000	4433.5		11.3	0.9	1.946	92.92								
T	42.886308000	-112.476800000	4440.3		13.0	4.5	1.975	148.88								
T	42.887540000	-112.476356000	4436.0		14.8	-0.9	2.063	464.53								
T	42.887875000	-112.476237000	4436.2		14.6	0.1	2.087	126.19								
T	42.888161000	-112.476183000	4437.1		7.9	0.9	2.106	105.24								
T	42.888355000	-112.476169000	4438.3		3.0	1.7	2.120	70.81								
T	42.888570000	-112.476158000	4438.9		2.1	0.7	2.135	78.42								
T	42.888945000	-112.476151000	4435.6		0.8	-2.4	2.161	136.69								
T	42.889951000	-112.476174000	4438.2		359.0	0.7	2.230	366.71								
T	42.890106000	-112.476190000	4436.8		355.7	-2.5	2.241	56.66								
T	42.890285000	-112.476200000	4434.8		357.7	-3.0	2.253	65.30								
T	42.890396000	-112.476203000	4437.4		358.9	6.4	2.261	40.46								
T	42.890510000	-112.476170000	4440.5		12.0	7.3	2.269	42.48								
T	42.890575000	-112.476228000	4441.2		326.8	2.7	2.274	28.33								
T	42.890662000	-112.476164000	4443.9		28.3	7.4	2.281	36.05								
T	42.890772000	-112.476087000	4447.2		27.2	7.3	2.290	45.09								
T	42.890964000	-112.476322000	4444.3		318.1	-3.1	2.307	94.15								
T	42.891641000	-112.477153000	4437.0		318.0	-2.2	2.370	332.39								
T	42.891835000	-112.477398000	4437.7		317.2	0.7	2.389	96.49								
T	42.892562000	-112.478274000	4447.6		318.6	2.8	2.456	354.01								
T	42.892685000	-112.478538000	4451.0		302.5	4.1	2.472	83.76								
T	42.893028000	-112.478961000	4443.8		317.9	-4.3	2.504	168.76								
T	42.893332000	-112.479406000	4436.2		313.0	-4.7	2.534	162.78								
T	42.893646000	-112.479923000	4434.1		309.7	-1.1	2.568	179.70								
T	42.893875000	-112.480363000	4439.9		305.4	3.9	2.596	144.46								
T	42.894049000	-112.480702000	4437.6		305.0	-2.0	2.617	110.79								
T	42.894245000	-112.481135000	4439.0		301.7	1.0	2.643	136.26								
T	42.894408000	-112.481529000	4437.3		299.5	-1.4	2.665	121.15								
T	42.895603000	-112.484471000	4440.6		299.0	0.4	2.836	900.70								
T	42.895898000	-112.485206000	4439.8		298.7	-0.3	2.879	224.40								
T	42.896143000	-112.485798000	4440.4		299.5	0.3	2.913	182.05								
T	42.896527000	-112.486761000	4438.4		298.6	-0.7	2.969	293.57								
T	42.896855000	-112.487574000	4429.3		298.8	-3.7	3.016	248.50								
T	42.897142000	-112.488292000	4430.4		298.6	0.5	3.057	219.00								
T	42.900178000	-112.495722000	4433.7		299.2	0.1	3.489	2277.79								
