Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,571.71336,-0.0467368301552673,0,40.882793,-98.374176,1875.7,-4.67708894878706,0,0
1.609344,571.6524,-0.0479631868770767,1.4478,40.882803,-98.374165,1875.5,-4.8,0.001,4.75
28.968192,569.61024,-0.0718759695563349,28.2702,40.883038,-98.374036,1868.8,-7.2,0.018,92.75
48.28032,571.5,0.100658653157729,18.857976,40.882986,-98.373823,1875,10.1,0.03,61.87
74.029824,572.20104,0.0279926861068139,24.868632,40.882928,-98.373538,1877.3,2.8,0.046,81.59
82.076544,572.62776,0.0469654381300841,9.107424,40.882925,-98.37343,1878.7,4.7,0.051,29.88
93.341952,573.11544,0.0449696618523276,10.960608,40.882922,-98.3733,1880.3,4.5,0.058,35.96
123.919488,573.72504,0.0189977141617588,30.650688,40.882961,-98.37294,1882.3,1.9,0.077,100.56
154.497024,572.7192,-0.0329880288209954,30.851856,40.883062,-98.372599,1879,-3.3,0.096,101.22
173.809152,571.86576,-0.0429735270295798,19.488912,40.883162,-98.372409,1876.2,-4.3,0.108,63.94
183.465216,571.6524,-0.0249947936189202,8.470392,40.883205,-98.372326,1875.5,-2.5,0.114,27.79
215.652096,572.17056,0.0149988751518506,33.217104,40.883425,-98.372059,1877.2,1.5,0.134,108.98
218.870784,572.262,0.0449696618523276,2.22504,40.883442,-98.372045,1877.5,4.5,0.136,7.3
247.838976,573.42024,0.0389802450252585,29.144976,40.883667,-98.371867,1881.3,3.9,0.154,95.62
260.713728,573.786,0.0289918744331005,12.8778,40.883773,-98.371805,1882.5,2.9,0.162,42.25
270.369792,573.96888,0.0169983626172461,10.201656,40.883857,-98.371756,1883.1,1.7,0.168,33.47
289.68192,573.54216,-0.0219964516970369,19.778472,40.884027,-98.371686,1881.7,-2.2,0.18,64.89
292.900608,573.4812,-0.0309900753885694,1.780032,40.884043,-98.371685,1881.5,-3.1,0.182,5.84
310.603392,572.8716,-0.0339869077462549,18.251424,40.884207,-98.371671,1879.5,-3.4,0.193,59.88
337.96224,571.98768,-0.0329880288209954,27.185112,40.88445,-98.37171,1876.6,-3.3,0.21,89.19
376.586496,571.1952,-0.0199973339731505,38.7096,40.884775,-98.371876,1874,-2,0.234,127
400.726656,571.22568,0.00199999733333973,24.853392,40.884962,-98.372038,1874.1,0.2,0.249,81.54
423.257472,570.00648,-0.0549446421065614,22.238208,40.885107,-98.37222,1870.1,-5.5,0.263,72.96
444.178944,568.17768,-0.0897581741899505,20.317968,40.885227,-98.372402,1864.1,-9,0.276,66.66
469.928448,568.6044,0.0169983626172461,25.655016,40.885342,-98.372666,1865.5,1.7,0.292,84.17
489.240576,571.10376,0.124354994546761,19.946112,40.8854,-98.37289,1873.7,12.5,0.304,65.44
516.599424,574.97472,0.144975690273719,26.535888,40.885432,-98.373202,1886.4,14.6,0.321,87.06
621.206784,573.024,-0.0179980563778262,105.73512,40.886383,-98.373141,1880,-1.8,0.386,346.9
696.845952,570.5856,-0.0319890840393151,74.977752,40.887055,-98.373055,1872,-3.2,0.433,245.99
725.814144,569.976,-0.020996913816563,29.876496,40.887324,-98.373061,1870,-2.1,0.451,98.02
745.126272,569.976,0,18.117312,40.887487,-98.373052,1870,0,0.463,59.44
770.875776,572.32296,0.0897581741899505,26.008584,40.887721,-98.373039,1877.7,9,0.479,85.33
793.406592,572.4144,0.00399997866687146,23.433024,40.887932,-98.373037,1878,0.4,0.493,76.88
1113.666048,569.64072,-0.00899975701180912,320.143632,40.887877,-98.369239,1868.9,-0.9,0.692,1050.34
1171.602432,572.53632,0.0499583957219428,57.738264,40.887869,-98.368554,1878.4,5,0.728,189.43
1229.538816,573.786,0.0219964516970369,58.15584,40.887863,-98.367864,1882.5,2.2,0.764,190.8
1292.303232,573.6336,-0.00199999733333973,62.563248,40.887846,-98.367122,1882,-0.2,0.803,205.26
1361.505024,573.08496,-0.00799982933988663,68.570856,40.887822,-98.366309,1880.2,-0.8,0.846,224.97
1474.159104,571.68288,-0.0119994240497613,112.97412,40.88776,-98.364971,1875.6,-1.2,0.916,370.65
1482.205824,570.98184,-0.0818169486036546,8.692896,40.887756,-98.364868,1873.3,-8.2,0.921,28.52
1684.983168,571.01232,0,201.576432,40.887668,-98.362479,1873.4,0,1.047,661.34
1721.99808,571.01232,0,37.057584,40.887649,-98.36204,1873.4,0,1.07,121.58
1979.49312,570.8904,-0,258.15036,40.887529,-98.358981,1873,-0,1.23,846.95
2203.191936,570.8904,0,223.1136,40.887428,-98.356337,1873,0,1.369,732
2330.330112,567.65952,-0.0249947936189202,127.69596,40.887383,-98.354823,1862.4,-2.5,1.448,418.95
2566.90368,570.70752,0.0129992677409163,236.601,40.887348,-98.352016,1872.4,1.3,1.595,776.25
2872.67904,569.976,-0.00199999733333973,305.787552,40.887313,-98.348388,1870,-0.2,1.785,1003.24
3027.176064,569.61024,-0.00199999733333973,154.231848,40.887307,-98.346558,1868.8,-0.2,1.881,506.01
3167.188992,567.5376,-0.0149988751518506,140.29944,40.88727,-98.344894,1862,-1.5,1.968,460.3
3205.813248,567.01944,-0.0139990854408831,38.103048,40.887262,-98.344442,1860.3,-1.4,1.992,125.01
3244.437504,567.26328,0.00599992800155516,39.697152,40.88726,-98.343971,1861.1,0.6,2.016,130.24
3315.24864,566.71464,-0.00799982933988663,70.555104,40.887247,-98.343134,1859.3,-0.8,2.06,231.48
3376.403712,567.0804,0.00599992800155516,60.094368,40.887242,-98.342421,1860.5,0.6,2.098,197.16
3540.5568,569.00064,0.0119994240497613,164.018976,40.887224,-98.340475,1866.8,1.2,2.2,538.12
3592.055808,567.90336,-0.020996913816563,52.931568,40.887218,-98.339847,1863.2,-2.1,2.232,173.66
3741.7248,567.90336,0,148.196808,40.885884,-98.3398,1863.2,0,2.325,486.21
3783.567744,568.08624,0.00499995833395832,42.42816,40.885511,-98.339691,1863.8,0.5,2.351,139.2
3955.767552,566.86704,-0.00699988567002795,171.58716,40.883966,-98.339667,1859.8,-0.7,2.458,562.95
3992.782464,567.75096,0.0239953935918699,38.535864,40.883619,-98.339665,1862.7,2.4,2.481,126.43
4004.047872,567.87288,0.00899975701180912,10.771632,40.883522,-98.339665,1863.1,0.9,2.488,35.34
4049.109504,567.9948,0.0029999910000486,45.421296,40.883113,-98.339662,1863.5,0.3,2.516,149.02
4182.685056,568.7568,0.00599992800155516,132.264912,40.881922,-98.339655,1866,0.6,2.599,433.94
4201.997184,568.7568,-0,19.32432,40.881748,-98.339654,1866,-0,2.611,63.4
4374.196992,569.12256,0.00199999733333973,173.074584,40.88019,-98.339602,1867.2,0.2,2.718,567.83
4412.821248,568.78728,-0.00799982933988663,39.200328,40.879837,-98.339602,1866.1,-0.8,2.742,128.61
4446.617472,567.81192,-0.0299910048568779,33.32988,40.879537,-98.339613,1862.9,-3,2.763,109.35
4519.037952,565.31256,-0.0339869077462549,72.646032,40.878883,-98.339633,1854.7,-3.4,2.808,238.34
4530.30336,565.0992,-0.0189977141617588,11.301984,40.878792,-98.339693,1854,-1.9,2.815,37.08
4548.006144,565.06872,-0.000999999666666867,17.108424,40.878638,-98.339699,1853.9,-0.1,2.826,56.13
4586.6304,567.17184,0.0539476036421626,38.773608,40.878289,-98.339712,1860.8,5.4,2.85,127.21
4599.505152,567.65952,0.03997868712329,12.475464,40.878196,-98.339629,1862.4,4,2.858,40.93
4679.972352,567.96432,0.00399997866687146,81.070704,40.877466,-98.339639,1863.4,0.4,2.908,265.98
4715.37792,567.90336,-0.00199999733333973,34.76244,40.877153,-98.339644,1863.2,-0.2,2.93,114.05
4747.5648,568.69584,0.0249947936189202,32.208216,40.876863,-98.33964,1865.8,2.5,2.95,105.67
4781.361024,570.37224,0.0499583957219428,33.494472,40.876575,-98.339758,1871.3,5,2.971,109.89
4863.437568,570.8904,0.00599992800155516,82.180176,40.875835,-98.339751,1873,0.6,3.022,269.62
4892.40576,570.8904,0,29.760672,40.875567,-98.339751,1873,0,3.04,97.64
5209.446528,566.83656,-0.0129992677409163,316.165992,40.87272,-98.339762,1859.7,-1.3,3.237,1037.29
5256.117504,568.08624,0.0269934418682879,46.872144,40.872298,-98.339772,1863.8,2.7,3.266,153.78
5344.631424,568.452,0.00399997866687146,89.178384,40.871495,-98.339783,1865,0.4,3.321,292.58
5491.081728,569.12256,0.00499995833395832,146.947128,40.870172,-98.339815,1867.2,0.5,3.412,482.11
5597.298432,568.26912,-0.00799982933988663,105.402888,40.869223,-98.339794,1864.4,-0.8,3.478,345.81
