Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1827.94656,-0.0232744649526809,0,42.322979,-111.29753,5997.2,-2.32786684616326,0,0
22.530816,1827.36744,-0.0259941437084617,22.591776,42.322975,-111.297804,5995.3,-2.6,0.014,74.12
146.450304,1822.27728,-0.0409770494767878,124.52604,42.324096,-111.297818,5978.6,-4.1,0.091,408.55
159.325056,1822.64304,0.0289918744331005,11.664696,42.324201,-111.297819,5979.8,2.9,0.099,38.27
201.168,1825.50816,0.066900014828884,43.013376,42.324588,-111.297801,5989.2,6.7,0.125,141.12
239.792256,1825.26432,-0.00699988567002795,37.877496,42.324929,-111.297801,5988.4,-0.7,0.149,124.27
296.119296,1823.43552,-0.0319890840393151,56.762904,42.32544,-111.297802,5982.4,-3.2,0.184,186.23
402.336,1824.99,0.0149988751518506,106.08564,42.326395,-111.297814,5987.5,1.5,0.25,348.05
405.554688,1824.99,-0.00399997866687146,3.776472,42.326429,-111.297814,5987.5,-0.4,0.252,12.39
445.788288,1824.50232,-0.0119994240497613,39.21252,42.326782,-111.297815,5985.9,-1.2,0.277,128.65
531.08352,1822.97832,-0.0179980563778262,86.313264,42.327559,-111.297826,5980.9,-1.8,0.33,283.18
600.285312,1822.49064,-0.00699988567002795,68.768976,42.328178,-111.297812,5979.3,-0.7,0.373,225.62
638.909568,1821.3324,-0.0309900753885694,37.99332,42.32852,-111.297819,5975.5,-3.1,0.397,124.65
645.346944,1821.08856,-0.0319890840393151,7.33044,42.328586,-111.297818,5974.7,-3.2,0.401,24.05
737.079552,1820.78376,-0.0029999910000486,90.863928,42.329404,-111.297813,5973.7,-0.3,0.458,298.11
838.468224,1820.78376,0,101.199696,42.330315,-111.297801,5973.7,0,0.521,332.02
896.404608,1819.01592,-0.0299910048568779,58.433208,42.330841,-111.29781,5967.9,-3,0.557,191.71
1041.245568,1820.08272,0.00699988567002795,144.30756,42.33214,-111.297785,5971.4,0.7,0.647,473.45
1057.339008,1820.99712,0.0539476036421626,16.440912,42.332288,-111.297784,5974.4,5.4,0.657,53.94
1078.26048,1820.99712,0.000999999666666867,20.33016,42.332471,-111.297781,5974.4,0.1,0.67,66.7
1097.572608,1820.44848,-0.0269934418682879,19.885152,42.33265,-111.297778,5972.6,-2.7,0.682,65.24
1190.91456,1820.53992,0.000999999666666867,94.317312,42.333499,-111.297762,5972.9,0.1,0.74,309.44
1226.320128,1819.56456,-0.0279926861068139,34.113216,42.333806,-111.297751,5969.7,-2.8,0.762,111.92
1308.396672,1813.43808,-0.0738653674061214,82.896456,42.334552,-111.297723,5949.6,-7.4,0.813,271.97
1446.800256,1815.846,0.0179980563778262,137.650728,42.335791,-111.297693,5957.5,1.8,0.899,451.61
