Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1361.93784,0.00893671332031881,0,42.864752,-112.452612,4468.3,0.89369512376606,0,0
6.437376,1361.9988,0.00999966668666524,6.531864,42.864714,-112.452673,4468.5,1,0.004,21.43
67.592448,1363.218,0.0199973339731505,61.444632,42.864355,-112.453245,4472.5,2,0.042,201.59
75.639168,1363.12656,-0.0129992677409163,7.906512,42.864409,-112.453308,4472.2,-1.3,0.047,25.94
101.388672,1363.30944,0.00799982933988663,25.883616,42.864586,-112.453514,4472.8,0.8,0.063,84.92
144.84096,1362.42552,-0.020996913816563,42.818304,42.864878,-112.453856,4469.9,-2.1,0.09,140.48
160.9344,1362.39504,-0.0029999910000486,17.071848,42.864994,-112.453993,4469.8,-0.3,0.1,56.01
178.637184,1362.51696,0.00699988567002795,17.757648,42.865115,-112.454135,4470.2,0.7,0.111,58.26
223.698816,1362.05976,-0.00999966668666524,43.87596,42.865417,-112.454481,4468.7,-1,0.139,143.95
289.68192,1362.69984,0.00999966668666524,66.604896,42.865875,-112.455007,4470.8,1,0.18,218.52
399.117312,1363.15704,0.00399997866687146,109.886496,42.866628,-112.455879,4472.3,0.4,0.248,360.52
508.552704,1361.45016,-0.0159986348763435,108.63072,42.867378,-112.456732,4466.7,-1.6,0.316,356.4
617.988096,1363.79712,0.0219964516970369,109.471968,42.868121,-112.457612,4474.4,2.2,0.384,359.16
717.767424,1363.49232,-0.0029999910000486,100.648008,42.868808,-112.458415,4473.4,-0.3,0.446,330.21
727.423488,1363.58376,0.00999966668666524,9.525,42.868873,-112.458491,4473.7,1,0.452,31.25
838.468224,1361.9988,-0.0149988751518506,109.69752,42.869652,-112.459316,4468.5,-1.5,0.521,359.9
947.903616,1363.00464,0.00899975701180912,109.947456,42.870407,-112.460186,4471.8,0.9,0.589,360.72
1057.339008,1361.9988,-0.00899975701180912,110.435136,42.871164,-112.461062,4468.5,-0.9,0.657,362.32
1166.7744,1362.05976,0.000999999666666867,109.036104,42.871912,-112.461926,4468.7,0.1,0.725,357.73
1248.850944,1361.72448,-0.00399997866687146,81.268824,42.872454,-112.462594,4467.6,-0.4,0.776,266.63
1268.163072,1360.81008,-0.0469654381300841,19.025616,42.872585,-112.462744,4464.6,-4.7,0.788,62.42
1290.693888,1360.10904,-0.0299910048568779,23.365968,42.872746,-112.462928,4462.3,-3,0.802,76.66
1300.349952,1360.10904,-0,9.521952,42.872809,-112.463007,4462.3,-0,0.808,31.24
1334.146176,1360.20048,0.0029999910000486,33.381696,42.873042,-112.463265,4462.6,0.3,0.829,109.52
1388.863872,1361.32824,0.0199973339731505,54.973728,42.873422,-112.463696,4466.3,2,0.863,180.36
1498.299264,1361.60256,0.00199999733333973,110.035848,42.874183,-112.464558,4467.2,0.2,0.931,361.01
1607.734656,1362.456,0.00799982933988663,109.481112,42.87493,-112.465432,4470,0.8,0.999,359.19
