Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,1359.74328,-0.0185187683549906,0,42.865701,-112.452995,4461.1,-1.85208856170877,0,0
11.265408,1359.52992,-0.0179980563778262,11.387328,42.865778,-112.453087,4460.4,-1.8,0.007,37.36
120.7008,1358.09736,-0.0129992677409163,109.307376,42.866531,-112.453948,4455.7,-1.3,0.075,358.62
164.153088,1358.76792,0.0149988751518506,43.232832,42.866831,-112.454285,4457.9,1.5,0.102,141.84
199.558656,1359.01176,0.00699988567002795,36.036504,42.867081,-112.454566,4458.7,0.7,0.124,118.23
223.698816,1359.1032,0.00499995833395832,24.054816,42.867247,-112.454755,4459,0.5,0.139,78.92
230.136192,1359.31656,0.0279926861068139,6.50748,42.867292,-112.454806,4459.7,2.8,0.143,21.35
291.291264,1361.9988,0.0449696618523276,60.100464,42.866943,-112.455368,4468.5,4.5,0.181,197.18
344.399616,1363.15704,0.020996913816563,54.479952,42.866628,-112.455879,4472.3,2.1,0.214,178.74
453.835008,1361.45016,-0.0159986348763435,108.63072,42.867378,-112.456732,4466.7,-1.6,0.282,356.4
503.724672,1360.90152,-0.0109995563655408,50.523648,42.867721,-112.457138,4464.9,-1.1,0.313,165.76
563.2704,1363.79712,0.048960840065008,58.94832,42.868121,-112.457612,4474.4,4.9,0.35,193.4
672.705792,1363.58376,-0.00199999733333973,110.173008,42.868873,-112.458491,4473.7,-0.2,0.418,361.46
783.750528,1361.9988,-0.0149988751518506,109.69752,42.869652,-112.459316,4468.5,-1.5,0.487,359.9
893.18592,1363.00464,0.00899975701180912,109.947456,42.870407,-112.460186,4471.8,0.9,0.555,360.72
1004.230656,1361.9988,-0.00899975701180912,110.435136,42.871164,-112.461062,4468.5,-0.9,0.624,362.32
1112.056704,1362.05976,0.000999999666666867,109.036104,42.871912,-112.461926,4468.7,0.1,0.691,357.73
1194.133248,1361.72448,-0.00399997866687146,81.268824,42.872454,-112.462594,4467.6,-0.4,0.742,266.63
1235.976192,1360.10904,-0.0379817251640402,42.391584,42.872746,-112.462928,4462.3,-3.8,0.768,139.08
1245.632256,1360.10904,-0,9.521952,42.872809,-112.463007,4462.3,-0,0.774,31.24
1279.42848,1360.20048,0.0029999910000486,33.381696,42.873042,-112.463265,4462.6,0.3,0.795,109.52
1334.146176,1361.32824,0.0199973339731505,54.973728,42.873422,-112.463696,4466.3,2,0.829,180.36
1443.581568,1361.60256,0.00199999733333973,110.035848,42.874183,-112.464558,4467.2,0.2,0.897,361.01
1553.01696,1362.456,0.00799982933988663,109.481112,42.87493,-112.465432,4470,0.8,0.965,359.19
1662.452352,1360.4748,-0.0179980563778262,108.740448,42.875672,-112.4663,4463.5,-1.8,1.033,356.76
1884.541824,1358.7984,-0.00699988567002795,222.827088,42.877198,-112.46807,4458,-0.7,1.171,731.06
2008.461312,1356.57336,-0.0179980563778262,123.882912,42.878033,-112.469075,4450.7,-1.8,1.248,406.44
2082.491136,1356.75624,0.00199999733333973,73.12152,42.878526,-112.469668,4451.3,0.2,1.294,239.9
2309.40864,1348.06944,-0.0379817251640402,227.627688,42.880008,-112.471592,4422.8,-3.8,1.435,746.81
2499.311232,1349.98968,0.00999966668666524,190.152528,42.881249,-112.473195,4429.1,1,1.553,623.86
2534.7168,1349.98968,0,34.817304,42.88148,-112.473483,4429.1,0,1.575,114.23
2727.83808,1356.0552,0.0309900753885694,193.343784,42.882739,-112.475117,4449,3.1,1.695,634.33
2797.039872,1353.83016,-0.0329880288209954,68.896992,42.883185,-112.475703,4441.7,-3.3,1.738,226.04
2846.929536,1353.40344,-0.00799982933988663,50.237136,42.883516,-112.476122,4440.3,-0.8,1.769,164.82
2877.507072,1353.52536,0.00399997866687146,30.105096,42.883721,-112.476363,4440.7,0.4,1.788,98.77
2922.568704,1354.92744,0.0309900753885694,45.899832,42.884074,-112.476655,4445.3,3.1,1.816,150.59
2961.19296,1354.01304,-0.0239953935918699,37.420296,42.884385,-112.476831,4442.3,-2.4,1.84,122.77
2996.598528,1353.12912,-0.0249947936189202,35.5092,42.884692,-112.476952,4439.4,-2.5,1.862,116.5
3022.348032,1353.22056,0.0029999910000486,26.450544,42.884927,-112.477004,4439.7,0.3,1.878,86.78
3048.097536,1352.55,-0.0259941437084617,25.597104,42.885157,-112.477023,4437.5,-2.6,1.894,83.98
3069.019008,1351.75752,-0.0379817251640402,21.336,42.885349,-112.47703,4434.9,-3.8,1.907,70
3104.424576,1351.05648,-0.0199973339731505,34.680144,42.88566,-112.476993,4432.6,-2,1.929,113.78
3131.783424,1351.3308,0.00899975701180912,28.322016,42.88591,-112.476925,4433.5,0.9,1.946,92.92
3178.4544,1353.40344,0.0449696618523276,45.378624,42.886308,-112.4768,4440.3,4.5,1.975,148.88
3320.076672,1352.0928,-0.00899975701180912,141.588744,42.88754,-112.476356,4436,-0.9,2.063,464.53
3358.700928,1352.15376,0.000999999666666867,38.462712,42.887875,-112.476237,4436.2,0.1,2.087,126.19
3389.278464,1352.42808,0.00899975701180912,32.077152,42.888161,-112.476183,4437.1,0.9,2.106,105.24
3411.80928,1352.79384,0.0169983626172461,21.582888,42.888355,-112.476169,4438.3,1.7,2.12,70.81
3435.94944,1352.97672,0.00699988567002795,23.902416,42.88857,-112.476158,4438.9,0.7,2.135,78.42
3477.792384,1351.97088,-0.0239953935918699,41.663112,42.888945,-112.476151,4435.6,-2.4,2.161,136.69
3588.83712,1352.76336,0.00699988567002795,111.773208,42.889951,-112.476174,4438.2,0.7,2.23,366.71
3606.539904,1352.33664,-0.0249947936189202,17.269968,42.890106,-112.47619,4436.8,-2.5,2.241,56.66
3625.852032,1351.72704,-0.0299910048568779,19.90344,42.890285,-112.4762,4434.8,-3,2.253,65.3
3638.726784,1352.51952,0.063912832788734,12.332208,42.890396,-112.476203,4437.4,6.4,2.261,40.46
3651.601536,1353.4644,0.0728707407092984,12.947904,42.89051,-112.47617,4440.5,7.3,2.269,42.48
3659.648256,1353.67776,0.0269934418682879,8.634984,42.890575,-112.476228,4441.2,2.7,2.274,28.33
3670.913664,1354.50072,0.0738653674061214,10.98804,42.890662,-112.476164,4443.9,7.4,2.281,36.05
3685.39776,1355.50656,0.0728707407092984,13.743432,42.890772,-112.476087,4447.2,7.3,2.29,45.09
3712.756608,1354.62264,-0.0309900753885694,28.69692,42.890964,-112.476322,4444.3,-3.1,2.307,94.15
3814.14528,1352.3976,-0.0219964516970369,101.312472,42.891641,-112.477153,4437,-2.2,2.37,332.39
3844.722816,1352.61096,0.00699988567002795,29.410152,42.891835,-112.477398,4437.7,0.7,2.389,96.49
3952.548864,1355.62848,0.0279926861068139,107.902248,42.892562,-112.478274,4447.6,2.8,2.456,354.01
3978.298368,1356.6648,0.0409770494767878,25.530048,42.892685,-112.478538,4451,4.1,2.472,83.76
4029.797376,1354.47024,-0.0429735270295798,51.438048,42.893028,-112.478961,4443.8,-4.3,2.504,168.76
4078.077696,1352.15376,-0.0469654381300841,49.615344,42.893332,-112.479406,4436.2,-4.7,2.534,162.78
4132.795392,1351.51368,-0.0109995563655408,54.77256,42.893646,-112.479923,4434.1,-1.1,2.568,179.7
4177.857024,1353.28152,0.0389802450252585,44.031408,42.893875,-112.480363,4439.9,3.9,2.596,144.46
4211.653248,1352.58048,-0.0199973339731505,33.768792,42.894049,-112.480702,4437.6,-2,2.617,110.79
4253.496192,1353.0072,0.00999966668666524,41.532048,42.894245,-112.481135,4439,1,2.643,136.26
4288.90176,1352.48904,-0.0139990854408831,36.92652,42.894408,-112.481529,4437.3,-1.4,2.665,121.15
4564.099584,1353.49488,0.00399997866687146,274.53336,42.895603,-112.484471,4440.6,0.4,2.836,900.7
4633.301376,1353.25104,-0.0029999910000486,68.39712,42.895898,-112.485206,4439.8,-0.3,2.879,224.4
4688.019072,1353.43392,0.0029999910000486,55.48884,42.896143,-112.485798,4440.4,0.3,2.913,182.05
