ghi,ebh,dni,dhi,cloud_opacity,period_end,period
62,42,420,20,0,2025-02-21T01:00:00Z,PT30M
160,127,699,33,0,2025-02-21T00:30:00Z,PT30M
265,223,811,42,0,2025-02-21,PT30M
365,316,876,49,0,2025-02-20T23:30:00Z,PT30M
459,405,922,54,0,2025-02-20T23:00:00Z,PT30M
544,487,957,57,0,2025-02-20T22:30:00Z,PT30M
617,557,983,60,0,2025-02-20T22:00:00Z,PT30M
677,615,1003,62,0,2025-02-20T21:30:00Z,PT30M
722,657,1015,64,0,2025-02-20T21:00:00Z,PT30M
749,682,1020,67,0,2025-02-20T20:30:00Z,PT30M
759,691,1021,69,0,2025-02-20T20:00:00Z,PT30M
