Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
0,323.05752,0.0148091667623776,0,39.092185,-94.417077,1059.9,1.48102494638221,0,0
9.656064,323.11848,0.00599992800155516,9.515856,39.092184,-94.417187,1060.1,0.6,0.006,31.22
62.764416,320.77152,-0.0439716382710356,54.004464,39.092197,-94.417811,1052.4,-4.4,0.039,177.18
109.435392,317.02248,-0.0798299857122373,46.488096,39.092212,-94.418348,1040.1,-8,0.068,152.52
122.310144,317.02248,-0.000999999666666867,11.94816,39.092216,-94.418486,1040.1,-0.1,0.076,39.2
131.966208,317.02248,-0.000999999666666867,9.521952,39.092219,-94.418596,1040.1,-0.1,0.082,31.24
143.231616,316.992,-0.000999999666666867,12.292584,39.092223,-94.418738,1040,-0.1,0.089,40.33
162.543744,316.992,0,19.302984,39.092229,-94.418961,1040,0,0.101,63.33
199.558656,316.26048,-0.020996913816563,35.743896,39.092238,-94.419374,1037.6,-2.1,0.124,117.27
234.964224,315.10224,-0.0319890840393151,35.667696,39.09225,-94.419786,1033.8,-3.2,0.146,117.02
243.010944,315.10224,0.000999999666666867,8.049768,39.092252,-94.419879,1033.8,0.1,0.151,26.41
252.667008,315.13272,0.00199999733333973,10.8204,39.092255,-94.420004,1033.9,0.2,0.157,35.5
333.134208,316.6872,0.0199973339731505,79.190088,39.092275,-94.420919,1039,2,0.207,259.81
336.352896,316.50432,-0.0419753301053573,4.245864,39.092277,-94.420968,1038.4,-4.2,0.209,13.93
347.618304,316.0776,-0.0419753301053573,10.384536,39.092279,-94.421088,1037,-4.2,0.216,34.07
349.227648,316.01664,-0.0409770494767878,1.475232,39.09228,-94.421105,1036.8,-4.1,0.217,4.84
358.883712,316.29096,0.0289918744331005,9.69264,39.092282,-94.421217,1037.7,2.9,0.223,31.8
365.321088,316.50432,0.0319890840393151,6.839712,39.092284,-94.421296,1038.4,3.2,0.227,22.44
373.367808,316.77864,0.0309900753885694,7.961376,39.092286,-94.421388,1039.3,3.1,0.232,26.12
571.31712,315.7728,-0.00499995833395832,197.787768,39.092344,-94.423673,1036,-0.5,0.355,648.91
616.378752,314.91936,-0.0189977141617588,45.527976,39.092357,-94.424199,1033.2,-1.9,0.383,149.37
635.69088,314.5536,-0.0179980563778262,19.824192,39.092363,-94.424428,1032,-1.8,0.395,65.04
679.143168,313.88304,-0.0159986348763435,42.672,39.092375,-94.424921,1029.8,-1.6,0.422,140
692.01792,313.182,-0.0499583957219428,13.523976,39.092367,-94.425077,1027.5,-5,0.43,44.37
720.986112,311.53608,-0.0589316829636313,28.236672,39.092321,-94.425398,1022.1,-5.9,0.448,92.64
835.249536,313.09056,0.0139990854408831,113.937288,39.091925,-94.426613,1027.2,1.4,0.519,373.81
899.623296,314.18784,0.0169983626172461,65.071752,39.091699,-94.427307,1030.8,1.7,0.559,213.49
965.6064,314.34024,0.00199999733333973,65.519808,39.091444,-94.42799,1031.3,0.2,0.6,214.96
1025.152128,313.45632,-0.0149988751518506,59.92368,39.091169,-94.428586,1028.4,-1.5,0.637,196.6
1039.636224,312.14568,-0.0867814904840191,14.983968,39.091094,-94.42873,1024.1,-8.7,0.646,49.16
1044.464256,311.87136,-0.0688908087464289,3.761232,39.091075,-94.428766,1023.2,-6.9,0.649,12.34
1092.744576,310.04256,-0.0379817251640402,49.008792,39.090824,-94.429232,1017.2,-3.8,0.679,160.79
1118.49408,310.56072,0.020996913816563,25.975056,39.090691,-94.429479,1018.9,2.1,0.695,85.22
1139.415552,310.98744,0.0199973339731505,20.506944,39.090586,-94.429674,1020.3,2,0.708,67.28
1163.555712,310.4388,-0.0229959456201157,23.429976,39.090449,-94.42988,1018.5,-2.3,0.723,76.87
1182.86784,309.85968,-0.0279926861068139,20.28444,39.090314,-94.430038,1016.6,-2.8,0.735,66.55
1190.91456,309.61584,-0.0319890840393151,8.129016,39.090257,-94.430097,1015.8,-3.2,0.74,26.67
1242.413568,307.32984,-0.0439716382710356,51.605688,39.089874,-94.430435,1008.3,-4.4,0.772,169.31
1282.647168,304.06848,-0.0808235471053552,40.55364,39.089565,-94.430685,997.6,-8.1,0.797,133.05
1301.959296,303.67224,-0.0219964516970369,17.7546,39.08943,-94.430795,996.3,-2.2,0.809,58.25
1338.974208,303.61128,-0.000999999666666867,37.807392,39.089139,-94.431022,996.1,-0.1,0.832,124.04
1369.551744,304.31232,0.0229959456201157,30.294072,39.0889,-94.431191,998.4,2.3,0.851,99.39
1400.12928,303.7332,-0.0179980563778262,31.02864,39.088643,-94.431332,996.5,-1.8,0.87,101.8
1409.785344,303.33696,-0.0449696618523276,8.955024,39.08857,-94.431376,995.2,-4.5,0.876,29.38
1421.050752,301.99584,-0.117456853162689,11.362944,39.088476,-94.431428,990.8,-11.8,0.883,37.28
1453.237632,298.82592,-0.0986784557655752,31.964376,39.088208,-94.431563,980.4,-9.9,0.903,104.87
1458.065664,298.30776,-0.0877738923272204,5.690616,39.088162,-94.431592,978.7,-8.8,0.906,18.67
1496.68992,297.11904,-0.0309900753885694,38.365176,39.087852,-94.431788,974.8,-3.1,0.93,125.87
1509.564672,297.18,0.00499995833395832,12.134088,39.087747,-94.431827,975,0.5,0.938,39.81
1522.439424,297.942,0.0549446421065614,13.679424,39.087628,-94.431868,977.5,5.5,0.946,44.88
1559.454336,299.10024,0.0319890840393151,36.66744,39.087308,-94.431973,981.3,3.2,0.969,120.3
1573.938432,299.22216,0.00899975701180912,14.212824,39.087182,-94.432002,981.7,0.9,0.978,46.63
1607.734656,299.466,0.00699988567002795,33.945576,39.086878,-94.432044,982.5,0.7,0.999,111.37
1638.312192,298.58208,-0.0279926861068139,31.199328,39.086597,-94.432049,979.6,-2.8,1.018,102.36
1763.841024,295.74744,-0.0229959456201157,125.778768,39.085465,-94.432109,970.3,-2.3,1.096,412.66
1834.65216,294.07104,-0.0229959456201157,70.536816,39.08483,-94.432137,964.8,-2.3,1.14,231.42
1876.495104,293.03472,-0.0249947936189202,41.431464,39.084457,-94.432153,961.4,-2.5,1.166,135.93
1881.323136,292.72992,-0.0599281551212079,5.221224,39.08441,-94.432155,960.4,-6,1.169,17.13
1886.151168,292.36416,-0.0718759695563349,4.776216,39.084367,-94.432157,959.2,-7.2,1.172,15.67
2010.070656,286.99968,-0.0429735270295798,124.077984,39.08325,-94.432206,941.6,-4.3,1.249,407.08
2039.038848,284.31744,-0.0947157459884758,28.431744,39.082994,-94.432215,932.8,-9.5,1.267,93.28
2051.9136,283.0068,-0.0957067080868037,13.438632,39.082873,-94.43222,928.5,-9.6,1.275,44.09
2069.616384,281.57424,-0.082810188285538,17.43456,39.082716,-94.432225,923.8,-8.3,1.286,57.2
2084.10048,280.62936,-0.063912832788734,14.770608,39.082583,-94.43223,920.7,-6.4,1.295,48.46
2106.631296,279.9588,-0.0299910048568779,22.725888,39.082379,-94.432208,918.5,-3,1.309,74.56
2188.70784,280.81224,0.0109995563655408,80.982312,39.08165,-94.432241,921.3,1.1,1.36,265.69
2220.89472,278.09952,-0.082810188285538,32.866584,39.081354,-94.432248,912.4,-8.3,1.38,107.83
2257.909632,278.09952,-0,36.420552,39.081026,-94.432257,912.4,-0,1.403,119.49
2265.956352,278.03856,-0.00399997866687146,8.881872,39.080946,-94.432259,912.2,-0.4,1.408,29.14
2275.612416,278.00808,-0.00399997866687146,9.217152,39.080863,-94.432261,912.1,-0.4,1.414,30.24
2293.3152,277.6728,-0.0189977141617588,17.065752,39.080712,-94.432298,911,-1.9,1.425,55.99
2294.924544,277.64232,-0.0189977141617588,2.822448,39.080687,-94.432304,910.9,-1.9,1.426,9.26
2394.703872,276.1488,-0.0149988751518506,99.02952,39.079797,-94.432381,906,-1.5,1.488,324.9
2422.06272,275.35632,-0.0279926861068139,28.090368,39.079544,-94.432386,903.4,-2.8,1.505,92.16
2438.15616,274.99056,-0.0239953935918699,14.987016,39.079409,-94.432385,902.2,-2.4,1.515,49.17
2499.311232,277.6728,0.0429735270295798,61.853064,39.078852,-94.432401,911,4.3,1.553,202.93
2512.185984,279.654,0.157680071358073,12.417552,39.078742,-94.432375,917.5,15.9,1.561,40.74
2568.513024,284.04312,0.0778423909373221,55.970424,39.078238,-94.432392,931.9,7.8,1.596,183.63
2586.215808,284.8356,0.0429735270295798,18.992088,39.078067,-94.432398,934.5,4.3,1.607,62.31
2660.245632,287.45688,0.0349857188285258,73.85304,39.077402,-94.432421,943.1,3.5,1.653,242.3
2739.103488,293.00424,0.0698860016346425,79.196184,39.076689,-94.432451,961.3,7,1.702,259.83
2834.054784,295.0464,0.0219964516970369,94.969584,39.075834,-94.432487,968,2.2,1.761,311.58
2929.00608,292.85184,-0.0229959456201157,94.634304,39.074982,-94.432522,960.8,-2.3,1.82,310.48
3052.925568,295.07688,0.0179980563778262,123.943872,39.073866,-94.432562,968.1,1.8,1.897,406.64
3115.689984,296.90568,0.0289918744331005,62.855856,39.0733,-94.432581,974.1,2.9,1.936,206.22
3151.095552,298.33824,0.03997868712329,35.652456,39.072979,-94.432593,978.8,4,1.958,116.97
3176.845056,298.15536,-0.00599992800155516,25.322784,39.072751,-94.432602,978.2,-0.6,1.974,83.08
3192.938496,297.6372,-0.0349857188285258,15.770352,39.072609,-94.432607,976.5,-3.5,1.984,51.74
3213.859968,297.30192,-0.0159986348763435,20.8788,39.072421,-94.432614,975.4,-1.6,1.997,68.5
3220.297344,297.36288,0.0119994240497613,6.330696,39.072364,-94.432616,975.6,1.2,2.001,20.77
3223.516032,297.42384,0.0109995563655408,3.666744,39.072331,-94.432618,975.8,1.1,2.003,12.03
3283.06176,298.00296,0.00999966668666524,59.86272,39.071792,-94.432638,977.7,1,2.04,196.4
3300.764544,297.91152,-0.00599992800155516,16.770096,39.071641,-94.432644,977.4,-0.6,2.051,55.02
3555.040896,288.09696,-0.0379817251640402,255.23952,39.069343,-94.432736,945.2,-3.8,2.209,837.4
3649.992192,285.5976,-0.0269934418682879,93.872304,39.068498,-94.432776,937,-2.7,2.268,307.98
3770.692992,280.7208,-0.03997868712329,121.20372,39.067407,-94.432828,921,-4,2.343,397.65
3823.801344,280.05024,-0.0129992677409163,53.544216,39.066925,-94.43285,918.8,-1.3,2.376,175.67
3857.597568,280.7208,0.020996913816563,33.217104,39.066626,-94.432864,921,2.1,2.397,108.98
3905.877888,280.99512,0.00599992800155516,47.658528,39.066197,-94.432884,921.9,0.6,2.427,156.36
3944.502144,279.59304,-0.0359844600820516,39.770304,39.065839,-94.432901,917.3,-3.6,2.451,130.48
3950.93952,279.3492,-0.0359844600820516,6.220968,39.065783,-94.432904,916.5,-3.6,2.455,20.41
4008.875904,279.0444,-0.00599992800155516,58.436256,39.065257,-94.432929,915.5,-0.6,2.491,191.72
4065.202944,280.5684,0.0279926861068139,54.873144,39.064763,-94.43295,920.5,2.8,2.526,180.03
4148.888832,280.62936,0.000999999666666867,83.984592,39.064007,-94.432985,920.7,0.1,2.578,275.54
4176.24768,280.32456,-0.00999966668666524,27.32532,39.063761,-94.432996,919.7,-1,2.595,89.65
4210.043904,280.17216,-0.00499995833395832,34.2138,39.063453,-94.43301,919.2,-0.5,2.616,112.25
4285.683072,282.03144,0.0249947936189202,75.861672,39.06277,-94.433038,925.3,2.5,2.663,248.89
4416.039936,279.86736,-0.0169983626172461,129.856992,39.061601,-94.43309,918.2,-1.7,2.744,426.04
4536.740736,279.98928,0.000999999666666867,120.82272,39.060513,-94.433125,918.6,0.1,2.819,396.4
4620.426624,282.36672,0.0279926861068139,83.862672,39.059758,-94.433157,926.4,2.8,2.871,275.14
4815.157248,294.22344,0.060924508138259,194.270376,39.058009,-94.43323,965.3,6.1,2.992,637.37
4924.59264,296.418,0.0199973339731505,109.752384,39.057021,-94.433275,972.5,2,3.06,360.08
5030.809344,300.0756,0.0339869077462549,106.765344,39.05606,-94.433322,984.5,3.4,3.126,350.28
5148.291456,302.14824,0.0179980563778262,117.207792,39.055005,-94.433374,991.3,1.8,3.199,384.54
5199.790464,307.36032,0.100658653157729,51.660552,39.05454,-94.433397,1008.4,10.1,3.231,169.49
5249.680128,310.37784,0.0599281551212079,50.438304,39.054086,-94.433419,1018.3,6,3.262,165.48
5302.78848,310.22544,-0.0029999910000486,52.437792,39.053614,-94.433442,1017.8,-0.3,3.295,172.04
5357.506176,311.68848,0.0269934418682879,54.327552,39.053125,-94.433466,1022.6,2.7,3.329,178.24
5558.674176,314.00496,0.0119994240497613,201.241152,39.051313,-94.433531,1030.2,1.2,3.454,660.24
5606.954496,314.82792,0.0169983626172461,48.201072,39.050879,-94.433547,1032.9,1.7,3.484,158.14
5613.391872,314.94984,0.0189977141617588,6.662928,39.050819,-94.433549,1033.3,1.9,3.488,21.86
5729.26464,310.98744,-0.0339869077462549,115.19916,39.050855,-94.434879,1020.3,-3.4,3.56,377.95
5769.49824,311.29224,0.00699988567002795,40.794432,39.050867,-94.43535,1021.3,0.7,3.585,133.84
5867.668224,313.57824,0.0229959456201157,98.398584,39.050898,-94.436486,1028.8,2.3,3.646,322.83
5875.714944,313.12104,-0.0519532065609139,8.753856,39.050902,-94.436587,1027.3,-5.2,3.651,28.72
5907.901824,311.658,-0.0459675957971045,31.802832,39.050915,-94.436954,1022.5,-4.6,3.671,104.34
5930.43264,310.10352,-0.0698860016346425,22.098,39.050924,-94.437209,1017.4,-7,3.685,72.5
5961.010176,306.56784,-0.117456853162689,29.980128,39.050936,-94.437555,1005.8,-11.8,3.704,98.36
6081.710976,310.37784,0.0309900753885694,121.663968,39.050986,-94.438959,1018.3,3.1,3.779,399.16
6263.566848,319.30848,0.048960840065008,182.084472,39.05108,-94.441059,1047.6,4.9,3.892,597.39
6282.878976,319.18656,-0.00699988567002795,18.72996,39.05109,-94.441275,1047.2,-0.7,3.904,61.45
6363.346176,319.03416,-0.00199999733333973,79.854552,39.051131,-94.442196,1046.7,-0.2,3.954,261.99
6516.233856,322.08216,0.0199973339731505,153.195528,39.049778,-94.441848,1056.7,2,4.049,502.61
6564.514176,321.92976,-0.0029999910000486,49.365408,39.049342,-94.441736,1056.2,-0.3,4.079,161.96
6585.435648,320.77152,-0.0569383890598442,19.982688,39.049165,-94.441694,1052.4,-5.7,4.092,65.56
6612.794496,317.78448,-0.11054746373827,26.932128,39.048933,-94.441603,1042.6,-11.1,4.109,88.36
6632.106624,317.6016,-0.00999966668666524,20.4978,39.048766,-94.441502,1042,-1,4.121,67.25
6648.200064,317.93688,0.0219964516970369,15.934944,39.048644,-94.441405,1043.1,2.2,4.131,52.28
6672.340224,319.76568,0.0788362663477801,23.152608,39.048483,-94.441235,1049.1,7.9,4.146,75.96
6691.652352,321.07632,0.0649086896934335,20.034504,39.048364,-94.441061,1053.4,6.5,4.158,65.73
6757.635456,321.59448,0.00799982933988663,66.08064,39.047999,-94.440458,1055.1,0.8,4.199,216.8
6780.166272,320.71056,-0.0409770494767878,21.479256,39.04789,-94.440253,1052.2,-4.1,4.213,70.47
6784.994304,320.25336,-0.0738653674061214,6.361176,39.047852,-94.440198,1050.7,-7.4,4.216,20.87
6805.915776,318.91224,-0.0659044176898375,20.23872,39.047732,-94.440022,1046.3,-6.6,4.229,66.4
6833.274624,317.6016,-0.0479631868770767,27.352752,39.04754,-94.439824,1042,-4.8,4.246,89.74
