air_temp,surface_pressure,relative_humidity,dni,cloud_opacity,wind_speed_10m,azimuth,zenith,period_end,period
16,979.4,93.8,0,0,3.1,0,116,2024-07-17T06:05:00Z,PT5M
16,979.4,93.7,0,0,3.1,2,116,2024-07-17T06:00:00Z,PT5M
16,979.3,93.7,0,0,3.1,3,116,2024-07-17T05:55:00Z,PT5M
16,979.3,93.6,0,0,3.1,4,116,2024-07-17T05:50:00Z,PT5M
16,979.3,93.5,0,0,3.1,5,115,2024-07-17T05:45:00Z,PT5M
16,979.3,93.4,0,0,3.1,7,115,2024-07-17T05:40:00Z,PT5M
16,979.2,93.3,0,0,3.1,8,115,2024-07-17T05:35:00Z,PT5M
16,979.2,93.2,0,0,3.1,9,115,2024-07-17T05:30:00Z,PT5M
16,979.2,93.1,0,0,3.1,11,115,2024-07-17T05:25:00Z,PT5M
16,979.2,93,0,0,3.1,12,115,2024-07-17T05:20:00Z,PT5M
17,979.1,92.9,0,0,3.1,13,115,2024-07-17T05:15:00Z,PT5M
17,979.1,92.8,0,0,3.1,14,114,2024-07-17T05:10:00Z,PT5M
17,979.1,92.7,0,0,3,16,114,2024-07-17T05:05:00Z,PT5M
17,979.1,92.6,0,0,3,17,114,2024-07-17T05:00:00Z,PT5M
17,979.1,92.6,0,0,3,18,114,2024-07-17T04:55:00Z,PT5M
17,979,92.5,0,0,3,19,113,2024-07-17T04:50:00Z,PT5M
17,979,92.5,0,0,3,21,113,2024-07-17T04:45:00Z,PT5M
17,979,92.4,0,0,2.9,22,113,2024-07-17T04:40:00Z,PT5M
17,979,92.4,0,0,2.9,23,112,2024-07-17T04:35:00Z,PT5M
17,979,92.3,0,0,2.9,24,112,2024-07-17T04:30:00Z,PT5M
17,979,92.3,0,0,2.9,25,112,2024-07-17T04:25:00Z,PT5M
17,979,92.2,0,0,2.8,26,111,2024-07-17T04:20:00Z,PT5M
17,979,92.2,0,0,2.8,28,111,2024-07-17T04:15:00Z,PT5M
17,979,92.1,0,0,2.8,29,110,2024-07-17T04:10:00Z,PT5M
17,979,92.1,0,0,2.8,30,110,2024-07-17T04:05:00Z,PT5M
17,979,92,0,0,2.8,31,109,2024-07-17T04:00:00Z,PT5M
17,978.9,91.9,0,0,2.8,32,109,2024-07-17T03:55:00Z,PT5M
17,978.9,91.8,0,0,2.8,33,108,2024-07-17T03:50:00Z,PT5M
18,978.9,91.7,0,0,2.9,34,108,2024-07-17T03:45:00Z,PT5M
18,978.8,91.7,0,0,2.9,36,107,2024-07-17T03:40:00Z,PT5M
18,978.8,91.6,0,0,2.9,37,107,2024-07-17T03:35:00Z,PT5M
18,978.8,91.5,0,0,3,38,106,2024-07-17T03:30:00Z,PT5M
18,978.7,91.4,0,0,3,39,106,2024-07-17T03:25:00Z,PT5M
18,978.7,91.3,0,0,3,40,105,2024-07-17T03:20:00Z,PT5M
18,978.7,91.2,0,0,3.1,41,105,2024-07-17T03:15:00Z,PT5M
18,978.6,91.1,0,0,3.1,42,104,2024-07-17T03:10:00Z,PT5M
18,978.6,91,0,0,3.1,43,103,2024-07-17T03:05:00Z,PT5M
