air_temp,surface_pressure,relative_humidity,dni,cloud_opacity,wind_speed_10m,period_end,period
2,984.6,77.6,0,0,4.8,2024-04-07T04:55:00Z,PT5M
2,984.7,77.6,0,0,4.8,2024-04-07T04:50:00Z,PT5M
2,984.7,77.6,0,0,4.8,2024-04-07T04:45:00Z,PT5M
2,984.7,77.6,0,0,4.8,2024-04-07T04:40:00Z,PT5M
2,984.8,77.6,0,0,4.8,2024-04-07T04:35:00Z,PT5M
2,984.8,77.6,0,0,4.8,2024-04-07T04:30:00Z,PT5M
2,984.8,77.6,0,0,4.8,2024-04-07T04:25:00Z,PT5M
2,984.9,77.6,0,0,4.8,2024-04-07T04:20:00Z,PT5M
2,984.9,77.6,0,0,4.8,2024-04-07T04:15:00Z,PT5M
2,984.9,77.6,0,0,4.7,2024-04-07T04:10:00Z,PT5M
2,985,77.7,0,0,4.7,2024-04-07T04:05:00Z,PT5M
2,985,77.6,0,0,4.8,2024-04-07T04:00:00Z,PT5M
2,985,77.5,0,0,4.8,2024-04-07T03:55:00Z,PT5M
2,985.1,77.3,0,0,4.8,2024-04-07T03:50:00Z,PT5M
2,985.1,77.2,0,0,4.8,2024-04-07T03:45:00Z,PT5M
2,985.1,77.1,0,0,4.9,2024-04-07T03:40:00Z,PT5M
3,985.2,76.9,0,0,4.9,2024-04-07T03:35:00Z,PT5M
3,985.2,76.8,0,0,4.9,2024-04-07T03:30:00Z,PT5M
3,985.2,76.7,0,0,5,2024-04-07T03:25:00Z,PT5M
3,985.3,76.5,0,0,5,2024-04-07T03:20:00Z,PT5M
3,985.3,76.4,0,0,5,2024-04-07T03:15:00Z,PT5M
3,985.3,76.3,0,0,5.1,2024-04-07T03:10:00Z,PT5M
3,985.4,76.2,0,0,5.1,2024-04-07T03:05:00Z,PT5M
3,985.4,76,0,0,5.1,2024-04-07T03:00:00Z,PT5M
3,985.4,75.9,0,0,5.1,2024-04-07T02:55:00Z,PT5M
3,985.4,75.8,0,0,5.2,2024-04-07T02:50:00Z,PT5M
3,985.5,75.7,0,0,5.2,2024-04-07T02:45:00Z,PT5M
3,985.5,75.5,0,0,5.2,2024-04-07T02:40:00Z,PT5M
4,985.5,75.4,0,0,5.3,2024-04-07T02:35:00Z,PT5M
4,985.5,75.3,0,0,5.3,2024-04-07T02:30:00Z,PT5M
4,985.6,75.2,0,0,5.3,2024-04-07T02:25:00Z,PT5M
4,985.6,75.1,0,0,5.3,2024-04-07T02:20:00Z,PT5M
4,985.6,74.9,0,0,5.4,2024-04-07T02:15:00Z,PT5M
4,985.6,74.8,0,0,5.4,2024-04-07T02:10:00Z,PT5M
4,985.7,74.7,0,0,5.4,2024-04-07T02:05:00Z,PT5M
4,985.7,74.5,0,0,5.4,2024-04-07T02:00:00Z,PT5M
4,985.6,74.3,0,0,5.4,2024-04-07T01:55:00Z,PT5M
4,985.6,74.1,0,0,5.4,2024-04-07T01:50:00Z,PT5M
4,985.6,73.9,0,0,5.4,2024-04-07T01:45:00Z,PT5M
4,985.6,73.7,0,0,5.4,2024-04-07T01:40:00Z,PT5M
5,985.5,73.5,0,0,5.4,2024-04-07T01:35:00Z,PT5M
5,985.5,73.3,0,0,5.4,2024-04-07T01:30:00Z,PT5M
5,985.5,73.1,0,0,5.4,2024-04-07T01:25:00Z,PT5M
5,985.5,72.9,0,0,5.4,2024-04-07T01:20:00Z,PT5M
5,985.4,72.7,0,0,5.4,2024-04-07T01:15:00Z,PT5M
5,985.4,72.5,0,0,5.4,2024-04-07T01:10:00Z,PT5M
5,985.4,72.3,0,0,5.4,2024-04-07T01:05:00Z,PT5M
5,985.4,71.9,0,0,5.3,2024-04-07T01:00:00Z,PT5M
6,985.4,71.4,0,0,5.2,2024-04-07T00:55:00Z,PT5M
6,985.5,70.9,0,0,5.1,2024-04-07T00:50:00Z,PT5M
6,985.5,70.4,0,0,5,2024-04-07T00:45:00Z,PT5M
6,985.5,69.9,0,0,4.9,2024-04-07T00:40:00Z,PT5M
6,985.6,69.3,0,0,4.8,2024-04-07T00:35:00Z,PT5M
6,985.6,68.8,0,0,4.7,2024-04-07T00:30:00Z,PT5M
6,985.6,68.3,12,0,4.7,2024-04-07T00:25:00Z,PT5M
7,985.7,67.9,59,0,4.6,2024-04-07T00:20:00Z,PT5M
7,985.7,67.4,129,0,4.5,2024-04-07T00:15:00Z,PT5M
7,985.7,66.9,218,0,4.4,2024-04-07T00:10:00Z,PT5M
7,985.8,66.4,322,0,4.3,2024-04-07T00:05:00Z,PT5M
7,985.8,65.6,447,0,4.2,2024-04-07,PT5M
8,985.8,64.6,491,0,4.3,2024-04-06T23:55:00Z,PT5M
8,985.8,63.6,527,0,4.3,2024-04-06T23:50:00Z,PT5M
8,985.9,62.6,559,0,4.3,2024-04-06T23:45:00Z,PT5M
8,985.9,61.6,589,0,4.3,2024-04-06T23:40:00Z,PT5M
8,985.9,60.6,616,0,4.4,2024-04-06T23:35:00Z,PT5M
9,985.9,59.6,641,0,4.4,2024-04-06T23:30:00Z,PT5M
9,986,58.7,663,0,4.4,2024-04-06T23:25:00Z,PT5M
9,986,57.8,684,0,4.4,2024-04-06T23:20:00Z,PT5M
9,986,56.9,704,0,4.5,2024-04-06T23:15:00Z,PT5M
9,986,56,721,0,4.5,2024-04-06T23:10:00Z,PT5M
10,986.1,55.1,738,0,4.5,2024-04-06T23:05:00Z,PT5M
10,986.1,54.2,754,0,4.5,2024-04-06T23:00:00Z,PT5M
10,986.2,53.4,768,0,4.6,2024-04-06T22:55:00Z,PT5M
10,986.2,52.5,782,0,4.6,2024-04-06T22:50:00Z,PT5M
10,986.3,51.7,795,0,4.6,2024-04-06T22:45:00Z,PT5M
10,986.3,50.9,807,0,4.6,2024-04-06T22:40:00Z,PT5M
10,986.4,50.1,818,0,4.6,2024-04-06T22:35:00Z,PT5M
10,986.4,49.3,829,0,4.7,2024-04-06T22:30:00Z,PT5M
10,986.5,48.5,839,0,4.7,2024-04-06T22:25:00Z,PT5M
10,986.5,47.8,848,0,4.7,2024-04-06T22:20:00Z,PT5M
10,986.6,47,857,0,4.7,2024-04-06T22:15:00Z,PT5M
10,986.6,46.3,865,0,4.8,2024-04-06T22:10:00Z,PT5M
11,986.7,45.5,874,0,4.8,2024-04-06T22:05:00Z,PT5M
11,986.7,45.1,881,0,4.8,2024-04-06T22:00:00Z,PT5M
11,986.7,44.9,888,0,4.8,2024-04-06T21:55:00Z,PT5M
11,986.7,44.8,895,0,4.7,2024-04-06T21:50:00Z,PT5M
11,986.8,44.6,902,0,4.7,2024-04-06T21:45:00Z,PT5M
11,986.8,44.5,908,0,4.7,2024-04-06T21:40:00Z,PT5M
11,986.8,44.3,914,0,4.7,2024-04-06T21:35:00Z,PT5M
11,986.8,44.1,919,0,4.6,2024-04-06T21:30:00Z,PT5M
11,986.9,44,925,0,4.6,2024-04-06T21:25:00Z,PT5M
11,986.9,43.8,930,0,4.6,2024-04-06T21:20:00Z,PT5M
11,986.9,43.7,935,0,4.5,2024-04-06T21:15:00Z,PT5M
11,986.9,43.5,939,0,4.5,2024-04-06T21:10:00Z,PT5M
11,987,43.4,944,0,4.5,2024-04-06T21:05:00Z,PT5M
11,987,43.3,948,0,4.5,2024-04-06T21:00:00Z,PT5M
11,987.1,43.2,951,0,4.4,2024-04-06T20:55:00Z,PT5M
11,987.1,43.1,955,0,4.3,2024-04-06T20:50:00Z,PT5M
11,987.2,43.1,958,0,4.3,2024-04-06T20:45:00Z,PT5M
11,987.3,43,961,0,4.2,2024-04-06T20:40:00Z,PT5M
11,987.3,43,964,0,4.2,2024-04-06T20:35:00Z,PT5M
11,987.4,42.9,966,0,4.1,2024-04-06T20:30:00Z,PT5M
11,987.5,42.9,969,0,4.1,2024-04-06T20:25:00Z,PT5M
11,987.5,42.8,971,0,4,2024-04-06T20:20:00Z,PT5M
11,987.6,42.8,974,0,4,2024-04-06T20:15:00Z,PT5M
11,987.7,42.7,976,0,3.9,2024-04-06T20:10:00Z,PT5M
11,987.7,42.7,978,0,3.9,2024-04-06T20:05:00Z,PT5M
11,987.8,42.7,980,0,3.8,2024-04-06T20:00:00Z,PT5M
11,987.9,42.8,982,0,3.8,2024-04-06T19:55:00Z,PT5M
11,987.9,43,984,0,3.7,2024-04-06T19:50:00Z,PT5M
10,988,43.1,986,0,3.7,2024-04-06T19:45:00Z,PT5M
10,988.1,43.3,988,0,3.6,2024-04-06T19:40:00Z,PT5M
10,988.1,43.4,990,0,3.6,2024-04-06T19:35:00Z,PT5M
10,988.2,43.6,991,0,3.6,2024-04-06T19:30:00Z,PT5M
10,988.3,43.7,993,0,3.5,2024-04-06T19:25:00Z,PT5M
10,988.3,43.9,994,0,3.5,2024-04-06T19:20:00Z,PT5M
10,988.4,44,996,0,3.4,2024-04-06T19:15:00Z,PT5M
10,988.5,44.1,997,0,3.4,2024-04-06T19:10:00Z,PT5M
10,988.5,44.3,998,0,3.3,2024-04-06T19:05:00Z,PT5M
10,988.6,44.5,999,0,3.3,2024-04-06T19:00:00Z,PT5M
10,988.6,44.9,1000,0,3.3,2024-04-06T18:55:00Z,PT5M
10,988.6,45.2,1001,0,3.3,2024-04-06T18:50:00Z,PT5M
10,988.7,45.6,1002,0,3.2,2024-04-06T18:45:00Z,PT5M
